Saṁyutta Nikāya 30.3 ||| Linked Discourses 30.3
1. Supaṇṇavagga ||| 1. Phoenixes
Dvayakārīsutta ||| Both Kinds of Deeds
Sāvatthinidānaṁ. ||| At Sāvatthī.
Aññataro bhikkhu yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdi. Ekamantaṁ nisinno kho so bhikkhu bhagavantaṁ etadavoca: ||| Then a mendicant went up to the Buddha, bowed, sat down to one side, and said to him:
“ko nu kho, bhante, hetu, ko paccayo, yena midhekacco kāyassa bhedā paraṁ maraṇā aṇḍajānaṁ supaṇṇānaṁ sahabyataṁ upapajjatī”ti? ||| “Sir, what is the cause, what is the reason why someone, when their body breaks up, after death, is reborn in the company of the egg-born phoenixes?”
“Idha, bhikkhu, ekacco kāyena dvayakārī hoti, vācāya dvayakārī, manasā dvayakārī. ||| “Mendicant, it’s when someone does both kinds of deeds by body, speech, and mind.
Tassa sutaṁ hoti: ||| And they’ve heard:
‘aṇḍajā supaṇṇā dīghāyukā vaṇṇavanto sukhabahulā’ti. ||| ‘The egg-born phoenixes are long-lived, beautiful, and very happy.’
Tassa evaṁ hoti: ||| They think:
‘aho vatāhaṁ kāyassa bhedā paraṁ maraṇā aṇḍajānaṁ supaṇṇānaṁ sahabyataṁ upapajjeyyan’ti. ||| ‘If only, when my body breaks up, after death, I would be reborn in the company of the egg-born phoenixes!’
So kāyassa bhedā paraṁ maraṇā aṇḍajānaṁ supaṇṇānaṁ sahabyataṁ upapajjati. ||| When their body breaks up, after death, they’re reborn in the company of the egg-born phoenixes.
Ayaṁ kho, bhikkhu, hetu, ayaṁ paccayo, yena midhekacco kāyassa bhedā paraṁ maraṇā aṇḍajānaṁ supaṇṇānaṁ sahabyataṁ upapajjatī”ti. ||| This is the cause, this is the reason why someone, when their body breaks up, after death, is reborn in the company of the egg-born phoenixes.”
Tatiyaṁ.
