Saṁyutta Nikāya 14.11 ||| Linked Discourses 14.11
2. Dutiyavagga ||| Chapter Two
Sattadhātusutta ||| Seven Elements
Sāvatthiyaṁ viharati. ||| At Sāvatthī.
“Sattimā, bhikkhave, dhātuyo. ||| “Mendicants, there are these seven elements.
Katamā satta? ||| What seven?
Ābhādhātu, subhadhātu, ākāsānañcāyatanadhātu, viññāṇañcāyatanadhātu, ākiñcaññāyatanadhātu, nevasaññānāsaññāyatanadhātu, saññāvedayitanirodhadhātu— ||| The element of luminosity, the element of beauty, the element of the dimension of infinite space, the element of the dimension of infinite consciousness, the element of the dimension of nothingness, the element of the dimension of neither perception nor non-perception, and the element of the cessation of perception and feeling.
imā kho, bhikkhave, satta dhātuyo”ti. ||| These are the seven elements.”
Evaṁ vutte, aññataro bhikkhu bhagavantaṁ etadavoca: ||| When he said this, one of the mendicants asked the Buddha,
“yā cāyaṁ, bhante, ābhādhātu yā ca subhadhātu yā ca ākāsānañcāyatanadhātu yā ca viññāṇañcāyatanadhātu yā ca ākiñcaññāyatanadhātu yā ca nevasaññānāsaññāyatanadhātu yā ca saññāvedayitanirodhadhātu—imā nu kho, bhante, dhātuyo kiṁ paṭicca paññāyantī”ti? ||| “Sir, due to what does each of these elements appear?”
“Yāyaṁ, bhikkhu, ābhādhātu—ayaṁ dhātu andhakāraṁ paṭicca paññāyati. ||| “Mendicant, the element of light appears due to the element of darkness.
Yāyaṁ, bhikkhu, subhadhātu—ayaṁ dhātu asubhaṁ paṭicca paññāyati. ||| The element of beauty appears due to the element of ugliness.
Yāyaṁ, bhikkhu, ākāsānañcāyatanadhātu—ayaṁ dhātu rūpaṁ paṭicca paññāyati. ||| The element of the dimension of infinite space appears due to the element of form.
Yāyaṁ, bhikkhu, viññāṇañcāyatanadhātu—ayaṁ dhātu ākāsānañcāyatanaṁ paṭicca paññāyati. ||| The element of the dimension of infinite consciousness appears due to the element of the dimension of infinite space.
Yāyaṁ, bhikkhu, ākiñcaññāyatanadhātu—ayaṁ dhātu viññāṇañcāyatanaṁ paṭicca paññāyati. ||| The element of the dimension of nothingness appears due to the element of the dimension of infinite consciousness.
Yāyaṁ, bhikkhu, nevasaññānāsaññāyatanadhātu—ayaṁ dhātu ākiñcaññāyatanaṁ paṭicca paññāyati. ||| The element of the dimension of neither perception nor non-perception appears due to the element of the dimension of nothingness.
Yāyaṁ, bhikkhu, saññāvedayitanirodhadhātu—ayaṁ dhātu nirodhaṁ paṭicca paññāyatī”ti. ||| The element of the cessation of perception and feeling appears due to the element of cessation.”
“Yā cāyaṁ, bhante, ābhādhātu yā ca subhadhātu yā ca ākāsānañcāyatanadhātu yā ca viññāṇañcāyatanadhātu yā ca ākiñcaññāyatanadhātu yā ca nevasaññānāsaññāyatanadhātu yā ca saññāvedayitanirodhadhātu—imā nu kho, bhante, dhātuyo kathaṁ samāpatti pattabbā”ti? ||| “Sir, how is each of these elements to be attained?”
“Yā cāyaṁ, bhikkhu, ābhādhātu yā ca subhadhātu yā ca ākāsānañcāyatanadhātu yā ca viññāṇañcāyatanadhātu yā ca ākiñcaññāyatanadhātu—imā dhātuyo saññāsamāpatti pattabbā. ||| “The elements of light, beauty, the dimension of infinite space, the dimension of infinite consciousness, and the dimension of nothingness are attainments with perception.
Yāyaṁ, bhikkhu, nevasaññānāsaññāyatanadhātu—ayaṁ dhātu saṅkhārāvasesasamāpatti pattabbā. ||| The element of the dimension of neither perception nor non-perception is an attainment with residual conditioned phenomena.
Yāyaṁ, bhikkhu, saññāvedayitanirodhadhātu—ayaṁ dhātu nirodhasamāpatti pattabbā”ti. ||| The element of the cessation of perception and feeling is an attainment of cessation.”
Paṭhamaṁ.
