Saṁyutta Nikāya 46.28 ||| Linked Discourses 46.28
3. Udāyivagga ||| 3. With Udāyī
Nibbedhabhāgiyasutta ||| Helping Penetration
“Nibbedhabhāgiyaṁ vo, bhikkhave, maggaṁ desessāmi; ||| “Mendicants, I will teach you a path that helps penetration.
taṁ suṇātha. ||| Listen …
Katamo ca, bhikkhave, nibbedhabhāgiyo maggo? ||| And what is the path that helps penetration?
Yadidaṁ—
satta bojjhaṅgā. ||| It is the seven awakening factors.
Katame satta? ||| What seven?
Satisambojjhaṅgo …pe… upekkhāsambojjhaṅgo”ti. ||| The awakening factors of mindfulness, investigation of principles, energy, rapture, tranquility, immersion, and equanimity.”
Evaṁ vutte, āyasmā udāyī bhagavantaṁ etadavoca: ||| When he said this, Udāyī said to him:
“kathaṁ bhāvitā nu kho, bhante, satta bojjhaṅgā kathaṁ bahulīkatā nibbedhāya saṁvattantī”ti? ||| “Sir, how are the seven awakening factors developed and cultivated so as to lead to penetration?”
“Idha, udāyi, bhikkhu satisambojjhaṅgaṁ bhāveti vivekanissitaṁ virāganissitaṁ nirodhanissitaṁ vossaggapariṇāmiṁ vipulaṁ mahaggataṁ appamāṇaṁ abyāpajjaṁ. ||| “Udāyī, it’s when a mendicant develops the awakening factor of mindfulness, which relies on seclusion, fading away, and cessation, and ripens as letting go. And it is abundant, expansive, limitless, and free of ill will.
So satisambojjhaṅgaṁ bhāvitena cittena anibbiddhapubbaṁ appadālitapubbaṁ lobhakkhandhaṁ nibbijjhati padāleti; ||| With a mind that has developed the awakening factor of mindfulness, they penetrate and shatter the mass of greed,
anibbiddhapubbaṁ appadālitapubbaṁ dosakkhandhaṁ nibbijjhati padāleti; ||| the mass of hate,
anibbiddhapubbaṁ appadālitapubbaṁ mohakkhandhaṁ nibbijjhati padāleti …pe… ||| and the mass of delusion for the first time. …
upekkhāsambojjhaṅgaṁ bhāveti vivekanissitaṁ virāganissitaṁ nirodhanissitaṁ vossaggapariṇāmiṁ vipulaṁ mahaggataṁ appamāṇaṁ abyāpajjaṁ. ||| A mendicant develops the awakening factor of equanimity, which relies on seclusion, fading away, and cessation, and ripens as letting go. And it is abundant, expansive, limitless, and free of ill will.
So upekkhāsambojjhaṅgaṁ bhāvitena cittena anibbiddhapubbaṁ appadālitapubbaṁ lobhakkhandhaṁ nibbijjhati padāleti; ||| With a mind that has developed the awakening factor of equanimity, they penetrate and shatter the mass of greed,
anibbiddhapubbaṁ appadālitapubbaṁ dosakkhandhaṁ nibbijjhati padāleti; ||| the mass of hate,
anibbiddhapubbaṁ appadālitapubbaṁ mohakkhandhaṁ nibbijjhati padāleti. ||| and the mass of delusion for the first time.
Evaṁ bhāvitā kho, udāyi, satta bojjhaṅgā evaṁ bahulīkatā nibbedhāya saṁvattantī”ti. ||| This is how are the seven awakening factors are developed and cultivated so as to lead to penetration.”
Aṭṭhamaṁ.
