Saṁyutta Nikāya 23.11 ||| Linked Discourses 23.11
2. Dutiyamāravagga ||| 2. About Māra (2nd)
Mārasutta ||| About Māra
Sāvatthinidānaṁ. ||| At Sāvatthī.
Ekamantaṁ nisinno kho āyasmā rādho bhagavantaṁ etadavoca: ||| Seated to one side, Venerable Rādha said to the Buddha:
“‘māro, māro’ti, bhante, vuccati. ||| “Sir, they speak of ‘Māra’.
Katamo nu kho, bhante, māro”ti? ||| How is Māra defined?”
“Rūpaṁ kho, rādha, māro, vedanā māro, saññā māro, saṅkhārā māro, viññāṇaṁ māro. ||| “Rādha, form is Māra, feeling is Māra, perception is Māra, choices are Māra, consciousness is Māra.
Evaṁ passaṁ, rādha, sutavā ariyasāvako rūpasmimpi nibbindati, vedanāyapi nibbindati, saññāyapi nibbindati, saṅkhāresupi nibbindati, viññāṇasmimpi nibbindati. ||| Seeing this, a learned noble disciple grows disillusioned with form, feeling, perception, choices, and consciousness.
Nibbindaṁ virajjati; virāgā vimuccati. Vimuttasmiṁ vimuttamiti ñāṇaṁ hoti. ||| Being disillusioned, desire fades away. When desire fades away they’re freed. When they’re freed, they know they’re freed.
‘Khīṇā jāti, vusitaṁ brahmacariyaṁ, kataṁ karaṇīyaṁ, nāparaṁ itthattāyā’ti pajānātī”ti. ||| They understand: ‘Rebirth is ended, the spiritual journey has been completed, what had to be done has been done, there is nothing further for this place.’”
Paṭhamaṁ.
