Saṁyutta Nikāya 47.38 ||| Linked Discourses 47.38
4. Ananussutavagga ||| 4. Not Learned From Anyone Else
Pariññātasutta ||| Complete Understanding
“Cattārome, bhikkhave, satipaṭṭhānā. ||| “Mendicants, there are these four kinds of mindfulness meditation.
Katame cattāro? ||| What four?
Idha, bhikkhave, bhikkhu kāye kāyānupassī viharati ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ. ||| It’s when a mendicant meditates by observing an aspect of the body—keen, aware, and mindful, rid of covetousness and displeasure for the world.
Tassa kāye kāyānupassino viharato kāyo pariññāto hoti. ||| As they do so they completely understand the body.
Kāyassa pariññātattā amataṁ sacchikataṁ hoti. ||| When the body is completely understood they realize freedom from death.
Vedanāsu vedanānupassī viharati ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ. ||| They meditate observing an aspect of feelings—keen, aware, and mindful, rid of covetousness and displeasure for the world.
Tassa vedanāsu vedanānupassino viharato vedanā pariññātā honti. ||| As they do so they completely understand feelings.
Vedanānaṁ pariññātattā amataṁ sacchikataṁ hoti. ||| When feelings are completely understood they realize freedom from death.
Citte cittānupassī viharati ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ. ||| They meditate observing an aspect of the mind—keen, aware, and mindful, rid of covetousness and displeasure for the world.
Tassa citte cittānupassino viharato cittaṁ pariññātaṁ hoti. ||| As they do so they completely understand the mind.
Cittassa pariññātattā amataṁ sacchikataṁ hoti. ||| When the mind is completely understood they realize freedom from death.
Dhammesu dhammānupassī viharati ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ. ||| They meditate observing an aspect of principles—keen, aware, and mindful, rid of covetousness and displeasure for the world.
Tassa dhammesu dhammānupassino viharato dhammā pariññātā honti. ||| As they do so they completely understand principles.
Dhammānaṁ pariññātattā amataṁ sacchikataṁ hotī”ti. ||| When principles are completely understood they realize freedom from death.”
Aṭṭhamaṁ.
