Saṁyutta Nikāya 55.21 ||| Linked Discourses 55.21
3. Saraṇānivagga ||| 3. About Sarakāni
Paṭhamamahānāmasutta ||| With Mahānāma (1st)
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā sakkesu viharati kapilavatthusmiṁ nigrodhārāme. ||| At one time the Buddha was staying in the land of the Sakyans, near Kapilavatthu in the Banyan Tree Monastery.
Atha kho mahānāmo sakko yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdi. Ekamantaṁ nisinno kho mahānāmo sakko bhagavantaṁ etadavoca: ||| Then Mahānāma the Sakyan went up to the Buddha, bowed, sat down to one side, and said to him:
“idaṁ, bhante, kapilavatthu iddhañceva phītañca bāhujaññaṁ ākiṇṇamanussaṁ sambādhabyūhaṁ. ||| “Sir, this Kapilavatthu is successful and prosperous, populous, full of people, with cramped cul-de-sacs.
So khvāhaṁ, bhante, bhagavantaṁ vā payirupāsitvā manobhāvanīye vā bhikkhū sāyanhasamayaṁ kapilavatthuṁ pavisanto; ||| In the late afternoon, after paying homage to the Buddha or an esteemed mendicant, I enter Kapilavatthu.
bhantenapi hatthinā samāgacchāmi; ||| I encounter a stray elephant,
bhantenapi assena samāgacchāmi; ||| horse,
bhantenapi rathena samāgacchāmi; ||| chariot,
bhantenapi sakaṭena samāgacchāmi; ||| cart,
bhantenapi purisena samāgacchāmi. ||| or person.
Tassa mayhaṁ, bhante, tasmiṁ samaye mussateva bhagavantaṁ ārabbha sati, mussati dhammaṁ ārabbha sati, mussati saṅghaṁ ārabbha sati. ||| At that time I lose mindfulness regarding the Buddha, the teaching, and the Saṅgha.
Tassa mayhaṁ, bhante, evaṁ hoti: ||| I think:
‘imamhi cāhaṁ samaye kālaṁ kareyyaṁ, kā mayhaṁ gati, ko abhisamparāyo’”ti? ||| ‘If I were to die at this time, where would I be reborn in my next life?’”
“Mā bhāyi, mahānāma, mā bhāyi, mahānāma. ||| “Do not fear, Mahānāma, do not fear!
Apāpakaṁ te maraṇaṁ bhavissati apāpikā kālaṅkiriyā. ||| Your death will not be a bad one; your passing will not be a bad one.
Yassa kassaci, mahānāma, dīgharattaṁ saddhāparibhāvitaṁ cittaṁ sīlaparibhāvitaṁ cittaṁ sutaparibhāvitaṁ cittaṁ cāgaparibhāvitaṁ cittaṁ paññāparibhāvitaṁ cittaṁ, tassa yo hi khvāyaṁ kāyo rūpī cātumahābhūtiko mātāpettikasambhavo odanakummāsūpacayo aniccucchādanaparimaddanabhedanaviddhaṁsanadhammo. ||| Take someone whose mind has for a long time been imbued with faith, ethics, learning, generosity, and wisdom. Their body is formed, made up of the four principal states, produced by mother and father, built up from rice and porridge, liable to impermanence, to wearing away and erosion, to breaking up and destruction.
Taṁ idheva kākā vā khādanti gijjhā vā khādanti kulalā vā khādanti sunakhā vā khādanti siṅgālā vā khādanti vividhā vā pāṇakajātā khādanti; ||| Right here the crows, vultures, hawks, hounds, jackals, and many kinds of little creatures devour it.
yañca khvassa cittaṁ dīgharattaṁ saddhāparibhāvitaṁ …pe… paññāparibhāvitaṁ taṁ uddhagāmi hoti visesagāmi. ||| But their mind rises up, headed for a higher place.
Seyyathāpi, mahānāma, puriso sappikumbhaṁ vā telakumbhaṁ vā gambhīraṁ udakarahadaṁ ogāhitvā bhindeyya. ||| Suppose a person was to sink a pot of ghee or oil into a deep lake and break it open.
Tatra yā assa sakkharā vā kaṭhalā vā sā adhogāmī assa, yañca khvassa tatra sappi vā telaṁ vā taṁ uddhagāmi assa visesagāmi. ||| Its shards and chips would sink down, while the ghee or oil in it would rise up, headed for a higher place.
Evameva kho, mahānāma, yassa kassaci dīgharattaṁ saddhāparibhāvitaṁ cittaṁ …pe… ||| In the same way, take someone whose mind has for a long time been imbued with faith, ethics, learning, generosity, and wisdom. Their body consists of form, made up of the four principal states, produced by mother and father, built up from rice and porridge, liable to impermanence, to wearing away and erosion, to breaking up and destruction.
paññāparibhāvitaṁ cittaṁ tassa yo hi khvāyaṁ kāyo rūpī cātumahābhūtiko mātāpettikasambhavo odanakummāsūpacayo aniccucchādanaparimaddanabhedanaviddhaṁsanadhammo taṁ idheva kākā vā khādanti gijjhā vā khādanti kulalā vā khādanti sunakhā vā khādanti siṅgālā vā khādanti vividhā vā pāṇakajātā khādanti; ||| Right here the crows, vultures, hawks, hounds, jackals, and many kinds of little creatures devour it.
yañca khvassa cittaṁ dīgharattaṁ saddhāparibhāvitaṁ …pe… paññāparibhāvitaṁ taṁ uddhagāmi hoti visesagāmi. ||| But their mind rises up, headed for a higher place.
Tuyhaṁ kho pana, mahānāma, dīgharattaṁ saddhāparibhāvitaṁ cittaṁ …pe… paññāparibhāvitaṁ cittaṁ. ||| Your mind, Mahānāma, has for a long time been imbued with faith, ethics, learning, generosity, and wisdom.
Mā bhāyi, mahānāma, mā bhāyi, mahānāma. ||| Do not fear, Mahānāma, do not fear!
Apāpakaṁ te maraṇaṁ bhavissati, apāpikā kālaṅkiriyā”ti. ||| Your death will not be a bad one; your passing will not be a bad one.”
Paṭhamaṁ.
