Saṁyutta Nikāya 30.4–6 ||| Linked Discourses 30.4–6
1. Supaṇṇavagga ||| 1. Phoenixes
Dutiyādidvayakārīsuttattika ||| Both Kinds of Deeds (2nd–4th)
Sāvatthinidānaṁ. ||| At Sāvatthī.
Ekamantaṁ nisinno kho so bhikkhu bhagavantaṁ etadavoca: ||| Seated to one side, that mendicant said to the Buddha:
“ko nu kho, bhante, hetu, ko paccayo, yena midhekacco kāyassa bhedā paraṁ maraṇā jalābujānaṁ supaṇṇānaṁ …pe… ||| “Sir, what is the cause, what is the reason why someone, when their body breaks up, after death, is reborn in the company of the womb-born phoenixes …”
saṁsedajānaṁ supaṇṇānaṁ …pe… ||| “… moisture-born phoenixes …”
opapātikānaṁ supaṇṇānaṁ sahabyataṁ upapajjatī”ti? ||| “… or spontaneously-born phoenixes?”
“Idha, bhikkhu, ekacco kāyena dvayakārī hoti, vācāya dvayakārī, manasā dvayakārī. ||| “Mendicant, it’s when someone does both kinds of deeds by body, speech, and mind.
Tassa sutaṁ hoti: ||| And they’ve heard:
‘opapātikā supaṇṇā dīghāyukā vaṇṇavanto sukhabahulā’ti. ||| ‘The spontaneously-born phoenixes are long-lived, beautiful, and very happy.’
Tassa evaṁ hoti: ||| They think:
‘aho vatāhaṁ kāyassa bhedā paraṁ maraṇā opapātikānaṁ supaṇṇānaṁ sahabyataṁ upapajjeyyan’ti. ||| ‘If only, when my body breaks up, after death, I would be reborn in the company of the spontaneously-born phoenixes!’
So kāyassa bhedā paraṁ maraṇā opapātikānaṁ supaṇṇānaṁ sahabyataṁ upapajjati. ||| When their body breaks up, after death, they’re reborn in the company of the spontaneously-born phoenixes.
Ayaṁ kho, bhikkhu, hetu, ayaṁ paccayo, yena midhekacco kāyassa bhedā paraṁ maraṇā opapātikānaṁ supaṇṇānaṁ sahabyataṁ upapajjatī”ti. ||| This is the cause, this is the reason why someone, when their body breaks up, after death, is reborn in the company of the spontaneously-born phoenixes.”
Chaṭṭhaṁ.
