Majjhima Nikāya 68 ||| Middle Discourses 68
Naḷakapānasutta ||| At Naḷakapāna
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā kosalesu viharati naḷakapāne palāsavane. ||| At one time the Buddha was staying in the land of the Kosalans near Naḷakapāna in the grove of flame-of-the-forest trees.
Tena kho pana samayena sambahulā abhiññātā abhiññātā kulaputtā bhagavantaṁ uddissa saddhā agārasmā anagāriyaṁ pabbajitā honti— ||| Now at that time several very well-known gentlemen had gone forth out of faith from the lay life to homelessness in the Buddha’s name—
āyasmā ca anuruddho, āyasmā ca bhaddiyo, āyasmā ca kimilo, āyasmā ca bhagu, āyasmā ca koṇḍañño, āyasmā ca revato, āyasmā ca ānando, aññe ca abhiññātā abhiññātā kulaputtā. ||| The venerables Anuruddha, Bhaddiya, Kimbila, Bhagu, Koṇḍañña, Revata, Ānanda, and other very well-known gentlemen.
Tena kho pana samayena bhagavā bhikkhusaṅghaparivuto abbhokāse nisinno hoti. ||| Now at that time the Buddha was sitting in the open, surrounded by the mendicant Saṅgha.
Atha kho bhagavā te kulaputte ārabbha bhikkhū āmantesi: ||| Then the Buddha spoke to the mendicants about those gentlemen:
“ye te, bhikkhave, kulaputtā mamaṁ uddissa saddhā agārasmā anagāriyaṁ pabbajitā, kacci te, bhikkhave, bhikkhū abhiratā brahmacariye”ti? ||| “Mendicants, those gentlemen who have gone forth out of faith from the lay life to homelessness in my name—I trust they’re satisfied with the spiritual life?”
Evaṁ vutte, te bhikkhū tuṇhī ahesuṁ. ||| When this was said, the mendicants kept silent.
Dutiyampi kho bhagavā te kulaputte ārabbha bhikkhū āmantesi: ||| For a second and a third time the Buddha asked the same question.
“ye te, bhikkhave, kulaputtā mamaṁ uddissa saddhā agārasmā anagāriyaṁ pabbajitā, kacci te, bhikkhave, bhikkhū abhiratā brahmacariye”ti?
Dutiyampi kho te bhikkhū tuṇhī ahesuṁ.
Tatiyampi kho bhagavā te kulaputte ārabbha bhikkhū āmantesi:
“ye te, bhikkhave, kulaputtā mamaṁ uddissa saddhā agārasmā anagāriyaṁ pabbajitā, kacci te, bhikkhave, bhikkhū abhiratā brahmacariye”ti?
Tatiyampi kho te bhikkhū tuṇhī ahesuṁ. ||| For a third time, the mendicants kept silent.
Atha kho bhagavato etadahosi: ||| Then it occurred to the Buddha,
“yannūnāhaṁ te kulaputte puccheyyan”ti. ||| “Why don’t I question just those gentlemen?”
Atha kho bhagavā āyasmantaṁ anuruddhaṁ āmantesi: ||| Then the Buddha said to Venerable Anuruddha,
“kacci tumhe, anuruddhā, abhiratā brahmacariye”ti? ||| “Anuruddha and friends, I hope you’re satisfied with the spiritual life?”
“Taggha mayaṁ, bhante, abhiratā brahmacariye”ti. ||| “Indeed, sir, we are satisfied with the spiritual life.”
“Sādhu sādhu, anuruddhā. ||| “Good, good, Anuruddha and friends!
Etaṁ kho, anuruddhā, tumhākaṁ patirūpaṁ kulaputtānaṁ saddhā agārasmā anagāriyaṁ pabbajitānaṁ yaṁ tumhe abhirameyyātha brahmacariye. ||| It’s appropriate for gentlemen like yourselves, who have gone forth out of faith from the lay life to homelessness, to be satisfied with the spiritual life.
Yena tumhe, anuruddhā, bhadrena yobbanena samannāgatā paṭhamena vayasā susukāḷakesā kāme paribhuñjeyyātha tena tumhe, anuruddhā, bhadrenapi yobbanena samannāgatā paṭhamena vayasā susukāḷakesā agārasmā anagāriyaṁ pabbajitā. ||| Since you’re blessed with youth, in the prime of life, with pristine black hair, you could have enjoyed sensual pleasures; yet you have gone forth from the lay life to homelessness.
Te ca kho pana tumhe, anuruddhā, neva rājābhinītā agārasmā anagāriyaṁ pabbajitā, na corābhinītā agārasmā anagāriyaṁ pabbajitā, na iṇaṭṭā agārasmā anagāriyaṁ pabbajitā, na bhayaṭṭā agārasmā anagāriyaṁ pabbajitā, nājīvikāpakatā agārasmā anagāriyaṁ pabbajitā. ||| But you didn’t go forth to escape a summons by a king or a summons for a bandit, or because you were in debt or in fear, or in order to make a living.
Api ca khomhi otiṇṇo jātiyā jarāya maraṇena sokehi paridevehi dukkhehi domanassehi upāyāsehi, dukkhotiṇṇo dukkhapareto; ||| Rather, didn’t you go forth thinking: ‘I’m swamped by rebirth, old age, and death; by sorrow, lamentation, pain, sadness, and distress. I’m swamped by suffering, mired in suffering.
appeva nāma imassa kevalassa dukkhakkhandhassa antakiriyā paññāyethāti— ||| Hopefully I can make an end to this entire mass of suffering’?”
nanu tumhe, anuruddhā, evaṁ saddhā agārasmā anagāriyaṁ pabbajitā”ti?
“Evaṁ, bhante”. ||| “Yes, sir.”
“Evaṁ pabbajitena ca pana, anuruddhā, kulaputtena kimassa karaṇīyaṁ? ||| “But, Anuruddha and friends, when a gentleman has gone forth like this, what should he do?
Vivekaṁ, anuruddhā, kāmehi vivekaṁ akusalehi dhammehi pītisukhaṁ nādhigacchati aññaṁ vā tato santataraṁ, tassa abhijjhāpi cittaṁ pariyādāya tiṭṭhati, byāpādopi cittaṁ pariyādāya tiṭṭhati, thinamiddhampi cittaṁ pariyādāya tiṭṭhati uddhaccakukkuccampi cittaṁ pariyādāya tiṭṭhati, vicikicchāpi cittaṁ pariyādāya tiṭṭhati, aratīpi cittaṁ pariyādāya tiṭṭhati, tandīpi cittaṁ pariyādāya tiṭṭhati. ||| Take someone who doesn’t achieve the rapture and bliss that are secluded from sensual pleasures and unskillful qualities, or something even more peaceful than that. Their mind is still occupied by desire, ill will, dullness and drowsiness, restlessness and remorse, doubt, discontent, and sloth.
Vivekaṁ, anuruddhā, kāmehi vivekaṁ akusalehi dhammehi pītisukhaṁ nādhigacchati aññaṁ vā tato santataraṁ. ||| That’s someone who doesn’t achieve the rapture and bliss that are secluded from sensual pleasures and unskillful qualities, or something even more peaceful than that.
Vivekaṁ, anuruddhā, kāmehi vivekaṁ akusalehi dhammehi pītisukhaṁ adhigacchati aññaṁ vā tato santataraṁ, tassa abhijjhāpi cittaṁ na pariyādāya tiṭṭhati, byāpādopi cittaṁ na pariyādāya tiṭṭhati, thinamiddhampi cittaṁ na pariyādāya tiṭṭhati, uddhaccakukkuccampi cittaṁ na pariyādāya tiṭṭhati, vicikicchāpi cittaṁ na pariyādāya tiṭṭhati, aratīpi cittaṁ na pariyādāya tiṭṭhati, tandīpi cittaṁ na pariyādāya tiṭṭhati. ||| Take someone who does achieve the rapture and bliss that are secluded from sensual pleasures and unskillful qualities, or something even more peaceful than that. Their mind is not occupied by desire, ill will, dullness and drowsiness, restlessness and remorse, doubt, discontent, and sloth.
Vivekaṁ, anuruddhā, kāmehi vivekaṁ akusalehi dhammehi pītisukhaṁ adhigacchati aññaṁ vā tato santataraṁ. ||| That’s someone who does achieve the rapture and bliss that are secluded from sensual pleasures and unskillful qualities, or something even more peaceful than that.
Kinti vo, anuruddhā, mayi hoti: ||| Is this what you think of me?
‘ye āsavā saṅkilesikā ponobbhavikā sadarā dukkhavipākā āyatiṁ jātijarāmaraṇiyā, appahīnā te tathāgatassa; ||| ‘The Realized One has not given up the defilements that are corrupting, leading to future lives, hurtful, resulting in suffering and future rebirth, old age, and death.
tasmā tathāgato saṅkhāyekaṁ paṭisevati, saṅkhāyekaṁ adhivāseti, saṅkhāyekaṁ parivajjeti, saṅkhāyekaṁ vinodetī’”ti? ||| That’s why, after appraisal, he uses some things, endures some things, avoids some things, and dispels some things.’”
“Na kho no, bhante, bhagavati evaṁ hoti: ||| “No sir, we don’t think of you that way.
