Aṅguttara Nikāya 2 ||| Numbered Discourses 2.180–229
16. Kodhapeyyāla ||| The Chapter of Abbreviated Texts Beginning With Anger
180–184 ||| 180–184
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Kodho ca upanāho ca … makkho ca paḷāso ca … issā ca macchariyañca … māyā ca sāṭheyyañca … ahirikañca anottappañca. ||| Anger and acrimony … disdain and contempt … jealousy and stinginess … deceit and deviousness … lack of conscience and prudence.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
185–189 ||| 185–189
“Dveme, bhikkhave, dhammā. ||| “There are these two things.
Katame dve? ||| What two?
Akkodho ca anupanāho ca … amakkho ca apaḷāso ca … anissā ca amacchariyañca … amāyā ca asāṭheyyañca … hirī ca ottappañca. ||| Freedom from anger and acrimony … freedom from disdain and contempt … freedom from jealousy and stinginess … freedom from deceit and deviousness … conscience and prudence.
Ime kho, bhikkhave, dve dhammā”. ||| These are the two things.”
190–194 ||| 190–194
“Dvīhi, bhikkhave, dhammehi samannāgato dukkhaṁ viharati. ||| “Anyone who has two things lives in suffering.
Katamehi dvīhi? ||| What two?
Kodhena ca upanāhena ca … makkhena ca paḷāsena ca … issāya ca macchariyena ca … māyāya ca sāṭheyyena ca … ahirikena ca anottappena ca. ||| Anger and acrimony … disdain and contempt … jealousy and stinginess … deceit and deviousness … lack of conscience and prudence.
Imehi kho, bhikkhave, dvīhi dhammehi samannāgato dukkhaṁ viharati”. ||| Anyone who has these two things lives in suffering.”
195–199 ||| 195–199
“Dvīhi, bhikkhave, dhammehi samannāgato sukhaṁ viharati. ||| “Anyone who has these two things lives happily.
Katamehi dvīhi? ||| What two?
Akkodhena ca anupanāhena ca … amakkhena ca apaḷāsena ca … anissāya ca amacchariyena ca … amāyāya ca asāṭheyyena ca … hiriyā ca ottappena ca. ||| Freedom from anger and acrimony … freedom from disdain and contempt … freedom from jealousy and stinginess … freedom from deceit and deviousness … conscience and prudence.
Imehi kho, bhikkhave, dvīhi dhammehi samannāgato sukhaṁ viharati”. ||| Anyone who has these two things lives happily.”
200–204 ||| 200–204
“Dveme, bhikkhave, dhammā sekhassa bhikkhuno parihānāya saṁvattanti. ||| “These two things lead to the decline of a mendicant trainee.
Katame dve? ||| What two?
Kodho ca upanāho ca … makkho ca paḷāso ca … issā ca macchariyañca … māyā ca sāṭheyyañca … ahirikañca anottappañca. ||| Anger and acrimony … disdain and contempt … jealousy and stinginess … deceit and deviousness … lack of conscience and prudence.
Ime kho, bhikkhave, dve dhammā sekhassa bhikkhuno parihānāya saṁvattanti”. ||| These two things lead to the decline of a mendicant trainee.”
205–209 ||| 205–209
“Dveme, bhikkhave, dhammā sekhassa bhikkhuno aparihānāya saṁvattanti. ||| “These two things don’t lead to the decline of a mendicant trainee.
Katame dve? ||| What two?
Akkodho ca anupanāho ca … amakkho ca apaḷāso ca … anissā ca amacchariyañca … amāyā ca asāṭheyyañca … hirī ca ottappañca. ||| Freedom from anger and acrimony … freedom from disdain and contempt … freedom from jealousy and stinginess … freedom from deceit and deviousness … conscience and prudence.
