Majjhima Nikāya 71 ||| Middle Discourses 71
Tevijjavacchasutta ||| To Vacchagotta on the Three Knowledges
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā vesāliyaṁ viharati mahāvane kūṭāgārasālāyaṁ. ||| At one time the Buddha was staying near Vesālī, at the Great Wood, in the hall with the peaked roof.
Tena kho pana samayena vacchagotto paribbājako ekapuṇḍarīke paribbājakārāme paṭivasati. ||| Now at that time the wanderer Vacchagotta was residing in the Single Lotus Monastery of the wanderers.
Atha kho bhagavā pubbaṇhasamayaṁ nivāsetvā pattacīvaramādāya vesāliṁ piṇḍāya pāvisi. ||| Then the Buddha robed up in the morning and, taking his bowl and robe, entered Vesālī for alms.
Atha kho bhagavato etadahosi: ||| Then it occurred to him,
“atippago kho tāva vesāliyaṁ piṇḍāya carituṁ; ||| “It’s too early to wander for alms in Vesālī.
yannūnāhaṁ yena ekapuṇḍarīko paribbājakārāmo yena vacchagotto paribbājako tenupasaṅkameyyan”ti. ||| Why don’t I visit the wanderer Vacchagotta at the Single Lotus Monastery?”
Atha kho bhagavā yena ekapuṇḍarīko paribbājakārāmo yena vacchagotto paribbājako tenupasaṅkami. ||| So that’s what he did.
Addasā kho vacchagotto paribbājako bhagavantaṁ dūratova āgacchantaṁ. ||| Vacchagotta saw the Buddha coming off in the distance,
Disvāna bhagavantaṁ etadavoca: ||| and said to him,
“Etu kho, bhante, bhagavā. ||| “Let the Blessed One come, sir!
Svāgataṁ, bhante, bhagavato. ||| Welcome to the Blessed One, sir!
Cirassaṁ kho, bhante, bhagavā imaṁ pariyāyamakāsi yadidaṁ idhāgamanāya. ||| It’s been a long time since you took the opportunity to come here.
Nisīdatu, bhante, bhagavā idamāsanaṁ paññattan”ti. ||| Please, sir, sit down, here, a seat is ready.”
Nisīdi bhagavā paññatte āsane. ||| The Buddha sat on the seat spread out,
Vacchagottopi kho paribbājako aññataraṁ nīcaṁ āsanaṁ gahetvā ekamantaṁ nisīdi. ||| while Vacchagotta took a low seat and sat to one side.
Ekamantaṁ nisinno kho vacchagotto paribbājako bhagavantaṁ etadavoca: ||| Then Vacchagotta said to the Buddha:
“sutaṁ metaṁ, bhante: ||| “Sir, I have heard this:
‘samaṇo gotamo sabbaññū sabbadassāvī, aparisesaṁ ñāṇadassanaṁ paṭijānāti, ||| ‘The ascetic Gotama claims to be all-knowing and all-seeing, to know and see everything without exception, thus:
carato ca me tiṭṭhato ca suttassa ca jāgarassa ca satataṁ samitaṁ ñāṇadassanaṁ paccupaṭṭhitan’ti. ||| “Knowledge and vision are constantly and continually present to me, while walking, standing, sleeping, and waking.”’
Ye te, bhante, evamāhaṁsu: ‘samaṇo gotamo sabbaññū sabbadassāvī, aparisesaṁ ñāṇadassanaṁ paṭijānāti, carato ca me tiṭṭhato ca suttassa ca jāgarassa ca satataṁ samitaṁ ñāṇadassanaṁ paccupaṭṭhitan’ti, kacci te, bhante, bhagavato vuttavādino, na ca bhagavantaṁ abhūtena abbhācikkhanti, dhammassa cānudhammaṁ byākaronti, na ca koci sahadhammiko vādānuvādo gārayhaṁ ṭhānaṁ āgacchatī”ti? ||| I trust that those who say this repeat what the Buddha has said, and do not misrepresent him with an untruth? Is their explanation in line with the teaching? Are there any legitimate grounds for rebuttal and criticism?”
“Ye te, vaccha, evamāhaṁsu: ‘samaṇo gotamo sabbaññū sabbadassāvī, aparisesaṁ ñāṇadassanaṁ paṭijānāti, carato ca me tiṭṭhato ca suttassa ca jāgarassa ca satataṁ samitaṁ ñāṇadassanaṁ paccupaṭṭhitan’ti, na me te vuttavādino, abbhācikkhanti ca pana maṁ asatā abhūtenā”ti. ||| “Vaccha, those who say this do not repeat what I have said. They misrepresent me with what is false and untrue.”
“Kathaṁ byākaramānā pana mayaṁ, bhante, vuttavādino ceva bhagavato assāma, na ca bhagavantaṁ abhūtena abbhācikkheyyāma, dhammassa cānudhammaṁ byākareyyāma, na ca koci sahadhammiko vādānuvādo gārayhaṁ ṭhānaṁ āgaccheyyā”ti? ||| “So how should we answer so as to repeat what the Buddha has said, and not misrepresent him with an untruth? How should we explain in line with his teaching, with no legitimate grounds for rebuttal and criticism?”
“‘Tevijjo samaṇo gotamo’ti kho, vaccha, byākaramāno vuttavādī ceva me assa, na ca maṁ abhūtena abbhācikkheyya, dhammassa cānudhammaṁ byākareyya, na ca koci sahadhammiko vādānuvādo gārayhaṁ ṭhānaṁ āgaccheyya. ||| “‘The ascetic Gotama has the three knowledges.’ Answering like this you would repeat what I have said, and not misrepresent me with an untruth. You would explain in line with my teaching, and there would be no legitimate grounds for rebuttal and criticism.
Ahañhi, vaccha, yāvadeva ākaṅkhāmi anekavihitaṁ pubbenivāsaṁ anussarāmi, ||| For, Vaccha, whenever I want, I recollect my many kinds of past lives.
seyyathidaṁ—ekampi jātiṁ dvepi jātiyo …pe… iti sākāraṁ sauddesaṁ anekavihitaṁ pubbenivāsaṁ anussarāmi. ||| That is: one, two, three, four, five, ten, twenty, thirty, forty, fifty, a hundred, a thousand, a hundred thousand rebirths; many eons of the world contracting, many eons of the world expanding, many eons of the world contracting and expanding. I remember: ‘There, I was named this, my clan was that, I looked like this, and that was my food. This was how I felt pleasure and pain, and that was how my life ended. When I passed away from that place I was reborn somewhere else. There, too, I was named this, my clan was that, I looked like this, and that was my food. This was how I felt pleasure and pain, and that was how my life ended. When I passed away from that place I was reborn here.’ And so I recollect my many kinds of past lives, with features and details.
Ahañhi, vaccha, yāvadeva ākaṅkhāmi dibbena cakkhunā visuddhena atikkantamānusakena satte passāmi cavamāne upapajjamāne hīne paṇīte suvaṇṇe dubbaṇṇe sugate duggate …pe… yathākammūpage satte pajānāmi. ||| And whenever I want, with clairvoyance that is purified and superhuman, I see sentient beings passing away and being reborn—inferior and superior, beautiful and ugly, in a good place or a bad place. I understand how sentient beings pass on according to their deeds.
Ahañhi, vaccha, āsavānaṁ khayā anāsavaṁ cetovimuttiṁ paññāvimuttiṁ diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharāmi. ||| And I have realized the undefiled freedom of heart and freedom by wisdom in this very life. I live having realized it with my own insight due to the ending of defilements.
