Saṁyutta Nikāya 56.49 ||| Linked Discourses 56.49
5. Papātavagga ||| 5. A Cliff
Paṭhamasinerupabbatarājasutta ||| Sineru, King of Mountains (1st)
“Seyyathāpi, bhikkhave, puriso sinerussa pabbatarājassa satta muggamattiyo pāsāṇasakkharā upanikkhipeyya. ||| “Mendicants, suppose a person was to place on Sineru, the king of mountains, seven pebbles the size of mung beans.
Taṁ kiṁ maññatha, bhikkhave, ||| What do you think, mendicants?
katamaṁ nu kho bahutaraṁ—yā vā satta muggamattiyo pāsāṇasakkharā upanikkhittā, yo vā sinerupabbatarājā”ti? ||| Which is more: the seven pebbles the size of mung beans? Or Sineru, the king of mountains?”
“Etadeva, bhante, bahutaraṁ, yadidaṁ—sinerupabbatarājā; ||| “Sir, Sineru, the king of mountains, is certainly more.
appamattikā satta muggamattiyo pāsāṇasakkharā upanikkhittā. ||| The seven pebbles the size of mung beans are tiny.
Saṅkhampi na upenti, upanidhampi na upenti, kalabhāgampi na upenti sinerupabbatarājānaṁ upanidhāya satta muggamattiyo pāsāṇasakkharā upanikkhittā”ti. ||| Compared to Sineru, they don’t count, there’s no comparison, they’re not worth a fraction.”
“Evameva kho, bhikkhave, ariyasāvakassa diṭṭhisampannassa puggalassa abhisametāvino etadeva bahutaraṁ dukkhaṁ yadidaṁ parikkhīṇaṁ pariyādinnaṁ; appamattakaṁ avasiṭṭhaṁ. ||| “In the same way, for an individual with comprehension, a noble disciple accomplished in view, the suffering that’s over and done with is more, what’s left is tiny.
Saṅkhampi na upeti, upanidhampi na upeti, kalabhāgampi na upeti, purimaṁ dukkhakkhandhaṁ parikkhīṇaṁ pariyādinnaṁ upanidhāya yadidaṁ sattakkhattuparamatā; ||| Compared to the mass of suffering in the past that’s over and done with, it doesn’t count, there’s no comparison, it’s not worth a fraction, since there are at most seven more lives.
yo ‘idaṁ dukkhan’ti yathābhūtaṁ pajānāti …pe… ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yathābhūtaṁ pajānāti. ||| Such an individual truly understands about suffering, its origin, its cessation, and the path.
Tasmātiha, bhikkhave, ‘idaṁ dukkhan’ti yogo karaṇīyo …pe… ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yogo karaṇīyo”ti. ||| That’s why you should practice meditation …”
Navamaṁ.
