Saṁyutta Nikāya 53.45–54 ||| Linked Discourses 53.45–54
5. Oghavagga ||| 5. Floods
Oghādisutta ||| Floods, etc.
“Pañcimāni, bhikkhave, uddhambhāgiyāni saṁyojanāni. ||| “Mendicants, there are five higher fetters.
Katamāni pañca? ||| What five?
Rūparāgo, arūparāgo, māno, uddhaccaṁ, avijjā— ||| Desire for rebirth in the realm of luminous form, desire for rebirth in the formless realm, conceit, restlessness, and ignorance.
imāni kho, bhikkhave, pañcuddhambhāgiyāni saṁyojanāni. ||| These are the five higher fetters.
Imesaṁ kho, bhikkhave, pañcannaṁ uddhambhāgiyānaṁ saṁyojanānaṁ abhiññāya pariññāya parikkhayāya pahānāya cattāro jhānā bhāvetabbā. ||| The four absorptions should be developed for the direct knowledge, complete understanding, finishing, and giving up of these five higher fetters.
Katame cattāro? ||| What four?
Idha, bhikkhave, bhikkhu vivicceva kāmehi vivicca akusalehi dhammehi savitakkaṁ savicāraṁ vivekajaṁ pītisukhaṁ paṭhamaṁ jhānaṁ upasampajja viharati. ||| It’s when a mendicant, quite secluded from sensual pleasures, secluded from unskillful qualities, enters and remains in the first absorption, which has the rapture and bliss born of seclusion, while placing the mind and keeping it connected.
Vitakkavicārānaṁ vūpasamā ajjhattaṁ sampasādanaṁ cetaso ekodibhāvaṁ avitakkaṁ avicāraṁ samādhijaṁ pītisukhaṁ dutiyaṁ jhānaṁ …pe… ||| As the placing of the mind and keeping it connected are stilled, they enter and remain in the second absorption …
tatiyaṁ jhānaṁ …pe… ||| third absorption …
catutthaṁ jhānaṁ upasampajja viharati. ||| fourth absorption.
Imesaṁ kho, bhikkhave, pañcannaṁ uddhambhāgiyānaṁ saṁyojanānaṁ abhiññāya pariññāya parikkhayāya pahānāya ime cattāro jhānā bhāvetabbā”ti vitthāretabbaṁ. ||| These four absorptions should be developed for the direct knowledge, complete understanding, finishing, and giving up of these five higher fetters.”
(Yathā maggasaṁyuttaṁ tathā vitthāretabbaṁ.) ||| (Tell in full as in the Linked Discourses on the Path at SN 45.171–180.)
Oghavaggo pañcamo.
Tassuddānaṁ
Ogho yogo upādānaṁ, ||| Floods, yokes, grasping,
ganthā anusayena ca; ||| ties, and underlying tendencies,
Kāmaguṇā nīvaraṇā, ||| kinds of sensual stimulation, hindrances,
khandhā oruddhambhāgiyāti. ||| aggregates, and fetters high and low.
Jhānasaṁyuttaṁ navamaṁ. ||| The Linked Discourses on Absorption are the ninth section.
