Majjhima Nikāya 125 ||| Middle Discourses 125
Dantabhūmisutta ||| The Level of the Tamed
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā rājagahe viharati veḷuvane kalandakanivāpe. ||| At one time the Buddha was staying near Rājagaha, in the Bamboo Grove, the squirrels’ feeding ground.
Tena kho pana samayena aciravato samaṇuddeso araññakuṭikāyaṁ viharati. ||| Now at that time the novice Aciravata was staying in a wilderness hut.
Atha kho jayaseno rājakumāro jaṅghāvihāraṁ anucaṅkamamāno anuvicaramāno yena aciravato samaṇuddeso tenupasaṅkami; upasaṅkamitvā aciravatena samaṇuddesena saddhiṁ sammodi. ||| Then as Prince Jayasena was going for a walk he approached Aciravata, and exchanged greetings with him.
Sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ nisīdi. Ekamantaṁ nisinno kho jayaseno rājakumāro aciravataṁ samaṇuddesaṁ etadavoca: ||| When the greetings and polite conversation were over, he sat down to one side and said to Aciravata,
“Sutaṁ metaṁ, bho aggivessana: ||| “Worthy Aggivessana, I have heard that
‘idha bhikkhu appamatto ātāpī pahitatto viharanto phuseyya cittassa ekaggatan’”ti. ||| a mendicant who meditates diligently, keenly, and resolutely can experience unification of mind.”
“Evametaṁ, rājakumāra, evametaṁ, rājakumāra. ||| “That’s so true, Prince! That’s so true!
Idha bhikkhu appamatto ātāpī pahitatto viharanto phuseyya cittassa ekaggatan”ti. ||| A mendicant who meditates diligently, keenly, and resolutely can experience unification of mind.”
“Sādhu me bhavaṁ aggivessano yathāsutaṁ yathāpariyattaṁ dhammaṁ desetū”ti. ||| “Worthy Aggivessana, please teach me the Dhamma as you have learned and memorized it.”
“Na kho te ahaṁ, rājakumāra, sakkomi yathāsutaṁ yathāpariyattaṁ dhammaṁ desetuṁ. ||| “I’m not competent to do so, Prince.
Ahañca hi te, rājakumāra, yathāsutaṁ yathāpariyattaṁ dhammaṁ deseyyaṁ, tvañca me bhāsitassa atthaṁ na ājāneyyāsi; so mamassa kilamatho, sā mamassa vihesā”ti. ||| For if I were to teach you the Dhamma as I have learned and memorized it, you might not understand the meaning, which would be wearying and troublesome for me.”
“Desetu me bhavaṁ aggivessano yathāsutaṁ yathāpariyattaṁ dhammaṁ. ||| “Worthy Aggivessana, please teach me the Dhamma as you have learned and memorized it.
Appevanāmāhaṁ bhoto aggivessanassa bhāsitassa atthaṁ ājāneyyan”ti. ||| Hopefully I will understand the meaning of what you say.”
“Deseyyaṁ kho te ahaṁ, rājakumāra, yathāsutaṁ yathāpariyattaṁ dhammaṁ. ||| “I shall teach you.
Sace me tvaṁ bhāsitassa atthaṁ ājāneyyāsi, iccetaṁ kusalaṁ; ||| If you understand the meaning of what I say, that’s good.
no ce me tvaṁ bhāsitassa atthaṁ ājāneyyāsi, yathāsake tiṭṭheyyāsi, na maṁ tattha uttariṁ paṭipuccheyyāsī”ti. ||| If not, then leave each to his own, and do not question me about it further.”
“Desetu me bhavaṁ aggivessano yathāsutaṁ yathāpariyattaṁ dhammaṁ. ||| “Worthy Aggivessana, please teach me the Dhamma as you have learned and memorized it.
Sace ahaṁ bhoto aggivessanassa bhāsitassa atthaṁ ājānissāmi, iccetaṁ kusalaṁ; ||| If I understand the meaning of what you say, that’s good.
no ce ahaṁ bhoto aggivessanassa bhāsitassa atthaṁ ājānissāmi, yathāsake tiṭṭhissāmi, nāhaṁ tattha bhavantaṁ aggivessanaṁ uttariṁ paṭipucchissāmī”ti. ||| If not, then I will leave each to his own, and not question you about it further.”
Atha kho aciravato samaṇuddeso jayasenassa rājakumārassa yathāsutaṁ yathāpariyattaṁ dhammaṁ desesi. ||| Then the novice Aciravata taught Prince Jayasena the Dhamma as he had learned and memorized it.
Evaṁ vutte, jayaseno rājakumāro aciravataṁ samaṇuddesaṁ etadavoca: ||| When he had spoken, Jayasena said to him,
“aṭṭhānametaṁ, bho aggivessana, anavakāso yaṁ bhikkhu appamatto ātāpī pahitatto viharanto phuseyya cittassa ekaggatan”ti. ||| “It is impossible, worthy Aggivessana, it cannot happen that a mendicant who meditates diligently, keenly, and resolutely can experience unification of mind.”
Atha kho jayaseno rājakumāro aciravatassa samaṇuddesassa aṭṭhānatañca anavakāsatañca pavedetvā uṭṭhāyāsanā pakkāmi. ||| Having declared that this was impossible, Jayasena got up from his seat and left.
Atha kho aciravato samaṇuddeso acirapakkante jayasene rājakumāre yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdi. ||| Not long after he had left, Aciravata went to the Buddha, bowed, sat down to one side,
Ekamantaṁ nisinno kho aciravato samaṇuddeso yāvatako ahosi jayasenena rājakumārena saddhiṁ kathāsallāpo taṁ sabbaṁ bhagavato ārocesi. ||| and informed the Buddha of all they had discussed.
Evaṁ vutte, bhagavā aciravataṁ samaṇuddesaṁ etadavoca: ||| When he had spoken, the Buddha said to him,
