Saṁyutta Nikāya 22.124 ||| Linked Discourses 22.124
12. Dhammakathikavagga ||| 12. A Dhamma speaker
Kappasutta ||| With Kappa
Sāvatthinidānaṁ. ||| At Sāvatthī.
Atha kho āyasmā kappo yena bhagavā tenupasaṅkami …pe… ekamantaṁ nisinno kho āyasmā kappo bhagavantaṁ etadavoca: ||| Then Venerable Kappa went up to the Buddha, bowed, sat down to one side, and said to him:
“kathaṁ nu kho, bhante, jānato kathaṁ passato imasmiñca saviññāṇake kāye bahiddhā ca sabbanimittesu ahaṅkāramamaṅkāramānānusayā na hontī”ti? ||| “Sir, how does one know and see so that there’s no I-making, mine-making, or underlying tendency to conceit for this conscious body and externally for all signs?”
“Yaṁ kiñci, kappa, rūpaṁ atītānāgatapaccuppannaṁ ajjhattaṁ vā bahiddhā vā oḷārikaṁ vā sukhumaṁ vā hīnaṁ vā paṇītaṁ vā yaṁ dūre santike vā, sabbaṁ rūpaṁ ‘netaṁ mama, nesohamasmi, na meso attā’ti evametaṁ yathābhūtaṁ sammappaññāya passati. ||| “Kappa, one truly sees any kind of form at all—past, future, or present; internal or external; solid or subtle; inferior or superior; far or near: <em>all</em> form—with right understanding: ‘This is not mine, I am not this, this is not my self.’
Yā kāci vedanā …pe… ||| One truly sees any kind of feeling …
yā kāci saññā … ||| perception …
ye keci saṅkhārā … ||| choices …
yaṁ kiñci viññāṇaṁ atītānāgatapaccuppannaṁ ajjhattaṁ vā bahiddhā vā oḷārikaṁ vā sukhumaṁ vā hīnaṁ vā paṇītaṁ vā yaṁ dūre santike vā, sabbaṁ viññāṇaṁ ‘netaṁ mama, nesohamasmi, na meso attā’ti evametaṁ yathābhūtaṁ sammappaññāya passati. ||| consciousness at all—past, future, or present; internal or external; solid or subtle; inferior or superior; far or near: <em>all</em> consciousness—with right understanding: ‘This is not mine, I am not this, this is not my self.’
Evaṁ kho, kappa, jānato evaṁ passato imasmiñca saviññāṇake kāye bahiddhā ca sabbanimittesu ahaṅkāramamaṅkāramānānusayā na hontī”ti. ||| That’s how to know and see so that there’s no I-making, mine-making, or underlying tendency to conceit for this conscious body and externally for all signs.”
Dvādasamaṁ.
