Saṁyutta Nikāya 11.12 ||| Linked Discourses 11.12
2. Dutiyavagga ||| Chapter Two
Sakkanāmasutta ||| Sakka’s Names
Sāvatthiyaṁ jetavane. ||| Near Sāvatthī in Jeta’s Grove.
Tatra kho bhagavā bhikkhū etadavoca: ||| There the Buddha said to the mendicants:
“sakko, bhikkhave, devānamindo pubbe manussabhūto samāno magho nāma māṇavo ahosi, tasmā maghavāti vuccati. ||| “Mendicants, in a former life, when Sakka was a human being, he was a student named Magha. That’s why he’s called Maghavā, the Bounteous One.
Sakko, bhikkhave, devānamindo pubbe manussabhūto samāno pure dānaṁ adāsi, tasmā purindadoti vuccati. ||| In a former life, when Sakka was a human being, he was first to give gifts. That’s why he’s called Purindada, the Firstgiver.
Sakko, bhikkhave, devānamindo pubbe manussabhūto samāno sakkaccaṁ dānaṁ adāsi, tasmā sakkoti vuccati. ||| In a former life, when Sakka was a human being, he gave gifts ably. That’s why he’s called Sakka, the Able.
Sakko, bhikkhave, devānamindo pubbe manussabhūto samāno āvasathaṁ adāsi, tasmā vāsavoti vuccati. ||| In a former life, when Sakka was a human being, he gave the gift of a guest house. That’s why he’s called Vāsava, the Houser.
Sakko, bhikkhave, devānamindo sahassampi atthānaṁ muhuttena cinteti, tasmā sahassakkhoti vuccati. ||| Sakka thinks of a thousand needs in an hour. That’s why he’s called Sahassakkha, the Thousand-Eyed.
Sakkassa, bhikkhave, devānamindassa sujā nāma asurakaññā pajāpati, tasmā sujampatīti vuccati. ||| Sakka’s wife is the titan maiden named Sujā. That’s why he’s called Sujampati, Sujā’s Husband.
Sakko, bhikkhave, devānamindo devānaṁ tāvatiṁsānaṁ issariyādhipaccaṁ rajjaṁ kāreti, tasmā devānamindoti vuccati. ||| Sakka rules as sovereign lord over the gods of the thirty-three. That’s why he’s called Devānaminda, the Lord of Gods.
Sakkassa, bhikkhave, devānamindassa pubbe manussabhūtassa satta vatapadāni samattāni samādinnāni ahesuṁ, yesaṁ samādinnattā sakko sakkattaṁ ajjhagā. ||| In a former life, when Sakka was a human being, he undertook seven vows. And it was because of undertaking these that he achieved the status of Sakka.
Katamāni satta vatapadāni? ||| What seven?
Yāvajīvaṁ mātāpettibharo assaṁ, ||| As long as I live, may I support my parents.
yāvajīvaṁ kule jeṭṭhāpacāyī assaṁ, ||| As long as I live, may I honor the elders in the family.
yāvajīvaṁ saṇhavāco assaṁ, ||| As long as I live, may I speak gently.
yāvajīvaṁ apisuṇavāco assaṁ, ||| As long as I live, may I not backbite.
yāvajīvaṁ vigatamalamaccherena cetasā agāraṁ ajjhāvaseyyaṁ muttacāgo payatapāṇi vossaggarato yācayogo dānasaṁvibhāgarato, ||| As long as I live, may I live at home rid of the stain of stinginess, freely generous, open-handed, loving to let go, committed to charity, loving to give and to share.
yāvajīvaṁ saccavāco assaṁ, ||| As long as I live, may I speak the truth.
yāvajīvaṁ akkodhano assaṁ—sacepi me kodho uppajjeyya, khippameva naṁ paṭivineyyanti. ||| As long as I live, may I be free of anger, or should anger arise, may I quickly get rid of it.
Sakkassa, bhikkhave, devānamindassa pubbe manussabhūtassa imāni satta vatapadāni samattāni samādinnāni ahesuṁ, yesaṁ samādinnattā sakko sakkattaṁ ajjhagāti. ||| In a former life, when Sakka was a human being, he undertook seven vows. And it was because of undertaking these that he achieved the status of Sakka.
Mātāpettibharaṁ jantuṁ, ||| A child who respects their parents,
kule jeṭṭhāpacāyinaṁ; ||| and honors the elders in the family,
Saṇhaṁ sakhilasambhāsaṁ, ||| whose speech is gentle and courteous,
pesuṇeyyappahāyinaṁ. ||| and has given up backbiting;
Maccheravinaye yuttaṁ, ||| who’s committed to getting rid of stinginess,
saccaṁ kodhābhibhuṁ naraṁ; ||| is truthful, and has mastered anger:
Taṁ ve devā tāvatiṁsā, ||| the gods of the thirty-three declare
āhu sappuriso itī”ti. ||| them to be a true person.”
