Aṅguttara Nikāya 1 ||| Numbered Discourses 1.278–286
22. Dutiyavagga ||| Chapter Two
278 ||| 278
“Aṭṭhānametaṁ, bhikkhave, anavakāso yaṁ ekissā lokadhātuyā dve rājāno cakkavattī apubbaṁ acarimaṁ uppajjeyyuṁ. Netaṁ ṭhānaṁ vijjati. ||| “It is impossible, mendicants, it cannot happen for two wheel-turning monarchs to arise in the same solar system at the same time.
Ṭhānañca kho etaṁ, bhikkhave, vijjati yaṁ ekissā lokadhātuyā eko rājā cakkavattī uppajjeyya. Ṭhānametaṁ vijjatī”ti. ||| But it is possible for just one wheel-turning monarch to arise in one solar system.”
279 ||| 279
“Aṭṭhānametaṁ, bhikkhave, anavakāso yaṁ itthī arahaṁ assa sammāsambuddho. Netaṁ ṭhānaṁ vijjati. ||| “It is impossible, mendicants, it cannot happen for a woman to be a perfected one, a fully awakened Buddha.
Ṭhānañca kho, etaṁ, bhikkhave, vijjati yaṁ puriso arahaṁ assa sammāsambuddho. Ṭhānametaṁ vijjatī”ti. ||| But it is possible for a man to be a perfected one, a fully awakened Buddha.”
280 ||| 280
“Aṭṭhānametaṁ, bhikkhave, anavakāso yaṁ itthī rājā assa cakkavattī. Netaṁ ṭhānaṁ vijjati. ||| “It is impossible, mendicants, it cannot happen for a woman to be a wheel-turning monarch.
Ṭhānañca kho etaṁ, bhikkhave, vijjati yaṁ puriso rājā assa cakkavattī. Ṭhānametaṁ vijjatī”ti. ||| But it is possible for a man to be a wheel-turning monarch.”
281–283 ||| 281–283
“Aṭṭhānametaṁ, bhikkhave, anavakāso yaṁ itthī sakkattaṁ kāreyya …pe… mārattaṁ kāreyya …pe… brahmattaṁ kāreyya. Netaṁ ṭhānaṁ vijjati. ||| “It is impossible, mendicants, it cannot happen for a woman to perform the role of Sakka, Māra, or the Divinity.
Ṭhānañca kho etaṁ, bhikkhave, vijjati yaṁ puriso sakkattaṁ kāreyya …pe… mārattaṁ kāreyya …pe… brahmattaṁ kāreyya. Ṭhānametaṁ vijjatī”ti. ||| But it is possible for a man to perform the role of Sakka, Māra, or the Divinity.”
284 ||| 284
“Aṭṭhānametaṁ, bhikkhave, anavakāso yaṁ kāyaduccaritassa iṭṭho kanto manāpo vipāko nibbatteyya. Netaṁ ṭhānaṁ vijjati. ||| “It is impossible, mendicants, it cannot happen for a likable, desirable, agreeable result to come from bad bodily conduct.
Ṭhānañca kho etaṁ, bhikkhave, vijjati yaṁ kāyaduccaritassa aniṭṭho akanto amanāpo vipāko nibbatteyya. Ṭhānametaṁ vijjatī”ti. ||| But it is possible for an unlikable, undesirable, disagreeable result to come from bad bodily conduct.”
285–286 ||| 285–286
“Aṭṭhānametaṁ, bhikkhave, anavakāso yaṁ vacīduccaritassa …pe… yaṁ manoduccaritassa iṭṭho kanto manāpo vipāko nibbatteyya. Netaṁ ṭhānaṁ vijjati. ||| “It is impossible, mendicants, it cannot happen for a likable, desirable, agreeable result to come from bad verbal … bad mental conduct.
Ṭhānañca kho etaṁ, bhikkhave, vijjati yaṁ manoduccaritassa aniṭṭho akanto amanāpo vipāko nibbatteyya. Ṭhānametaṁ vijjatī”ti. ||| But it is possible for an unlikable, undesirable, disagreeable result to come from bad verbal … bad mental conduct.”
Vaggo dutiyo.
