Saṁyutta Nikāya 47.46 ||| Linked Discourses 47.46
5. Amatavagga ||| 5. Freedom From Death
Pātimokkhasaṁvarasutta ||| Restraint in the Monastic Code
Atha kho aññataro bhikkhu yena bhagavā tenupasaṅkami …pe… ekamantaṁ nisinno kho so bhikkhu bhagavantaṁ etadavoca: ||| Then a mendicant went up to the Buddha, bowed, sat down to one side, and said to him:
“Sādhu me, bhante, bhagavā saṅkhittena dhammaṁ desetu, yamahaṁ bhagavato dhammaṁ sutvā eko vūpakaṭṭho appamatto ātāpī pahitatto vihareyyan”ti. ||| “Sir, may the Buddha please teach me Dhamma in brief. When I’ve heard it, I’ll live alone, withdrawn, diligent, keen, and resolute.”
“Tasmātiha tvaṁ, bhikkhu, ādimeva visodhehi kusalesu dhammesu. ||| “Well then, mendicant, you should purify the starting point of skillful qualities.
Ko cādi kusalānaṁ dhammānaṁ? ||| What is the starting point of skillful qualities?
Idha tvaṁ, bhikkhu, pātimokkhasaṁvarasaṁvuto viharāhi ācāragocarasampanno aṇumattesu vajjesu bhayadassāvī, samādāya sikkhassu sikkhāpadesu. ||| Live restrained in the monastic code, conducting yourself well and resorting for alms in suitable places. Seeing danger in the slightest fault, keep the rules you’ve undertaken.
Yato kho tvaṁ, bhikkhu, pātimokkhasaṁvarasaṁvuto viharissasi ācāragocarasampanno aṇumattesu vajjesu bhayadassāvī samādāya sikkhassu sikkhāpadesu; tato tvaṁ, bhikkhu, sīlaṁ nissāya sīle patiṭṭhāya cattāro satipaṭṭhāne bhāveyyāsi. ||| When you’ve done this, you should develop the four kinds of mindfulness meditation, depending on and grounded on ethics.
Katame cattāro? ||| What four?
Idha tvaṁ, bhikkhu, kāye kāyānupassī viharāhi ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ; ||| Meditate observing an aspect of the body—keen, aware, and mindful, rid of covetousness and displeasure for the world.
vedanāsu …pe… ||| Meditate observing an aspect of feelings …
citte …pe… ||| mind …
dhammesu dhammānupassī viharāhi ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ. ||| principles—keen, aware, and mindful, rid of covetousness and displeasure for the world.
Yato kho tvaṁ, bhikkhu, sīlaṁ nissāya sīle patiṭṭhāya ime cattāro satipaṭṭhāne evaṁ bhāvessasi, tato tuyhaṁ, bhikkhu, yā ratti vā divaso vā āgamissati vuddhiyeva pāṭikaṅkhā kusalesu dhammesu, no parihānī”ti. ||| When you develop the four kinds of mindfulness meditation in this way, depending on and grounded on ethics, you can expect growth, not decline, in skillful qualities, whether by day or by night.”
Atha kho so bhikkhu bhagavato bhāsitaṁ abhinanditvā anumoditvā uṭṭhāyāsanā bhagavantaṁ abhivādetvā padakkhiṇaṁ katvā pakkāmi. ||| And then that mendicant approved and agreed with what the Buddha said. He got up from his seat, bowed, and respectfully circled the Buddha, keeping him on his right, before leaving.
Atha kho so bhikkhu eko vūpakaṭṭho appamatto ātāpī pahitatto viharanto nacirasseva—yassatthāya kulaputtā sammadeva agārasmā anagāriyaṁ pabbajanti, tadanuttaraṁ—brahmacariyapariyosānaṁ diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharati. ||| Then that mendicant, living alone, withdrawn, diligent, keen, and resolute, soon realized the supreme end of the spiritual path in this very life. He lived having achieved with his own insight the goal for which gentlemen rightly go forth from the lay life to homelessness.
“Khīṇā jāti, vusitaṁ brahmacariyaṁ, kataṁ karaṇīyaṁ, nāparaṁ itthattāyā”ti abbhaññāsi. ||| He understood: “Rebirth is ended; the spiritual journey has been completed; what had to be done has been done; there is nothing further for this place.”
Aññataro ca pana so bhikkhu arahataṁ ahosīti. ||| And that mendicant became one of the perfected.
Chaṭṭhaṁ.
