Saṁyutta Nikāya 12.16 ||| Linked Discourses 12.16
2. Āhāravagga ||| 2. Fuel
Dhammakathikasutta ||| A Dhamma Speaker
Sāvatthiyaṁ … ||| At Sāvatthī.
Atha kho aññataro bhikkhu yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdi. Ekamantaṁ nisinno kho so bhikkhu bhagavantaṁ etadavoca: ||| Then a mendicant went up to the Buddha, bowed, sat down to one side, and said to him:
“‘dhammakathiko dhammakathiko’ti, bhante, vuccati. ||| “Sir, they speak of a ‘Dhamma speaker’.
Kittāvatā nu kho, bhante, dhammakathiko hotī”ti? ||| How is a Dhamma speaker defined?”
“Jarāmaraṇassa ce bhikkhu nibbidāya virāgāya nirodhāya dhammaṁ deseti, ‘dhammakathiko bhikkhū’ti alaṁvacanāya. ||| “If a mendicant teaches Dhamma for disillusionment, dispassion, and cessation regarding old age and death, they’re qualified to be called ‘a mendicant who speaks on Dhamma’.
Jarāmaraṇassa ce bhikkhu nibbidāya virāgāya nirodhāya paṭipanno hoti, ‘dhammānudhammappaṭipanno bhikkhū’ti alaṁvacanāya. ||| If they practice for disillusionment, dispassion, and cessation regarding old age and death, they’re qualified to be called ‘a mendicant who practices in line with the teaching’.
Jarāmaraṇassa ce bhikkhu nibbidā virāgā nirodhā anupādāvimutto hoti, ‘diṭṭhadhammanibbānappatto bhikkhū’ti alaṁvacanāya. ||| If they’re freed by not grasping, by disillusionment, dispassion, and cessation regarding old age and death, they’re qualified to be called ‘a mendicant who has attained extinguishment in this very life’.
Jātiyā ce bhikkhu …pe… ||| If a mendicant teaches Dhamma for disillusionment regarding rebirth …
bhavassa ce bhikkhu … ||| continued existence …
upādānassa ce bhikkhu … ||| grasping …
taṇhāya ce bhikkhu … ||| craving …
vedanāya ce bhikkhu … ||| feeling …
phassassa ce bhikkhu … ||| contact …
saḷāyatanassa ce bhikkhu … ||| the six sense fields …
nāmarūpassa ce bhikkhu … ||| name and form …
viññāṇassa ce bhikkhu … ||| consciousness …
saṅkhārānañce bhikkhu … ||| choices …
avijjāya ce bhikkhu nibbidāya virāgāya nirodhāya dhammaṁ deseti, ‘dhammakathiko bhikkhū’ti alaṁvacanāya. ||| If a mendicant teaches Dhamma for disillusionment, dispassion, and cessation regarding ignorance, they’re qualified to be called ‘a mendicant who speaks on Dhamma’.
Avijjāya ce bhikkhu nibbidāya virāgāya nirodhāya paṭipanno hoti, ‘dhammānudhammappaṭipanno bhikkhū’ti alaṁvacanāya. ||| If they practice for disillusionment, dispassion, and cessation regarding ignorance, they’re qualified to be called ‘a mendicant who practices in line with the teaching’.
Avijjāya ce bhikkhu nibbidā virāgā nirodhā anupādāvimutto hoti, ‘diṭṭhadhammanibbānappatto bhikkhū’ti alaṁvacanāyā”ti. ||| If they’re freed by not grasping, by disillusionment, dispassion, and cessation regarding ignorance, they’re qualified to be called ‘a mendicant who has attained extinguishment in this very life’.”
Chaṭṭhaṁ.
