Saṁyutta Nikāya 14.12 ||| Linked Discourses 14.12
2. Dutiyavagga ||| Chapter Two
Sanidānasutta ||| With a Cause
Sāvatthiyaṁ viharati. ||| At Sāvatthī.
“Sanidānaṁ, bhikkhave, uppajjati kāmavitakko, no anidānaṁ; sanidānaṁ uppajjati byāpādavitakko, no anidānaṁ; sanidānaṁ uppajjati vihiṁsāvitakko, no anidānaṁ. ||| “Mendicants, sensual, malicious, and cruel thoughts arise for a reason, not without reason.
Kathañca, bhikkhave, sanidānaṁ uppajjati kāmavitakko, no anidānaṁ; sanidānaṁ uppajjati byāpādavitakko, no anidānaṁ; sanidānaṁ uppajjati vihiṁsāvitakko, no anidānaṁ? ||| And how do sensual, malicious, and cruel thoughts arise for a reason, not without reason?
Kāmadhātuṁ, bhikkhave, paṭicca uppajjati kāmasaññā, kāmasaññaṁ paṭicca uppajjati kāmasaṅkappo, kāmasaṅkappaṁ paṭicca uppajjati kāmacchando, kāmacchandaṁ paṭicca uppajjati kāmapariḷāho, kāmapariḷāhaṁ paṭicca uppajjati kāmapariyesanā. ||| The element of sensuality gives rise to sensual perceptions. Sensual perceptions give rise to sensual purposes. Sensual purposes give rise to sensual desires. Sensual desires give rise to sensual passions. Sensual passions give rise to searches for sensual pleasures.
Kāmapariyesanaṁ, bhikkhave, pariyesamāno assutavā puthujjano tīhi ṭhānehi micchā paṭipajjati—kāyena, vācāya, manasā. ||| An unlearned ordinary person on a search for sensual pleasures behaves badly in three ways: by body, speech, and mind.
Byāpādadhātuṁ, bhikkhave, paṭicca uppajjati byāpādasaññā, byāpādasaññaṁ paṭicca uppajjati byāpādasaṅkappo …pe… byāpādacchando … byāpādapariḷāho … byāpādapariyesanā … ||| The element of malice gives rise to malicious perceptions. Malicious perceptions give rise to malicious thoughts. … malicious desires … malicious passions … malicious searches …
byāpādapariyesanaṁ, bhikkhave, pariyesamāno assutavā puthujjano tīhi ṭhānehi micchā paṭipajjati—kāyena, vācāya, manasā. ||| An unlearned ordinary person on a malicious search behaves badly in three ways: by body, speech, and mind.
Vihiṁsādhātuṁ, bhikkhave, paṭicca uppajjati vihiṁsāsaññā; vihiṁsāsaññaṁ paṭicca uppajjati vihiṁsāsaṅkappo …pe… vihiṁsāchando … vihiṁsāpariḷāho … vihiṁsāpariyesanā … ||| The element of cruelty gives rise to cruel perceptions. Cruel perceptions give rise to cruel purposes. … cruel desires … cruel passions … cruel searches …
vihiṁsāpariyesanaṁ, bhikkhave, pariyesamāno assutavā puthujjano tīhi ṭhānehi micchā paṭipajjati—kāyena, vācāya, manasā. ||| An unlearned ordinary person on a cruel search behaves badly in three ways: by body, speech, and mind.
