Saṁyutta Nikāya 6.1 ||| Linked Discourses 6.1
1. Paṭhamavagga ||| 1. The Appeal
Brahmāyācanasutta ||| The Appeal of the Divinity
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā uruvelāyaṁ viharati najjā nerañjarāya tīre ajapālanigrodhamūle paṭhamābhisambuddho. ||| At one time, when he was first awakened, the Buddha was staying in Uruvelā at the root of the goatherd’s banyan tree on the bank of the Nerañjarā River.
Atha kho bhagavato rahogatassa paṭisallīnassa evaṁ cetaso parivitakko udapādi: ||| Then as he was in private retreat this thought came to his mind,
“adhigato kho myāyaṁ dhammo gambhīro duddaso duranubodho santo paṇīto atakkāvacaro nipuṇo paṇḍitavedanīyo. ||| “This principle I have discovered is deep, hard to see, hard to understand, peaceful, sublime, beyond the scope of logic, subtle, comprehensible to the astute.
Ālayarāmā kho panāyaṁ pajā ālayaratā ālayasammuditā. ||| But people like clinging, they love it and enjoy it.
Ālayarāmāya kho pana pajāya ālayaratāya ālayasammuditāya duddasaṁ idaṁ ṭhānaṁ yadidaṁ idappaccayatāpaṭiccasamuppādo. ||| It’s hard for them to see this topic; that is, specific conditionality, dependent origination.
Idampi kho ṭhānaṁ duddasaṁ yadidaṁ sabbasaṅkhārasamatho sabbūpadhipaṭinissaggo taṇhākkhayo virāgo nirodho nibbānaṁ. ||| It’s also hard for them to see this topic; that is, the stilling of all activities, the letting go of all attachments, the ending of craving, fading away, cessation, extinguishment.
Ahañceva kho pana dhammaṁ deseyyaṁ; pare ca me na ājāneyyuṁ; so mamassa kilamatho, sā mamassa vihesā”ti. ||| And if I were to teach this principle, others might not understand me, which would be wearying and troublesome for me.”
Apissu bhagavantaṁ imā anacchariyā gāthāyo paṭibhaṁsu pubbe assutapubbā: ||| And then these verses, which were neither supernaturally inspired, nor learned before in the past, occurred to the Buddha:
“Kicchena me adhigataṁ, ||| “I’ve struggled hard to realize this,
halaṁ dāni pakāsituṁ; ||| enough with trying to explain it!
Rāgadosaparetehi, ||| Those mired in greed and hate
nāyaṁ dhammo susambudho. ||| can’t really understand this teaching.
Paṭisotagāmiṁ nipuṇaṁ, ||| It goes against the stream, subtle,
gambhīraṁ duddasaṁ aṇuṁ; ||| deep, obscure, and very fine.
Rāgarattā na dakkhanti, ||| Those besotted by greed cannot see,
tamokhandhena āvuṭā”ti. ||| for they’re shrouded in a mass of darkness.”
Itiha bhagavato paṭisañcikkhato appossukkatāya cittaṁ namati, no dhammadesanāya. ||| And as the Buddha reflected like this, his mind inclined to remaining passive, not to teaching the Dhamma.
Atha kho brahmuno sahampatissa bhagavato cetasā cetoparivitakkamaññāya etadahosi: ||| Then, knowing the Buddha’s train of thought, it occurred to the divinity Sahampati,
