Saṁyutta Nikāya 35.24 ||| Linked Discourses 35.24
3. Sabbavagga ||| 3. All
Pahānasutta ||| Giving Up
“Sabbappahānāya vo, bhikkhave, dhammaṁ desessāmi. ||| “Mendicants, I will teach you the principle for giving up the all.
Taṁ suṇātha. ||| Listen …
Katamo ca, bhikkhave, sabbappahānāya dhammo? ||| And what is the principle for giving up the all?
Cakkhuṁ, bhikkhave, pahātabbaṁ, rūpā pahātabbā, cakkhuviññāṇaṁ pahātabbaṁ, cakkhusamphasso pahātabbo, yampidaṁ cakkhusamphassapaccayā uppajjati vedayitaṁ sukhaṁ vā dukkhaṁ vā adukkhamasukhaṁ vā tampi pahātabbaṁ …pe… ||| The eye should be given up. Sights should be given up. Eye consciousness should be given up. Eye contact should be given up. The painful, pleasant, or neutral feeling that arises dependent on eye contact should also be given up.
jivhā pahātabbā, rasā pahātabbā, jivhāviññāṇaṁ pahātabbaṁ, jivhāsamphasso pahātabbo, yampidaṁ jivhāsamphassapaccayā uppajjati vedayitaṁ sukhaṁ vā dukkhaṁ vā adukkhamasukhaṁ vā tampi pahātabbaṁ. ||| tongue …
Kāyo pahātabbo … ||| body …
mano pahātabbo, dhammā pahātabbā, manoviññāṇaṁ pahātabbaṁ, manosamphasso pahātabbo, yampidaṁ manosamphassapaccayā uppajjati vedayitaṁ sukhaṁ vā dukkhaṁ vā adukkhamasukhaṁ vā tampi pahātabbaṁ. ||| mind should be given up. Ideas should be given up. Mind consciousness should be given up. Mind contact should be given up. The painful, pleasant, or neutral feeling that arises dependent on mind contact should be given up.
Ayaṁ kho, bhikkhave, sabbappahānāya dhammo”ti. ||| This is the principle for giving up the all.”
Dutiyaṁ.
