Majjhima Nikāya 102 ||| Middle Discourses 102
Pañcattayasutta ||| The Five and Three
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme. ||| At one time the Buddha was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s monastery.
Tatra kho bhagavā bhikkhū āmantesi: ||| There the Buddha addressed the mendicants,
“bhikkhavo”ti. ||| “Mendicants!”
“Bhadante”ti te bhikkhū bhagavato paccassosuṁ. ||| “Venerable sir,” they replied.
Bhagavā etadavoca: ||| The Buddha said this:
“santi, bhikkhave, eke samaṇabrāhmaṇā aparantakappikā aparantānudiṭṭhino aparantaṁ ārabbha anekavihitāni adhivuttipadāni abhivadanti. ||| “Mendicants, there are some ascetics and brahmins who speculate and theorize about the final end, and assert various hypotheses concerning the final end.
‘Saññī attā hoti arogo paraṁ maraṇā’ti— ||| Some propose this: ‘The self is percipient and healthy after death.’
ittheke abhivadanti;
‘asaññī attā hoti arogo paraṁ maraṇā’ti— ||| Some propose this: ‘The self is non-percipient and healthy after death.’
ittheke abhivadanti;
‘nevasaññīnāsaññī attā hoti arogo paraṁ maraṇā’ti— ||| Some propose this: ‘The self is neither percipient nor non-percipient and healthy after death.’
ittheke abhivadanti;
sato vā pana sattassa ucchedaṁ vināsaṁ vibhavaṁ paññapenti, diṭṭhadhammanibbānaṁ vā paneke abhivadanti. ||| But some assert the annihilation, eradication, and nonexistence of an existing being, while others propose extinguishment in this life.
Iti santaṁ vā attānaṁ paññapenti arogaṁ paraṁ maraṇā, sato vā pana sattassa ucchedaṁ vināsaṁ vibhavaṁ paññapenti, diṭṭhadhammanibbānaṁ vā paneke abhivadanti. ||| Thus they assert an existent self that is free of disease after death; or they assert the annihilation of an existing being; while some propose extinguishment in this life.
Iti imāni pañca hutvā tīṇi honti, tīṇi hutvā pañca honti— ||| In this way five become three, and three become five.
ayamuddeso pañcattayassa. ||| This is the summary recital of the five and three.
Tatra, bhikkhave, ye te samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, rūpiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, arūpiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, rūpiñca arūpiñca vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, nevarūpiṁ nārūpiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, ekattasaññiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, nānattasaññiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, parittasaññiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, appamāṇasaññiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, etaṁ vā panekesaṁ upātivattataṁ viññāṇakasiṇameke abhivadanti appamāṇaṁ āneñjaṁ. ||| Now, the ascetics and brahmins who assert a self that is percipient and healthy after death describe it as formed, or formless, or both formed and formless, or neither formed nor formless. Or they describe it as of unified perception, or of diverse perception, or of limited perception, or of limitless perception. Or some among those who go beyond this propose universal consciousness, limitless and imperturbable.
Tayidaṁ, bhikkhave, tathāgato abhijānāti. ||| The Realized One understands this as follows.
Ye kho te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, rūpiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, arūpiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, rūpiñca arūpiñca vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, nevarūpiṁ nārūpiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, ekattasaññiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, nānattasaññiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, parittasaññiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, appamāṇasaññiṁ vā te bhonto samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, yā vā panetāsaṁ saññānaṁ parisuddhā paramā aggā anuttariyā akkhāyati— ||| There are ascetics and brahmins who assert a self that is percipient and healthy after death, describing it as formed, or formless, or both formed and formless, or neither formed nor formless. Or they describe it as of unified perception, or of diverse perception, or of limited perception, or of limitless perception.
yadi rūpasaññānaṁ yadi arūpasaññānaṁ yadi ekattasaññānaṁ yadi nānattasaññānaṁ.
‘Natthi kiñcī’ti ākiñcaññāyatanameke abhivadanti appamāṇaṁ āneñjaṁ. ||| Or some, aware that ‘there is nothing at all’, propose the dimension of nothingness, limitless and imperturbable. They declare that this is the purest, highest, best, and supreme of all those perceptions, whether of form or of formlessness or of unity or of diversity.
‘Tayidaṁ saṅkhataṁ oḷārikaṁ atthi kho pana saṅkhārānaṁ nirodho atthetan’ti— ||| ‘That much is conditioned and crude. But there is the cessation of conditions—<em>that</em> is real.’
iti viditvā tassa nissaraṇadassāvī tathāgato tadupātivatto. ||| Understanding this and seeing the escape from it, the Realized One has gone beyond all that.
Tatra, bhikkhave, ye te samaṇabrāhmaṇā asaññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, rūpiṁ vā te bhonto samaṇabrāhmaṇā asaññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, arūpiṁ vā te bhonto samaṇabrāhmaṇā asaññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, rūpiñca arūpiñca vā te bhonto samaṇabrāhmaṇā asaññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, nevarūpiṁ nārūpiṁ vā te bhonto samaṇabrāhmaṇā asaññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā. ||| Now, the ascetics and brahmins who assert a self that is non-percipient and healthy after death describe it as formed, or formless, or both formed and formless, or neither formed nor formless.
Tatra, bhikkhave, ye te samaṇabrāhmaṇā saññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā tesamete paṭikkosanti. ||| So they reject those who assert a self that is percipient and healthy after death.
Taṁ kissa hetu? ||| Why is that?
Saññā rogo saññā gaṇḍo saññā sallaṁ, etaṁ santaṁ etaṁ paṇītaṁ yadidaṁ: ‘asaññan’ti. ||| Because they believe that perception is a disease, a boil, a dart, and that the state of non-perception is peaceful and sublime.
Tayidaṁ, bhikkhave, tathāgato abhijānāti ||| The Realized One understands this as follows.
ye kho te bhonto samaṇabrāhmaṇā asaññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, rūpiṁ vā te bhonto samaṇabrāhmaṇā asaññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, arūpiṁ vā te bhonto samaṇabrāhmaṇā asaññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, rūpiñca arūpiñca vā te bhonto samaṇabrāhmaṇā asaññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā, nevarūpiṁ nārūpiṁ vā te bhonto samaṇabrāhmaṇā asaññiṁ attānaṁ paññapenti arogaṁ paraṁ maraṇā. ||| There are ascetics and brahmins who assert a self that is non-percipient and healthy after death, describing it as formed, or formless, or both formed and formless, or neither formed nor formless.
Yo hi koci, bhikkhave, samaṇo vā brāhmaṇo vā evaṁ vadeyya: ||| But if any ascetic or brahmin should say this:
‘ahamaññatra rūpā, aññatra vedanāya, aññatra saññāya, aññatra saṅkhārehi, viññāṇassa āgatiṁ vā gatiṁ vā cutiṁ vā upapattiṁ vā vuddhiṁ vā virūḷhiṁ vā vepullaṁ vā paññapessāmī’ti— ||| ‘Apart from form, feeling, perception, and choices, I will describe the coming and going of consciousness, its passing away and reappearing, its growth, increase, and maturity.’
netaṁ ṭhānaṁ vijjati. ||| That is not possible.
