Majjhima Nikāya 67 ||| Middle Discourses 67
Cātumasutta ||| At Cātumā
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā cātumāyaṁ viharati āmalakīvane. ||| At one time the Buddha was staying near Cātumā in a myrobalan grove.
Tena kho pana samayena sāriputtamoggallānappamukhāni pañcamattāni bhikkhusatāni cātumaṁ anuppattāni honti bhagavantaṁ dassanāya. ||| Now at that time five hundred mendicants headed by Sāriputta and Moggallāna arrived at Cātumā to see the Buddha.
Te ca āgantukā bhikkhū nevāsikehi bhikkhūhi saddhiṁ paṭisammodamānā senāsanāni paññāpayamānā pattacīvarāni paṭisāmayamānā uccāsaddā mahāsaddā ahesuṁ. ||| And the visiting mendicants, while exchanging pleasantries with the resident mendicants, preparing their lodgings, and putting away their bowls and robes, made a colossal racket.
Atha kho bhagavā āyasmantaṁ ānandaṁ āmantesi: ||| Then the Buddha said to Venerable Ānanda,
“ke panete, ānanda, uccāsaddā mahāsaddā, kevaṭṭā maññe macchavilope”ti? ||| “Ānanda, who’s making that colossal racket? You’d think it was fishermen hauling in a catch!”
“Etāni, bhante, sāriputtamoggallānappamukhāni pañcamattāni bhikkhusatāni cātumaṁ anuppattāni bhagavantaṁ dassanāya. ||| And Ānanda told him what had happened.
Te āgantukā bhikkhū nevāsikehi bhikkhūhi saddhiṁ paṭisammodamānā senāsanāni paññāpayamānā pattacīvarāni paṭisāmayamānā uccāsaddā mahāsaddā”ti.
“Tenahānanda, mama vacanena te bhikkhū āmantehi: ||| “Well then, Ānanda, in my name tell those mendicants that
‘satthā āyasmante āmantetī’”ti. ||| the teacher summons them.”
“Evaṁ, bhante”ti kho āyasmā ānando bhagavato paṭissutvā yena te bhikkhū tenupasaṅkami; upasaṅkamitvā te bhikkhū etadavoca: ||| “Yes, sir,” Ānanda replied. He went to those mendicants and said,
“satthā āyasmante āmantetī”ti. ||| “Venerables, the teacher summons you.”
“Evamāvuso”ti kho te bhikkhū āyasmato ānandassa paṭissutvā yena bhagavā tenupasaṅkamiṁsu; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdiṁsu. Ekamantaṁ nisinne kho te bhikkhū bhagavā etadavoca: ||| “Yes, reverend,” replied those mendicants. Then they rose from their seats and went to the Buddha, bowed, and sat down to one side. The Buddha said to them:
“kiṁ nu tumhe, bhikkhave, uccāsaddā mahāsaddā, kevaṭṭā maññe macchavilope”ti? ||| “Mendicants, what’s with that colossal racket? You’d think it was fishermen hauling in a catch!”
“Imāni, bhante, sāriputtamoggallānappamukhāni pañcamattāni bhikkhusatāni cātumaṁ anuppattāni bhagavantaṁ dassanāya. ||| And they told him what had happened.
Teme āgantukā bhikkhū nevāsikehi bhikkhūhi saddhiṁ paṭisammodamānā senāsanāni paññāpayamānā pattacīvarāni paṭisāmayamānā uccāsaddā mahāsaddā”ti.
“Gacchatha, bhikkhave, paṇāmemi vo, na vo mama santike vatthabban”ti. ||| “Go away, mendicants, I dismiss you. You are not to stay in my presence.”
“Evaṁ, bhante”ti kho te bhikkhū bhagavato paṭissutvā uṭṭhāyāsanā bhagavantaṁ abhivādetvā padakkhiṇaṁ katvā senāsanaṁ saṁsāmetvā pattacīvaramādāya pakkamiṁsu. ||| “Yes, sir,” replied those mendicants. They got up from their seats, bowed, and respectfully circled the Buddha, keeping him on their right. They set their lodgings in order and left, taking their bowls and robes.
Tena kho pana samayena cātumeyyakā sakyā santhāgāre sannipatitā honti kenacideva karaṇīyena. ||| Now at that time the Sakyans of Cātumā were sitting together at the town hall on some business.
Addasaṁsu kho cātumeyyakā sakyā te bhikkhū dūratova āgacchante; ||| Seeing those mendicants coming off in the distance,
disvāna yena te bhikkhū tenupasaṅkamiṁsu; upasaṅkamitvā te bhikkhū etadavocuṁ: ||| they went up to them and said,
“handa kahaṁ pana tumhe āyasmanto gacchathā”ti? ||| “Hello venerables, where are you going?”
“Bhagavatā kho, āvuso, bhikkhusaṅgho paṇāmito”ti. ||| “Good sirs, the mendicant Saṅgha has been dismissed by the Buddha.”
“Tenahāyasmanto muhuttaṁ nisīdatha, appeva nāma mayaṁ sakkuṇeyyāma bhagavantaṁ pasādetun”ti. ||| “Well then, venerables, sit here for an hour. Hopefully we’ll be able to restore the Buddha’s confidence.”
“Evamāvuso”ti kho te bhikkhū cātumeyyakānaṁ sakyānaṁ paccassosuṁ. ||| “Yes, respectable sirs,” replied the mendicants.
Atha kho cātumeyyakā sakyā yena bhagavā tenupasaṅkamiṁsu; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdiṁsu. Ekamantaṁ nisinnā kho cātumeyyakā sakyā bhagavantaṁ etadavocuṁ: ||| Then the Sakyans of Cātumā went up to the Buddha, bowed, sat down to one side, and said to him:
“abhinandatu, bhante, bhagavā bhikkhusaṅghaṁ; ||| “May the Buddha be happy with the mendicant Saṅgha!
abhivadatu, bhante, bhagavā bhikkhusaṅghaṁ. ||| May the Buddha welcome the mendicant Saṅgha!
Seyyathāpi, bhante, bhagavatā pubbe bhikkhusaṅgho anuggahito; evameva bhagavā etarahi anuggaṇhātu bhikkhusaṅghaṁ. ||| May the Buddha support the mendicant Saṅgha now as he did in the past!
Santettha, bhante, bhikkhū navā acirapabbajitā adhunāgatā imaṁ dhammavinayaṁ. ||| There are mendicants here who are junior, recently gone forth, newly come to this teaching and training.
Tesaṁ bhagavantaṁ dassanāya alabhantānaṁ siyā aññathattaṁ, siyā vipariṇāmo. ||| If they don’t get to see the Buddha they may change and fall apart.
Seyyathāpi, bhante, bījānaṁ taruṇānaṁ udakaṁ alabhantānaṁ siyā aññathattaṁ siyā vipariṇāmo; ||| If young seedlings don’t get water they may change and fall apart.
evameva kho, bhante, santettha bhikkhū navā acirapabbajitā adhunāgatā imaṁ dhammavinayaṁ, tesaṁ bhagavantaṁ dassanāya alabhantānaṁ siyā aññathattaṁ, siyā vipariṇāmo. ||| In the same way, there are mendicants here who are junior, recently gone forth, newly come to this teaching and training. If they don’t get to see the Buddha they may change and fall apart.
Seyyathāpi, bhante, vacchassa taruṇassa mātaraṁ apassantassa siyā aññathattaṁ, siyā vipariṇāmo; ||| If a young calf doesn’t see its mother it may change and fall apart.
evameva kho, bhante, santettha bhikkhū navā acirapabbajitā adhunāgatā imaṁ dhammavinayaṁ, tesaṁ bhagavantaṁ apassantānaṁ siyā aññathattaṁ, siyā vipariṇāmo. ||| In the same way, there are mendicants here who are junior, recently gone forth, newly come to this teaching and training. If they don’t get to see the Buddha they may change and fall apart.
Abhinandatu, bhante, bhagavā bhikkhusaṅghaṁ; ||| May the Buddha be happy with the mendicant Saṅgha!
abhivadatu, bhante, bhagavā bhikkhusaṅghaṁ. ||| May the Buddha welcome the mendicant Saṅgha!
Seyyathāpi, bhante, bhagavatā pubbe bhikkhusaṅgho anuggahito; evameva bhagavā etarahi anuggaṇhātu bhikkhusaṅghan”ti. ||| May the Buddha support the mendicant Saṅgha now as he did in the past!”
Atha kho brahmā sahampati bhagavato cetasā cetoparivitakkamaññāya—seyyathāpi nāma balavā puriso samiñjitaṁ vā bāhaṁ pasāreyya, pasāritaṁ vā bāhaṁ samiñjeyya; evameva—brahmaloke antarahito bhagavato purato pāturahosi. ||| Then the divinity Sahampati knew the Buddha’s train of thought. As easily as a strong person would extend or contract their arm, he vanished from the realm of divinity and reappeared in front of the Buddha.
Atha kho brahmā sahampati ekaṁsaṁ uttarāsaṅgaṁ karitvā yena bhagavā tenañjaliṁ paṇāmetvā bhagavantaṁ etadavoca: ||| He arranged his robe over one shoulder, raised his cupped palms toward the Buddha, and said:
“abhinandatu, bhante, bhagavā bhikkhusaṅghaṁ; ||| “May the Buddha be happy with the mendicant Saṅgha!
