Saṁyutta Nikāya 51.13 ||| Linked Discourses 51.13
2. Pāsādakampanavagga ||| 2. Shaking the Stilt Longhouse
Chandasamādhisutta ||| Immersion Due to Enthusiasm
“Chandañce, bhikkhave, bhikkhu nissāya labhati samādhiṁ, labhati cittassa ekaggataṁ— ||| “Mendicants, if a mendicant depends on enthusiasm in order to gain immersion, gain unification of mind,
ayaṁ vuccati chandasamādhi. ||| this is called immersion due to enthusiasm.
So anuppannānaṁ pāpakānaṁ akusalānaṁ dhammānaṁ anuppādāya chandaṁ janeti vāyamati vīriyaṁ ārabhati cittaṁ paggaṇhāti padahati. ||| They generate enthusiasm, try, make an effort, exert the mind, and strive so that bad, unskillful qualities don’t arise.
Uppannānaṁ pāpakānaṁ akusalānaṁ dhammānaṁ pahānāya chandaṁ janeti vāyamati vīriyaṁ ārabhati cittaṁ paggaṇhāti padahati. ||| They generate enthusiasm, try, make an effort, exert the mind, and strive so that bad, unskillful qualities that have arisen are given up.
Anuppannānaṁ kusalānaṁ dhammānaṁ uppādāya chandaṁ janeti vāyamati vīriyaṁ ārabhati cittaṁ paggaṇhāti padahati. ||| They generate enthusiasm, try, make an effort, exert the mind, and strive so that skillful qualities arise.
Uppannānaṁ kusalānaṁ dhammānaṁ ṭhitiyā asammosāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā chandaṁ janeti vāyamati vīriyaṁ ārabhati cittaṁ paggaṇhāti padahati. ||| They generate enthusiasm, try, make an effort, exert the mind, and strive so that skillful qualities that have arisen remain, are not lost, but increase, mature, and are fulfilled by development.
Ime vuccanti ‘padhānasaṅkhārā’ti. ||| These are called active efforts.
Iti ayañca chando, ayañca chandasamādhi, ime ca padhānasaṅkhārā— ||| And so there is this enthusiasm, this immersion due to enthusiasm, and these active efforts.
ayaṁ vuccati, bhikkhave, chandasamādhippadhānasaṅkhārasamannāgato iddhipādo. ||| This is called the basis of psychic power that has immersion due to enthusiasm, and active effort.
Vīriyañce, bhikkhave, bhikkhu nissāya labhati samādhiṁ, labhati cittassa ekaggataṁ— ||| If a mendicant depends on energy in order to gain immersion, gain unification of mind,
ayaṁ vuccati ‘vīriyasamādhi’. ||| this is called immersion due to energy.
So anuppannānaṁ …pe… ||| They generate enthusiasm, try, make an effort, exert the mind, and strive so that bad, unskillful qualities don’t arise …
uppannānaṁ kusalānaṁ dhammānaṁ ṭhitiyā asammosāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā chandaṁ janeti vāyamati vīriyaṁ ārabhati cittaṁ paggaṇhāti padahati. ||| so that skillful qualities that have arisen remain, are not lost, but increase, mature, and are fulfilled by development.
Ime vuccanti ‘padhānasaṅkhārā’ti. ||| These are called active efforts.
Iti idañca vīriyaṁ, ayañca vīriyasamādhi, ime ca padhānasaṅkhārā— ||| And so there is this energy, this immersion due to energy, and these active efforts.
ayaṁ vuccati, bhikkhave, vīriyasamādhippadhānasaṅkhārasamannāgato iddhipādo. ||| This is called the basis of psychic power that has immersion due to energy, and active effort.
Cittañce, bhikkhave, bhikkhu nissāya labhati samādhiṁ, labhati cittassa ekaggataṁ— ||| If a mendicant depends on mental development in order to gain immersion, gain unification of mind,
ayaṁ vuccati ‘cittasamādhi’. ||| this is called immersion due to mental development.
So anuppannānaṁ pāpakānaṁ …pe… ||| They generate enthusiasm, try, make an effort, exert the mind, and strive so that bad, unskillful qualities don’t arise …
uppannānaṁ kusalānaṁ dhammānaṁ ṭhitiyā asammosāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā chandaṁ janeti vāyamati vīriyaṁ ārabhati cittaṁ paggaṇhāti padahati. ||| so that skillful qualities that have arisen remain, are not lost, but increase, mature, and are fulfilled by development.
Ime vuccanti ‘padhānasaṅkhārā’ti. ||| These are called active efforts.
Iti idañca cittaṁ, ayañca cittasamādhi, ime ca padhānasaṅkhārā— ||| And so there is this mental development, this immersion due to mental development, and these active efforts.
ayaṁ vuccati, bhikkhave, cittasamādhippadhānasaṅkhārasamannāgato iddhipādo. ||| This is called the basis of psychic power that has immersion due to mental development, and active effort.
Vīmaṁsañce, bhikkhave, bhikkhu nissāya labhati samādhiṁ, labhati cittassa ekaggataṁ— ||| If a mendicant depends on inquiry in order to gain immersion, gain unification of mind,
ayaṁ vuccati ‘vīmaṁsāsamādhi’. ||| this is called immersion due to inquiry.
So anuppannānaṁ pāpakānaṁ akusalānaṁ dhammānaṁ anuppādāya chandaṁ janeti vāyamati vīriyaṁ ārabhati cittaṁ paggaṇhāti padahati …pe… ||| They generate enthusiasm, try, make an effort, exert the mind, and strive so that bad, unskillful qualities don’t arise …
uppannānaṁ kusalānaṁ dhammānaṁ ṭhitiyā asammosāya bhiyyobhāvāya vepullāya bhāvanāya pāripūriyā chandaṁ janeti vāyamati vīriyaṁ ārabhati cittaṁ paggaṇhāti padahati. ||| so that skillful qualities that have arisen remain, are not lost, but increase, mature, and are fulfilled by development.
Ime vuccanti ‘padhānasaṅkhārā’ti. ||| These are called active efforts.
Iti ayañca vīmaṁsā, ayañca vīmaṁsāsamādhi, ime ca padhānasaṅkhārā— ||| And so there is this inquiry, this immersion due to inquiry, and these active efforts.
ayaṁ vuccati, bhikkhave, vīmaṁsāsamādhippadhānasaṅkhārasamannāgato iddhipādo”ti. ||| This is called the basis of psychic power that has immersion due to inquiry, and active effort.”
Tatiyaṁ.
