Majjhima Nikāya 75 ||| Middle Discourses 75
Māgaṇḍiyasutta ||| With Māgaṇḍiya
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā kurūsu viharati kammāsadhammaṁ nāma kurūnaṁ nigamo, bhāradvājagottassa brāhmaṇassa agyāgāre tiṇasanthārake. ||| At one time the Buddha was staying in the land of the Kurus, near the Kuru town named Kammāsadamma, on a grass mat in the fire chamber of a brahmin of the Bhāradvāja clan.
Atha kho bhagavā pubbaṇhasamayaṁ nivāsetvā pattacīvaramādāya kammāsadhammaṁ piṇḍāya pāvisi. ||| Then the Buddha robed up in the morning and, taking his bowl and robe, entered Kammāsadamma for alms.
Kammāsadhammaṁ piṇḍāya caritvā pacchābhattaṁ piṇḍapātapaṭikkanto yena aññataro vanasaṇḍo tenupasaṅkami divāvihārāya. ||| He wandered for alms in Kammāsadamma. After the meal, on his return from almsround, he went to a certain forest grove for the day’s meditation.
Taṁ vanasaṇḍaṁ ajjhogāhetvā aññatarasmiṁ rukkhamūle divāvihāraṁ nisīdi. ||| Having plunged deep into it, he sat at the root of a certain tree to meditate.
Atha kho māgaṇḍiyo paribbājako jaṅghāvihāraṁ anucaṅkamamāno anuvicaramāno yena bhāradvājagottassa brāhmaṇassa agyāgāraṁ tenupasaṅkami. ||| Then as the wanderer Māgaṇḍiya was going for a walk he approached that fire chamber.
Addasā kho māgaṇḍiyo paribbājako bhāradvājagottassa brāhmaṇassa agyāgāre tiṇasanthārakaṁ paññattaṁ. ||| He saw the grass mat spread out there
Disvāna bhāradvājagottaṁ brāhmaṇaṁ etadavoca: ||| and asked the brahmin of the Bhāradvāja clan,
“kassa nvayaṁ bhoto bhāradvājassa agyāgāre tiṇasanthārako paññatto, samaṇaseyyānurūpaṁ maññe”ti? ||| “Worthy Bhāradvāja, who has this grass mat been spread out for? It looks like an ascetic’s bed.”
“Atthi, bho māgaṇḍiya, samaṇo gotamo sakyaputto sakyakulā pabbajito. ||| “There is the ascetic Gotama, a Sakyan, gone forth from a Sakyan family.
Taṁ kho pana bhavantaṁ gotamaṁ evaṁ kalyāṇo kittisaddo abbhuggato: ||| He has this good reputation:
‘itipi so bhagavā arahaṁ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṁ buddho bhagavā’ti. ||| ‘That Blessed One is perfected, a fully awakened Buddha, accomplished in knowledge and conduct, holy, knower of the world, supreme guide for those fit for training, teacher of gods and humans, awakened, blessed.’
Tassesā bhoto gotamassa seyyā paññattā”ti. ||| This bed has been spread for that worthy Gotama.”
“Duddiṭṭhaṁ vata, bho bhāradvāja, addasāma; ||| “Well, it’s a sad sight, worthy Bhāradvāja,
