Saṁyutta Nikāya 20.3 ||| Linked Discourses 20.3
1. Opammavagga ||| 1. Similes
Kulasutta ||| Families
Sāvatthiyaṁ viharati. ||| At Sāvatthī.
“Seyyathāpi, bhikkhave, yāni kānici kulāni bahutthikāni appapurisāni tāni suppadhaṁsiyāni honti corehi kumbhatthenakehi; ||| “Mendicants, those families with many women and few men are easy prey for bandits and  grain-jar thieves.
evameva kho, bhikkhave, yassa kassaci bhikkhuno mettācetovimutti abhāvitā abahulīkatā so suppadhaṁsiyo hoti amanussehi. ||| In the same way any mendicant who has not developed and cultivated the heart’s release by love is easy prey for non-humans.
Seyyathāpi, bhikkhave, yāni kānici kulāni appitthikāni bahupurisāni tāni duppadhaṁsiyāni honti corehi kumbhatthenakehi; ||| Those families with few women and many men are hard prey for bandits and grain-jar thieves.
evameva kho, bhikkhave, yassa kassaci bhikkhuno mettācetovimutti bhāvitā bahulīkatā so duppadhaṁsiyo hoti amanussehi. ||| In the same way a mendicant who has developed and cultivated the heart’s release by love is hard prey for non-humans.
Tasmātiha, bhikkhave, evaṁ sikkhitabbaṁ: ||| So you should train like this:
‘mettā no cetovimutti bhāvitā bhavissati bahulīkatā yānīkatā vatthukatā anuṭṭhitā paricitā susamāraddhā’ti. ||| ‘We will develop the heart’s release by love. We’ll cultivate it, make it our vehicle and our basis, keep it up, consolidate it, and properly implement it.’
Evañhi vo, bhikkhave, sikkhitabban”ti. ||| That’s how you should train.”
Tatiyaṁ.
