Saṁyutta Nikāya 45.63 ||| Linked Discourses 45.63
7. Ekadhammapeyyālavagga ||| 7. Abbreviated Texts on One Thing
Kalyāṇamittasutta ||| Good Friends (1st)
Sāvatthinidānaṁ. ||| At Sāvatthī.
“Ekadhammo, bhikkhave, bahūpakāro ariyassa aṭṭhaṅgikassa maggassa uppādāya. ||| “Mendicants, one thing helps give rise to the noble eightfold path.
Katamo ekadhammo? ||| What one thing?
Yadidaṁ—kalyāṇamittatā. ||| It’s good friendship.
Kalyāṇamittassetaṁ, bhikkhave, bhikkhuno pāṭikaṅkhaṁ—ariyaṁ aṭṭhaṅgikaṁ maggaṁ bhāvessati, ariyaṁ aṭṭhaṅgikaṁ maggaṁ bahulīkarissati. ||| A mendicant with good friends can expect to develop and cultivate the noble eightfold path.
Kathañca, bhikkhave, bhikkhu kalyāṇamitto ariyaṁ aṭṭhaṅgikaṁ maggaṁ bhāveti, ariyaṁ aṭṭhaṅgikaṁ maggaṁ bahulīkaroti? ||| And how does a mendicant with good friends develop and cultivate the noble eightfold path?
Idha, bhikkhave, bhikkhu sammādiṭṭhiṁ bhāveti vivekanissitaṁ virāganissitaṁ nirodhanissitaṁ vossaggapariṇāmiṁ …pe… sammāsamādhiṁ bhāveti vivekanissitaṁ virāganissitaṁ nirodhanissitaṁ vossaggapariṇāmiṁ. ||| It’s when a mendicant develops right view, right purpose, right speech, right action, right livelihood, right effort, right mindfulness, and right immersion, which rely on seclusion, fading away, and cessation, and ripen as letting go.
Evaṁ kho, bhikkhave, bhikkhu kalyāṇamitto ariyaṁ aṭṭhaṅgikaṁ maggaṁ bhāveti, ariyaṁ aṭṭhaṅgikaṁ maggaṁ bahulīkarotī”ti. ||| That’s how a mendicant with good friends develops and cultivates the noble eightfold path.”
Paṭhamaṁ.
