Saṁyutta Nikāya 22.30 ||| Linked Discourses 22.30
3. Bhāravagga ||| 3. The Burden
Uppādasutta ||| Arising
Sāvatthinidānaṁ. ||| At Sāvatthī.
“Yo, bhikkhave, rūpassa uppādo ṭhiti abhinibbatti pātubhāvo, dukkhasseso uppādo rogānaṁ ṭhiti jarāmaraṇassa pātubhāvo. ||| “Mendicants, the arising, continuation, and manifestation and regeneration of form is the arising of suffering, the continuation of diseases, and the manifestation of old age and death.
Yo vedanāya …pe… ||| The arising, continuation, and manifestation and regeneration of feeling …
yo saññāya …pe… ||| perception …
yo saṅkhārānaṁ …pe… ||| choices …
yo viññāṇassa uppādo ṭhiti abhinibbatti pātubhāvo, dukkhasseso uppādo rogānaṁ ṭhiti jarāmaraṇassa pātubhāvo. ||| consciousness is the arising of suffering, the continuation of diseases, and the manifestation of old age and death.
Yo ca kho, bhikkhave, rūpassa nirodho vūpasamo atthaṅgamo, dukkhasseso nirodho rogānaṁ vūpasamo jarāmaraṇassa atthaṅgamo. ||| The cessation, settling, and disappearance of form is the cessation of suffering, the settling of diseases, and the disappearance of old age and death.
Yo vedanāya …pe… ||| The cessation, settling, and ending of feeling …
yo saññāya … ||| perception …
yo saṅkhārānaṁ … ||| choices …
yo viññāṇassa nirodho vūpasamo atthaṅgamo, dukkhasseso nirodho rogānaṁ vūpasamo jarāmaraṇassa atthaṅgamo”ti. ||| consciousness is the cessation of suffering, the settling of diseases, and the disappearance of old age and death.”
Navamaṁ.
