Aṅguttara Nikāya 2 ||| Numbered Discourses 2.98–117
10. Bālavagga ||| The Chapter on Fools
98 ||| 98
“Dveme, bhikkhave, bālā. ||| “Mendicants, there are two fools.
Katame dve? ||| What two?
Yo ca anāgataṁ bhāraṁ vahati, yo ca āgataṁ bhāraṁ na vahati. ||| One who carries the burden of what has not come to pass, and one who doesn’t carry the burden of what has come to pass.
Ime kho, bhikkhave, dve bālā”ti. ||| These are the two fools.”
99 ||| 99
“Dveme, bhikkhave, paṇḍitā. ||| “There are two who are astute.
Katame dve? ||| What two?
Yo ca anāgataṁ bhāraṁ na vahati, yo ca āgataṁ bhāraṁ vahati. ||| One who doesn’t carry the burden of what has not come to pass, and one who carries the burden of what has come to pass.
Ime kho, bhikkhave, dve paṇḍitā”ti. ||| These are the two who are astute.”
100 ||| 100
“Dveme, bhikkhave, bālā. ||| “Mendicants, there are two fools.
Katame dve? ||| What two?
Yo ca akappiye kappiyasaññī, yo ca kappiye akappiyasaññī. ||| One who perceives what is unallowable as allowable, and one who perceives what is allowable as unallowable.
Ime kho, bhikkhave, dve bālā”ti. ||| These are the two fools.”
101 ||| 101
“Dveme, bhikkhave, paṇḍitā. ||| “There are two who are astute.
Katame dve? ||| What two?
Yo ca akappiye akappiyasaññī, yo ca kappiye kappiyasaññī. ||| One who perceives what is unallowable as unallowable, and one who perceives what is allowable as allowable.
Ime kho, bhikkhave, dve paṇḍitā”ti. ||| These are the two who are astute.”
102 ||| 102
“Dveme, bhikkhave, bālā. ||| “Mendicants, there are two fools.
Katame dve? ||| What two?
Yo ca anāpattiyā āpattisaññī, yo ca āpattiyā anāpattisaññī. ||| One who perceives a non-offense as an offense, and one who perceives an offense as a non-offense.
Ime kho, bhikkhave, dve bālā”ti. ||| These are the two fools.”
103 ||| 103
“Dveme, bhikkhave, paṇḍitā. ||| “There are two who are astute.
Katame dve? ||| What two?
Yo ca anāpattiyā anāpattisaññī, yo ca āpattiyā āpattisaññī. ||| One who perceives a non-offense as a non-offense, and one who perceives an offense as an offense.
Ime kho, bhikkhave, dve paṇḍitā”ti. ||| These are the two who are astute.”
104 ||| 104
“Dveme, bhikkhave, bālā. ||| “Mendicants, there are two fools.
Katame dve? ||| What two?
Yo ca adhamme dhammasaññī, yo ca dhamme adhammasaññī. ||| One who perceives what is not the teaching as the teaching, and one who perceives the teaching as not the teaching.
Ime kho, bhikkhave, dve bālā”ti. ||| These are the two fools.”
105 ||| 105
“Dveme, bhikkhave, paṇḍitā. ||| “There are two who are astute.
Katame dve? ||| What two?
Yo ca dhamme dhammasaññī, yo ca adhamme adhammasaññī. ||| One who perceives the teaching as the teaching, and one who perceives what is not the teaching as not the teaching.
Ime kho, bhikkhave, dve paṇḍitā”ti. ||| These are the two who are astute.”
106 ||| 106
“Dveme, bhikkhave, bālā. ||| “Mendicants, there are two fools.
Katame dve? ||| What two?
Yo ca avinaye vinayasaññī, yo ca vinaye avinayasaññī. ||| One who perceives what is not the training as the training, and one who perceives what is the training as not the training.
Ime kho, bhikkhave, dve bālā”ti. ||| These are the two fools.”
107 ||| 107
“Dveme, bhikkhave, paṇḍitā. ||| “There are two who are astute.
Katame dve? ||| What two?
Yo ca avinaye avinayasaññī, yo ca vinaye vinayasaññī. ||| One who perceives what is not the training as not the training, and one who perceives what is the training as the training.
Ime kho, bhikkhave, dve paṇḍitā”ti. ||| These are the two who are astute.”
108 ||| 108
“Dvinnaṁ, bhikkhave, āsavā vaḍḍhanti. ||| “For these two, defilements grow.
Katamesaṁ dvinnaṁ? ||| What two?
Yo ca na kukkuccāyitabbaṁ kukkuccāyati, yo ca kukkuccāyitabbaṁ na kukkuccāyati. ||| One who is remorseful over something they shouldn’t be, and one who isn’t remorseful over something they should be.
Imesaṁ kho, bhikkhave, dvinnaṁ āsavā vaḍḍhantī”ti. ||| These are the two whose defilements grow.”
109 ||| 109
“Dvinnaṁ, bhikkhave, āsavā na vaḍḍhanti. ||| “For these two, defilements don’t grow.
Katamesaṁ dvinnaṁ? ||| What two?
Yo ca na kukkuccāyitabbaṁ na kukkuccāyati, yo ca kukkuccāyitabbaṁ kukkuccāyati. ||| One who isn’t remorseful over something they shouldn’t be, and one who is remorseful over something they should be.
Imesaṁ kho, bhikkhave, dvinnaṁ āsavā na vaḍḍhantī”ti. ||| These are the two whose defilements don’t grow.”
110 ||| 110
“Dvinnaṁ, bhikkhave, āsavā vaḍḍhanti. ||| “For these two, defilements grow.
Katamesaṁ dvinnaṁ? ||| What two?
Yo ca akappiye kappiyasaññī, yo ca kappiye akappiyasaññī. ||| One who perceives what is unallowable as allowable, and one who perceives what is allowable as unallowable.
Imesaṁ kho, bhikkhave, dvinnaṁ āsavā vaḍḍhantī”ti. ||| These are the two whose defilements grow.”
111 ||| 111
“Dvinnaṁ, bhikkhave, āsavā na vaḍḍhanti. ||| “For these two, defilements don’t grow.
Katamesaṁ dvinnaṁ? ||| What two?
Yo ca akappiye akappiyasaññī, yo ca kappiye kappiyasaññī. ||| One who perceives what is unallowable as unallowable, and one who perceives what is allowable as allowable.
Imesaṁ kho, bhikkhave, dvinnaṁ āsavā na vaḍḍhantī”ti. ||| These are the two whose defilements don’t grow.”
112 ||| 112
“Dvinnaṁ, bhikkhave, āsavā vaḍḍhanti. ||| “For these two, defilements grow.
Katamesaṁ dvinnaṁ? ||| What two?
Yo ca āpattiyā anāpattisaññī, yo ca anāpattiyā āpattisaññī. ||| One who perceives an offense as a non-offense, and one who perceives a non-offense as an offense.
Imesaṁ kho, bhikkhave, dvinnaṁ āsavā vaḍḍhantī”ti. ||| These are the two whose defilements grow.”
113 ||| 113
“Dvinnaṁ, bhikkhave, āsavā na vaḍḍhanti. ||| “For these two, defilements don’t grow.
Katamesaṁ dvinnaṁ? ||| What two?
Yo ca āpattiyā āpattisaññī, yo ca anāpattiyā anāpattisaññī. ||| One who perceives an offense as an offense, and one who perceives a non-offense as a non-offense.
Imesaṁ kho, bhikkhave, dvinnaṁ āsavā na vaḍḍhantī”ti. ||| These are the two whose defilements don’t grow.”
114 ||| 114
“Dvinnaṁ, bhikkhave, āsavā vaḍḍhanti. ||| “For these two, defilements grow.
Katamesaṁ dvinnaṁ? ||| What two?
Yo ca adhamme dhammasaññī, yo ca dhamme adhammasaññī. ||| One who perceives what is not the teaching as the teaching, and one who perceives the teaching as not the teaching.
Imesaṁ kho, bhikkhave, dvinnaṁ āsavā vaḍḍhantī”ti. ||| These are the two whose defilements grow.”
115 ||| 115
“Dvinnaṁ, bhikkhave, āsavā na vaḍḍhanti. ||| “For these two, defilements don’t grow.
Katamesaṁ dvinnaṁ? ||| What two?
Yo ca dhamme dhammasaññī, yo ca adhamme adhammasaññī. ||| One who perceives the teaching as the teaching, and one who perceives what is not the teaching as not the teaching.
Imesaṁ kho, bhikkhave, dvinnaṁ āsavā na vaḍḍhantī”ti. ||| These are the two whose defilements don’t grow.”
116 ||| 116
“Dvinnaṁ, bhikkhave, āsavā vaḍḍhanti. ||| “For these two, defilements grow.
Katamesaṁ dvinnaṁ? ||| What two?
Yo ca avinaye vinayasaññī, yo ca vinaye avinayasaññī. ||| One who perceives what is not the training as the training, and one who perceives what is the training as not the training.
Imesaṁ kho, bhikkhave, dvinnaṁ āsavā vaḍḍhantī”ti. ||| These are the two whose defilements grow.”
117 ||| 117
“Dvinnaṁ, bhikkhave, āsavā na vaḍḍhanti. ||| “For these two, defilements don’t grow.
Katamesaṁ dvinnaṁ? ||| What two?
Yo ca avinaye avinayasaññī, yo ca vinaye vinayasaññī. ||| One who perceives what is not the training as not the training, and one who perceives what is the training as the training.
Imesaṁ kho, bhikkhave, dvinnaṁ āsavā na vaḍḍhantī”ti. ||| These are the two whose defilements don’t grow.”
Bālavaggo pañcamo.
Dutiyo paṇṇāsako samatto.
