Aṅguttara Nikāya 2 ||| Numbered Discourses 2.32–41
4. Samacittavagga ||| The Chapter on the Peaceful Mind
32 ||| 32
“Asappurisabhūmiñca vo, bhikkhave, desessāmi sappurisabhūmiñca. ||| “Mendicants, I will teach you the level of the untrue person and the level of the true person.
Taṁ suṇātha, sādhukaṁ manasi karotha. bhāsissāmī”ti. ||| Listen and apply your mind well, I will speak.”
“Evaṁ, bhante”ti kho te bhikkhū bhagavato paccassosuṁ. ||| “Yes, sir,” they replied.
Bhagavā etadavoca: ||| The Buddha said this:
“Katamā ca, bhikkhave, asappurisabhūmi? ||| “What is the level of the untrue person?
Asappuriso, bhikkhave, akataññū hoti akatavedī. ||| The untrue person is ungrateful and thankless,
Asabbhi hetaṁ, bhikkhave, upaññātaṁ yadidaṁ akataññutā akataveditā. ||| for the wicked only know how to be ungrateful and thankless.
Kevalā esā, bhikkhave, asappurisabhūmi yadidaṁ akataññutā akataveditā. (…) ||| It is totally the level of an untrue person to be ungrateful and thankless.
Sappuriso ca kho, bhikkhave, kataññū hoti katavedī. ||| The true person is grateful and thankful,
Sabbhi hetaṁ, bhikkhave, upaññātaṁ yadidaṁ kataññutā kataveditā. ||| for the virtuous only know how to be grateful and thankful.
Kevalā esā, bhikkhave, sappurisabhūmi yadidaṁ kataññutā kataveditā”ti. ||| It is totally the level of a true person to be grateful and thankful.”
33 ||| 33
“Dvinnāhaṁ, bhikkhave, na suppatikāraṁ vadāmi. ||| “Mendicants, I say that these two individuals cannot easily be repaid.
Katamesaṁ dvinnaṁ? ||| What two?
Mātu ca pitu ca. ||| Mother and father.
Ekena, bhikkhave, aṁsena mātaraṁ parihareyya, ekena aṁsena pitaraṁ parihareyya vassasatāyuko vassasatajīvī so ca nesaṁ ucchādanaparimaddananhāpanasambāhanena. ||| You would not have done enough to repay your mother and father even if you were to carry your mother around on one shoulder and your father on the other, and if you lived like this for a hundred years, and if you were to anoint, massage, bathe, and rub them;
Te ca tattheva muttakarīsaṁ cajeyyuṁ, na tveva, bhikkhave, mātāpitūnaṁ kataṁ vā hoti paṭikataṁ vā. ||| and even if they were to defecate and urinate right there.
Imissā ca, bhikkhave, mahāpathaviyā pahūtarattaratanāya mātāpitaro issarādhipacce rajje patiṭṭhāpeyya, na tveva, bhikkhave, mātāpitūnaṁ kataṁ vā hoti paṭikataṁ vā. ||| Even if you were to establish your mother and father as supreme monarchs of this great earth, abounding in the seven treasures, you would still not have done enough to repay them.
Taṁ kissa hetu? ||| Why is that?
Bahukārā, bhikkhave, mātāpitaro puttānaṁ āpādakā posakā imassa lokassa dassetāro. ||| Parents are very helpful to their children: they raise them, nurture them, and show them the world.
Yo ca kho, bhikkhave, mātāpitaro assaddhe saddhāsampadāya samādapeti niveseti patiṭṭhāpeti, dussīle sīlasampadāya samādapeti niveseti patiṭṭhāpeti, maccharī cāgasampadāya samādapeti niveseti patiṭṭhāpeti, duppaññe paññāsampadāya samādapeti niveseti patiṭṭhāpeti, ettāvatā kho, bhikkhave, mātāpitūnaṁ katañca hoti paṭikatañcā”ti. ||| But you have done enough, more than enough, to repay them if you encourage, settle, and ground unfaithful parents in faith, unethical parents in ethical conduct, stingy parents in generosity, or ignorant parents in wisdom.”
34 ||| 34
Atha kho aññataro brāhmaṇo yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavatā saddhiṁ sammodi. Sammodanīyaṁ kathaṁ …pe… ekamantaṁ nisinno kho so brāhmaṇo bhagavantaṁ etadavoca: ||| Then a certain brahmin went up to the Buddha, and exchanged greetings with him. When the greetings and polite conversation were over, he sat down to one side and said to the Buddha,
“kiṁvādī bhavaṁ gotamo kimakkhāyī”ti? ||| “What does the worthy Gotama teach? What does he explain?”
“Kiriyavādī cāhaṁ, brāhmaṇa, akiriyavādī cā”ti. ||| “Brahmin, I teach action and inaction.”
“Yathākathaṁ pana bhavaṁ gotamo kiriyavādī ca akiriyavādī cā”ti? ||| “But in what way does the worthy Gotama teach action and inaction?”
“Akiriyaṁ kho ahaṁ, brāhmaṇa, vadāmi kāyaduccaritassa vacīduccaritassa manoduccaritassa, anekavihitānaṁ pāpakānaṁ akusalānaṁ dhammānaṁ akiriyaṁ vadāmi. ||| “I teach inaction regarding bad bodily, verbal, and mental conduct, and the many kinds of unskillful things.
Kiriyañca kho ahaṁ, brāhmaṇa, vadāmi kāyasucaritassa vacīsucaritassa manosucaritassa, anekavihitānaṁ kusalānaṁ dhammānaṁ kiriyaṁ vadāmi. ||| I teach action regarding good bodily, verbal, and mental conduct, and the many kinds of skillful things.
Evaṁ kho ahaṁ, brāhmaṇa, kiriyavādī ca akiriyavādī cā”ti. ||| This is the kind of action and inaction that I teach.”
“Abhikkantaṁ, bho gotama …pe… upāsakaṁ maṁ bhavaṁ gotamo dhāretu ajjatagge pāṇupetaṁ saraṇaṁ gatan”ti. ||| “Excellent, worthy Gotama! … From this day forth, may the worthy Gotama remember me as a lay follower who has gone for refuge for life.”
35 ||| 35
Atha kho anāthapiṇḍiko gahapati yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdi. Ekamantaṁ nisinno kho anāthapiṇḍiko gahapati bhagavantaṁ etadavoca: ||| Then the householder Anāthapiṇḍika went up to the Buddha, bowed, sat down to one side, and said to the Buddha,
“kati nu kho, bhante, loke dakkhiṇeyyā, kattha ca dānaṁ dātabban”ti? ||| “How many in the world are worthy of a religious donation? And where should a gift be given?”
“Dve kho, gahapati, loke dakkhiṇeyyā— ||| “Householder, there are two in the world who are worthy of a religious donation:
sekho ca asekho ca. ||| the trainee and the adept.
Ime kho, gahapati, dve loke dakkhiṇeyyā, ettha ca dānaṁ dātabban”ti. ||| These two in the world are worthy of a religious donation, and that’s where you should give a gift.”
Idamavoca bhagavā. ||| That is what the Buddha said.
Idaṁ vatvāna sugato athāparaṁ etadavoca satthā: ||| Then the Holy One, the Teacher, went on to say:
“Sekho asekho ca imasmiṁ loke, ||| “In this world, the trainee and the adept,
Āhuneyyā yajamānānaṁ honti; ||| are worthy of offerings dedicated to the gods.
Te ujjubhūtā kāyena, ||| They are sincere in body,
Vācāya uda cetasā; ||| speech, and mind.
Khettaṁ taṁ yajamānānaṁ, ||| This is the field for sponsors of sacrifice—
Ettha dinnaṁ mahapphalan”ti. ||| what’s given here is very fruitful.”
36 ||| 36
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme. ||| At one time the Buddha was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s monastery.
Tena kho pana samayena āyasmā sāriputto sāvatthiyaṁ viharati pubbārāme migāramātupāsāde. ||| Now at that time Venerable Sāriputta was staying near Sāvatthī in the stilt longhouse of Migāra’s mother in the Eastern Monastery.
Tatra kho āyasmā sāriputto bhikkhū āmantesi: ||| There Sāriputta addressed the mendicants:
“āvuso bhikkhave”ti. ||| “Reverends, mendicants!”
“Āvuso”ti kho te bhikkhū āyasmato sāriputtassa paccassosuṁ. ||| “Reverend,” they replied.
Āyasmā sāriputto etadavoca: ||| Sāriputta said this:
“ajjhattasaṁyojanañca, āvuso, puggalaṁ desessāmi bahiddhāsaṁyojanañca. ||| “I will teach you about an individual fettered internally and one fettered externally.
Taṁ suṇātha, sādhukaṁ manasi karotha, bhāsissāmī”ti. ||| Listen and apply your mind well, I will speak.”
“Evamāvuso”ti kho te bhikkhū āyasmato sāriputtassa paccassosuṁ. ||| “Yes, reverend,” they replied.
Āyasmā sāriputto etadavoca: ||| Sāriputta said this:
“Katamo cāvuso, ajjhattasaṁyojano puggalo? ||| “Who is an individual fettered internally?
