Majjhima Nikāya 129 ||| Middle Discourses 129
Bālapaṇḍitasutta ||| The Foolish and the Astute
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme. ||| At one time the Buddha was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s monastery.
Tatra kho bhagavā bhikkhū āmantesi: ||| There the Buddha addressed the mendicants,
“bhikkhavo”ti. ||| “Mendicants!”
“Bhadante”ti te bhikkhū bhagavato paccassosuṁ. ||| “Venerable sir,” they replied.
Bhagavā etadavoca: ||| The Buddha said this:
“Tīṇimāni, bhikkhave, bālassa bālalakkhaṇāni bālanimittāni bālāpadānāni. ||| “These are the three characteristics, signs, and manifestations of a fool.
Katamāni tīṇi? ||| What three?
Idha, bhikkhave, bālo duccintitacintī ca hoti dubbhāsitabhāsī ca dukkaṭakammakārī ca. ||| A fool thinks poorly, speaks poorly, and acts poorly.
No cetaṁ, bhikkhave, bālo duccintitacintī ca abhavissa dubbhāsitabhāsī ca dukkaṭakammakārī ca kena naṁ paṇḍitā jāneyyuṁ: ||| If a fool didn’t think poorly, speak poorly, and act poorly, then how would the astute know of them,
‘bālo ayaṁ bhavaṁ asappuriso’ti? ||| ‘This worthy one is a fool, an untrue person’?
Yasmā ca kho, bhikkhave, bālo duccintitacintī ca hoti dubbhāsitabhāsī ca dukkaṭakammakārī ca tasmā naṁ paṇḍitā jānanti: ||| But since a fool does think poorly, speak poorly, and act poorly, then the astute do know of them,
‘bālo ayaṁ bhavaṁ asappuriso’ti. ||| ‘This worthy one is a fool, an untrue person’.
Sa kho so, bhikkhave, bālo tividhaṁ diṭṭheva dhamme dukkhaṁ domanassaṁ paṭisaṁvedeti. ||| A fool experiences three kinds of suffering and sadness in this very life.
Sace, bhikkhave, bālo sabhāyaṁ vā nisinno hoti, rathikāya vā nisinno hoti, siṅghāṭake vā nisinno hoti; ||| Suppose a fool is sitting in a council hall, a street, or a crossroad,
tatra ce jano tajjaṁ tassāruppaṁ kathaṁ manteti. ||| where people are discussing what is proper and fitting.
Sace, bhikkhave, bālo pāṇātipātī hoti, adinnādāyī hoti, kāmesumicchācārī hoti, musāvādī hoti, surāmerayamajjapamādaṭṭhāyī hoti. ||| And suppose that fool is someone who kills living creatures, steals, commits sexual misconduct, lies, and consumes beer, wine, and liquor intoxicants.
Tatra, bhikkhave, bālassa evaṁ hoti: ||| Then that fool thinks,
‘yaṁ kho jano tajjaṁ tassāruppaṁ kathaṁ manteti, ||| ‘These people are discussing what is proper and fitting.
saṁvijjanteva te dhammā mayi, ahañca tesu dhammesu sandissāmī’ti. ||| But those bad things are found in me and I exhibit them!’
Idaṁ, bhikkhave, bālo paṭhamaṁ diṭṭheva dhamme dukkhaṁ domanassaṁ paṭisaṁvedeti. ||| This is the first kind of suffering and sadness that a fool experiences in this very life.
Puna caparaṁ, bhikkhave, bālo passati rājāno coraṁ āgucāriṁ gahetvā vividhā kammakāraṇā kārente— ||| Furthermore, a fool sees that the kings have arrested a bandit, a criminal, and subjected them to various punishments—
