Aṅguttara Nikāya 2 ||| Numbered Discourses 2.87–97
9. Dhammavagga ||| The Chapter on Two Things
87 ||| 87
“Dveme, bhikkhave, dhammā. ||| “There are, mendicants, these two things.
Katame dve? ||| What two?
Cetovimutti ca paññāvimutti ca. ||| Freedom of heart and freedom by wisdom.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
88 ||| 88
“Dveme, bhikkhave, dhammā. ||| “There are, mendicants, these two things.
Katame dve? ||| What two?
Paggāho ca avikkhepo ca. ||| Exertion, and not being scattered.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
89 ||| 89
“Dveme, bhikkhave, dhammā. ||| “There are, mendicants, these two things.
Katame dve? ||| What two?
Nāmañca rūpañca. ||| Name and form.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
90 ||| 90
“Dveme, bhikkhave, dhammā. ||| “There are, mendicants, these two things.
Katame dve? ||| What two?
Vijjā ca vimutti ca. ||| Knowledge and freedom.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
91 ||| 91
“Dveme, bhikkhave, dhammā. ||| “There are, mendicants, these two things.
Katame dve? ||| What two?
Bhavadiṭṭhi ca vibhavadiṭṭhi ca. ||| Views favoring existence and views favoring nonexistence.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
92 ||| 92
“Dveme, bhikkhave, dhammā. ||| “There are, mendicants, these two things.
Katame dve? ||| What two?
Ahirikañca anottappañca. ||| Lack of conscience and prudence.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
93 ||| 93
“Dveme, bhikkhave, dhammā. ||| “There are, mendicants, these two things.
Katame dve? ||| What two?
Hirī ca ottappañca. ||| Conscience and prudence.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
94 ||| 94
“Dveme, bhikkhave, dhammā. ||| “There are, mendicants, these two things.
Katame dve? ||| What two?
Dovacassatā ca pāpamittatā ca. ||| Being hard to admonish and having bad friends.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
95 ||| 95
“Dveme, bhikkhave, dhammā. ||| “There are, mendicants, these two things.
Katame dve? ||| What two?
Sovacassatā ca kalyāṇamittatā ca. ||| Being easy to admonish and having good friends.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
96 ||| 96
“Dveme, bhikkhave, dhammā. ||| “There are, mendicants, these two things.
Katame dve? ||| What two?
Dhātukusalatā ca manasikārakusalatā ca. ||| Skill in the elements and skill in application of mind.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
97 ||| 97
“Dveme, bhikkhave, dhammā. ||| “There are, mendicants, these two things.
Katame dve? ||| What two?
Āpattikusalatā ca āpattivuṭṭhānakusalatā ca. ||| Skill in offenses and skill in resolving offenses.
Ime kho, bhikkhave, dve dhammā”ti. ||| These are the two things.”
Dhammavaggo catuttho.
