Saṁyutta Nikāya 47.14 ||| Linked Discourses 47.14
2. Nālandavagga ||| 2. At Nāḷandā
Ukkacelasutta ||| At Ukkacelā
Ekaṁ samayaṁ bhagavā vajjīsu viharati ukkacelāyaṁ gaṅgāya nadiyā tīre mahatā bhikkhusaṅghena saddhiṁ aciraparinibbutesu sāriputtamoggallānesu. ||| At one time the Buddha was staying in the land of the Vajjis near Ukkacelā on the bank of the Ganges river, together with a large Saṅgha of mendicants. It was not long after Sāriputta and Moggallāna had become fully quenched.
Tena kho pana samayena bhagavā bhikkhusaṅghaparivuto ajjhokāse nisinno hoti. ||| Now, at that time the Buddha was sitting in the open, surrounded by the Saṅgha of mendicants.
Atha kho bhagavā tuṇhībhūtaṁ bhikkhusaṅghaṁ anuviloketvā bhikkhū āmantesi: ||| Then the Buddha looked around the Saṅgha of mendicants, who were silent. He addressed them:
“api myāyaṁ, bhikkhave, parisā suññā viya khāyati parinibbutesu sāriputtamoggallānesu. ||| “Mendicants, this assembly seems empty to me now that Sāriputta and Moggallāna have become fully quenched.
Asuññā me, bhikkhave, parisā hoti, anapekkhā tassaṁ disāyaṁ hoti, yassaṁ disāyaṁ sāriputtamoggallānā viharanti. ||| My assembly never used to be empty; I had no concern for any region where Sāriputta and Moggallāna stayed.
Ye hi te, bhikkhave, ahesuṁ atītamaddhānaṁ arahanto sammāsambuddhā, tesampi bhagavantānaṁ etapparamaṁyeva sāvakayugaṁ ahosi— ||| The Buddhas of the past or the future have pairs of chief disciples who at best were like
seyyathāpi mayhaṁ sāriputtamoggallānā. ||| Sāriputta and Moggallāna were to me.
Yepi te, bhikkhave, bhavissanti anāgatamaddhānaṁ arahanto sammāsambuddhā, tesampi bhagavantānaṁ etapparamaṁyeva sāvakayugaṁ bhavissati—seyyathāpi mayhaṁ sāriputtamoggallānā.
Acchariyaṁ, bhikkhave, sāvakānaṁ, abbhutaṁ, bhikkhave, sāvakānaṁ. ||| It’s an incredible and amazing quality of such disciples
Satthu ca nāma sāsanakarā bhavissanti ovādappaṭikarā, catunnañca parisānaṁ piyā bhavissanti manāpā garubhāvanīyā ca. ||| that they fulfill the Teacher’s instructions and follow his advice. And they’re liked and approved, respected and admired by the four assemblies.
Acchariyaṁ, bhikkhave, tathāgatassa, abbhutaṁ, bhikkhave, tathāgatassa. ||| And it’s an incredible and amazing quality of the Realized One
Evarūpepi nāma sāvakayuge parinibbute natthi tathāgatassa soko vā paridevo vā. ||| that when such a pair of disciples becomes fully quenched he does not sorrow or lament.
Taṁ kutettha, bhikkhave, labbhā. Yaṁ taṁ jātaṁ bhūtaṁ saṅkhataṁ palokadhammaṁ, taṁ vata mā palujjīti— ||| How could it possibly be so that what is born, created, conditioned, and liable to wear out should not wear out?
netaṁ ṭhānaṁ vijjati. ||| That is not possible.
Seyyathāpi, bhikkhave, mahato rukkhassa tiṭṭhato sāravato ye mahantatarā khandhā te palujjeyyuṁ; ||| Suppose there was a large tree standing with heartwood, and the largest branches broke off.
evameva kho, bhikkhave, mahato bhikkhusaṅghassa tiṭṭhato sāravato sāriputtamoggallānā parinibbutā. ||| In the same way, in the great Saṅgha that stands with heartwood, Sāriputta and Moggallāna have become fully quenched.
Taṁ kutettha, bhikkhave, labbhā. Yaṁ taṁ jātaṁ bhūtaṁ saṅkhataṁ palokadhammaṁ, taṁ vata mā palujjīti— ||| How could it possibly be so that what is born, created, conditioned, and liable to wear out should not wear out?
netaṁ ṭhānaṁ vijjati. ||| That is not possible.
Tasmātiha, bhikkhave, attadīpā viharatha attasaraṇā anaññasaraṇā, dhammadīpā dhammasaraṇā anaññasaraṇā. ||| So mendicants, live as your own island, your own refuge, with no other refuge. Let the teaching be your island and your refuge, with no other refuge.
Kathañca, bhikkhave, bhikkhu attadīpo viharati attasaraṇo anaññasaraṇo, dhammadīpo dhammasaraṇo anaññasaraṇo? ||| And how does a mendicant do this?
Idha, bhikkhave, bhikkhu kāye kāyānupassī viharati ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ; ||| It’s when a mendicant meditates by observing an aspect of the body—keen, aware, and mindful, rid of covetousness and displeasure for the world.
vedanāsu …pe… ||| They meditate observing an aspect of feelings …
citte …pe… ||| mind …
dhammesu dhammānupassī viharati ātāpī sampajāno satimā, vineyya loke abhijjhādomanassaṁ. ||| principles—keen, aware, and mindful, rid of covetousness and displeasure for the world.
Evaṁ kho, bhikkhave, bhikkhu attadīpo viharati attasaraṇo anaññasaraṇo, dhammadīpo dhammasaraṇo anaññasaraṇo. ||| That’s how a mendicant lives as their own island, their own refuge, with no other refuge. That’s how the teaching is their island and their refuge, with no other refuge.
Ye hi keci, bhikkhave, etarahi vā mamaccaye vā attadīpā viharissanti attasaraṇā anaññasaraṇā, dhammadīpā dhammasaraṇā anaññasaraṇā; tamatagge mete, bhikkhave, bhikkhū bhavissanti ye keci sikkhākāmā”ti. ||| Whether now or after I have passed, any who shall live as their own island, their own refuge, with no other refuge; with the teaching as their island and their refuge, with no other refuge—those mendicants of mine who want to train shall be among the best of the best.”
Catutthaṁ.
