Saṁyutta Nikāya 24.19 ||| Linked Discourses 24.19
2. Dutiyagamanavagga ||| 2. The Second Round
Vātasutta ||| Winds
Sāvatthinidānaṁ. ||| At Sāvatthī.
“Kismiṁ nu kho, bhikkhave, sati, kiṁ upādāya, kiṁ abhinivissa evaṁ diṭṭhi uppajjati: ||| “Mendicants, when what exists, because of grasping what and insisting on what, does the view arise:
‘na vātā vāyanti, na najjo sandanti, na gabbhiniyo vijāyanti, na candimasūriyā udenti vā apenti vā, esikaṭṭhāyiṭṭhitā’”ti? ||| ‘Winds don’t blow; rivers don’t flow; pregnant women don’t give birth; the moon and stars neither rise nor set, but stand firm like a pillar’?”
“Bhagavaṁmūlakā no, bhante, dhammā …pe… ||| “Our teachings are rooted in the Buddha. …”
“Rūpe kho, bhikkhave, sati, rūpaṁ upādāya, rūpaṁ abhinivissa evaṁ diṭṭhi uppajjati: ||| “When form exists, because of grasping form and insisting on form, the view arises:
‘na vātā vāyanti …pe… esikaṭṭhāyiṭṭhitā’ti. ||| ‘Winds don’t blow; rivers don’t flow; pregnant women don’t give birth; the moon and stars neither rise nor set, but stand firm like a pillar.’
Vedanāya sati …pe… ||| When feeling …
saññāya sati …pe… ||| perception …
saṅkhāresu sati … ||| choices …
viññāṇe sati, viññāṇaṁ upādāya, viññāṇaṁ abhinivissa evaṁ diṭṭhi uppajjati: ||| consciousness exists, because of grasping consciousness and insisting on consciousness, the view arises:
‘na vātā vāyanti …pe… esikaṭṭhāyiṭṭhitā’ti. ||| ‘Winds don’t blow; rivers don’t flow; pregnant women don’t give birth; the moon and stars neither rise nor set, but stand firm like a pillar.’
Taṁ kiṁ maññatha, bhikkhave, ||| What do you think, mendicants?
rūpaṁ niccaṁ vā aniccaṁ vā”ti? ||| Is form permanent or impermanent?”
“Aniccaṁ, bhante” …pe… vipariṇāmadhammaṁ, ||| “Impermanent, sir.” …
api nu taṁ anupādāya evaṁ diṭṭhi uppajjeyya— ||| “But by not grasping what’s impermanent, suffering, and perishable, would the view arise:
na vātā vāyanti …pe… esikaṭṭhāyiṭṭhitā”ti? ||| ‘Winds don’t blow; rivers don’t flow; pregnant women don’t give birth; the moon and stars neither rise nor set, but stand firm like a pillar’?”
“No hetaṁ, bhante”. ||| “No, sir.”
“Iti kho, bhikkhave, dukkhe sati, dukkhaṁ upādāya, dukkhaṁ abhinivissa evaṁ diṭṭhi uppajjati: ||| “And so, when suffering exists, because of grasping suffering and insisting on suffering, the view arises:
‘na vātā vāyanti …pe… esikaṭṭhāyiṭṭhitā’”ti. ||| ‘Winds don’t blow; rivers don’t flow; pregnant women don’t give birth; the moon and stars neither rise nor set, but stand firm like a pillar.’
“Vedanā … ||| Is feeling …
saññā … ||| perception …
saṅkhārā … ||| choices …
viññāṇaṁ niccaṁ vā aniccaṁ vā”ti? ||| consciousness permanent or impermanent?”
“Aniccaṁ, bhante” …pe… vipariṇāmadhammaṁ, ||| “Impermanent, sir.” …
api nu taṁ anupādāya evaṁ diṭṭhi uppajjeyya ||| “But by not grasping what’s impermanent, suffering, and perishable, would such a view arise?”
‘na vātā vāyanti …pe… esikaṭṭhāyiṭṭhitā’”ti?
“No hetaṁ, bhante”. ||| “No, sir.”
“Iti kho, bhikkhave, dukkhe sati, dukkhaṁ upādāya, dukkhaṁ abhinivissa evaṁ diṭṭhi uppajjeyya: ||| “And so, when suffering exists, because of grasping suffering and insisting on suffering, the view arises:
‘na vātā vāyanti, na najjo sandanti, na gabbhiniyo vijāyanti, na candimasūriyā udenti vā apenti vā, esikaṭṭhāyiṭṭhitā’”ti. ||| ‘Winds don’t blow; rivers don’t flow; pregnant women don’t give birth; the moon and stars neither rise nor set, but stand firm like a pillar.’”
Paṭhamaṁ.
