Saṁyutta Nikāya 56.24 ||| Linked Discourses 56.24
3. Koṭigāmavagga ||| 3. At the Village of Koṭi
Arahantasutta ||| The Perfected Ones
Sāvatthinidānaṁ. ||| At Sāvatthī.
“Ye hi keci, bhikkhave, atītamaddhānaṁ arahanto sammāsambuddhā yathābhūtaṁ abhisambujjhiṁsu, sabbe te cattāri ariyasaccāni yathābhūtaṁ abhisambujjhiṁsu. ||| “Mendicants, whatever perfected ones, fully awakened Buddhas truly awaken—in the past,
Ye hi keci, bhikkhave, anāgatamaddhānaṁ arahanto sammāsambuddhā yathābhūtaṁ abhisambujjhissanti, sabbe te cattāri ariyasaccāni yathābhūtaṁ abhisambujjhissanti. ||| future,
Ye hi keci, bhikkhave, etarahi arahanto sammāsambuddhā yathābhūtaṁ abhisambujjhanti, sabbe te cattāri ariyasaccāni yathābhūtaṁ abhisambujjhanti. ||| or present—all of them truly awaken to the four noble truths.
Katamāni cattāri? ||| What four?
Dukkhaṁ ariyasaccaṁ, dukkhasamudayaṁ ariyasaccaṁ, dukkhanirodhaṁ ariyasaccaṁ, dukkhanirodhagāminī paṭipadā ariyasaccaṁ. ||| The noble truths of suffering, the origin of suffering, the cessation of suffering, and the practice that leads to the cessation of suffering.
Ye hi, keci, bhikkhave, atītamaddhānaṁ arahanto sammāsambuddhā yathābhūtaṁ abhisambujjhiṁsu …pe… ||| Whatever perfected ones, fully awakened Buddhas truly awaken—in the past,
abhisambujjhissanti … ||| future,
abhisambujjhanti, sabbe te imāni cattāri ariyasaccāni yathābhūtaṁ abhisambujjhanti. ||| or present—all of them truly awaken to the four noble truths.
Tasmātiha, bhikkhave, ‘idaṁ dukkhan’ti yogo karaṇīyo …pe… ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yogo karaṇīyo”ti. ||| That’s why you should practice meditation …”
Catutthaṁ.
