Saṁyutta Nikāya 56.54 ||| Linked Discourses 56.54
6. Abhisamayavagga ||| 6. Comprehension
Dutiyasambhejjasutta ||| Where the Waters Join Together (2nd)
“Seyyathāpi, bhikkhave, yatthimā mahānadiyo saṁsandanti samenti, seyyathidaṁ— ||| “Mendicants, there are places where the great rivers—the Ganges, Yamunā, Aciravatī, Sarabhū, and Mahī—join together and converge.
gaṅgā, yamunā, aciravatī, sarabhū, mahī, taṁ udakaṁ parikkhayaṁ pariyādānaṁ gaccheyya, ṭhapetvā dve vā tīṇi vā udakaphusitāni. ||| Suppose that water dried up and evaporated except for two or three drops.
Taṁ kiṁ maññatha, bhikkhave, ||| What do you think, mendicants?
katamaṁ nu kho bahutaraṁ—yaṁ vā saṁbhejjaudakaṁ parikkhīṇaṁ pariyādinnaṁ, yāni dve vā tīṇi vā udakaphusitāni avasiṭṭhānī”ti? ||| Which is more: the water in the confluence that has dried up and evaporated, or the two or three drops left?”
“Etadeva, bhante, bahutaraṁ saṁbhejjaudakaṁ yadidaṁ parikkhīṇaṁ pariyādinnaṁ; appamattakāni dve vā tīṇi vā udakaphusitāni avasiṭṭhāni. ||| “Sir, the water in the confluence that has dried up and evaporated is certainly more. The two or three drops left are tiny.
Saṅkhampi na upenti, upanidhampi na upenti, kalabhāgampi na upenti saṁbhejjaudakaṁ parikkhīṇaṁ pariyādinnaṁ upanidhāya dve vā tīṇi vā udakaphusitāni avasiṭṭhānī”ti. ||| Compared to the water in the confluence that has dried up and evaporated, it doesn’t count, there’s no comparison, it’s not worth a fraction.”
“Evameva kho, bhikkhave, ariyasāvakassa …pe… ||| “In the same way, for a noble disciple …
yogo karaṇīyo”ti. ||| That’s why you should practice meditation …”
Catutthaṁ.
