Majjhima Nikāya 95 ||| Middle Discourses 95
Caṅkīsutta ||| With Caṅkī
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā kosalesu cārikaṁ caramāno mahatā bhikkhusaṅghena saddhiṁ yena opāsādaṁ nāma kosalānaṁ brāhmaṇagāmo tadavasari. ||| At one time the Buddha was wandering in the land of the Kosalans together with a large Saṅgha of mendicants when he arrived at a village of the Kosalan brahmins named Opāsāda.
Tatra sudaṁ bhagavā opāsāde viharati uttarena opāsādaṁ devavane sālavane. ||| He stayed in the Godswood of sal trees to the north of Opāsāda.
Tena kho pana samayena caṅkī brāhmaṇo opāsādaṁ ajjhāvasati sattussadaṁ satiṇakaṭṭhodakaṁ sadhaññaṁ rājabhoggaṁ raññā pasenadinā kosalena dinnaṁ rājadāyaṁ brahmadeyyaṁ. ||| Now at that time the brahmin Caṅkī was living in Opāsāda. It was a crown property given by King Pasenadi of Kosala, teeming with living creatures, full of hay, wood, water, and grain, a royal park endowed to a brahmin.
Assosuṁ kho opāsādakā brāhmaṇagahapatikā: ||| The brahmins and householders of Opāsāda heard:
“samaṇo khalu, bho, gotamo sakyaputto sakyakulā pabbajito kosalesu cārikaṁ caramāno mahatā bhikkhusaṅghena saddhiṁ opāsādaṁ anuppatto, opāsāde viharati uttarena opāsādaṁ devavane sālavane. ||| “It seems the ascetic Gotama—a Sakyan, gone forth from a Sakyan family—has arrived at Opāsāda together with a large Saṅgha of mendicants. He is staying in the Godswood to the north.
Taṁ kho pana bhavantaṁ gotamaṁ evaṁ kalyāṇo kittisaddo abbhuggato: ||| He has this good reputation:
‘itipi so bhagavā arahaṁ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṁ buddho bhagavā’ti. ||| ‘That Blessed One is perfected, a fully awakened Buddha, accomplished in knowledge and conduct, holy, knower of the world, supreme guide for those fit for training, teacher of gods and humans, awakened, blessed.’
So imaṁ lokaṁ sadevakaṁ samārakaṁ sabrahmakaṁ sassamaṇabrāhmaṇiṁ pajaṁ sadevamanussaṁ sayaṁ abhiññā sacchikatvā pavedeti. ||| He has realized with his own insight this world—with its gods, Māras, and divinities, this population with its ascetics and brahmins, gods and humans—and he makes it known to others.
So dhammaṁ deseti ādikalyāṇaṁ majjhekalyāṇaṁ pariyosānakalyāṇaṁ sātthaṁ sabyañjanaṁ, kevalaparipuṇṇaṁ parisuddhaṁ brahmacariyaṁ pakāseti. ||| He proclaims a teaching that is good in the beginning, good in the middle, and good in the end, meaningful and well-phrased. And he reveals a spiritual practice that’s entirely full and pure.
Sādhu kho pana tathārūpānaṁ arahataṁ dassanaṁ hotī”ti. ||| It’s good to see such perfected ones.”
Atha kho opāsādakā brāhmaṇagahapatikā opāsādā nikkhamitvā saṅghasaṅghī gaṇībhūtā uttarenamukhā gacchanti yena devavanaṁ sālavanaṁ. ||| Then, exiting Opāsāda, they formed into companies and headed north to the Godswood.
Tena kho pana samayena caṅkī brāhmaṇo uparipāsāde divāseyyaṁ upagato. ||| Now at that time the brahmin Caṅkī had retired to the upper floor of his stilt longhouse for his midday nap.
Addasā kho caṅkī brāhmaṇo opāsādake brāhmaṇagahapatike opāsādā nikkhamitvā saṅghasaṅghī gaṇībhūte uttarenamukhaṁ yena devavanaṁ sālavanaṁ tenupasaṅkamante. ||| He saw the brahmins and householders heading for the Godswood,
Disvā khattaṁ āmantesi: ||| and addressed his butler,
“kiṁ nu kho, bho khatte, opāsādakā brāhmaṇagahapatikā opāsādā nikkhamitvā saṅghasaṅghī gaṇībhūtā uttarenamukhā gacchanti yena devavanaṁ sālavanan”ti? ||| “My butler, why are the brahmins and householders heading north for the Godswood?”
“Atthi, bho caṅkī, samaṇo gotamo sakyaputto sakyakulā pabbajito kosalesu cārikaṁ caramāno mahatā bhikkhusaṅghena saddhiṁ opāsādaṁ anuppatto, opāsāde viharati uttarena opāsādaṁ devavane sālavane. ||| “The ascetic Gotama has arrived at Opāsāda together with a large Saṅgha of mendicants. He is staying in the Godswood to the north.
Taṁ kho pana bhavantaṁ gotamaṁ evaṁ kalyāṇo kittisaddo abbhuggato: ||| He has this good reputation:
‘itipi so bhagavā arahaṁ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṁ buddho bhagavā’ti. ||| ‘That Blessed One is perfected, a fully awakened Buddha, accomplished in knowledge and conduct, holy, knower of the world, supreme guide for those fit for training, teacher of gods and humans, awakened, blessed.’
Tamete bhavantaṁ gotamaṁ dassanāya gacchantī”ti. ||| They’re going to see that worthy Gotama.”
“Tena hi, bho khatte, yena opāsādakā brāhmaṇagahapatikā tenupasaṅkama; upasaṅkamitvā opāsādake brāhmaṇagahapatike evaṁ vadehi: ||| “Well then, go to the brahmins and householders and say to them:
‘caṅkī, bho, brāhmaṇo evamāha— ||| ‘Sirs, the brahmin Caṅkī asks
āgamentu kira bhonto, caṅkīpi brāhmaṇo samaṇaṁ gotamaṁ dassanāya upasaṅkamissatī’”ti. ||| you to wait, as he will also go to see the ascetic Gotama.’”
“Evaṁ, bho”ti kho so khatto caṅkissa brāhmaṇassa paṭissutvā yena opāsādakā brāhmaṇagahapatikā tenupasaṅkami; upasaṅkamitvā opāsādake brāhmaṇagahapatike etadavoca: ||| “Yes, sir,” replied the butler, and did as he was asked.
“caṅkī, bho, brāhmaṇo evamāha:
‘āgamentu kira bhonto, caṅkīpi brāhmaṇo samaṇaṁ gotamaṁ dassanāya upasaṅkamissatī’”ti.
Tena kho pana samayena nānāverajjakānaṁ brāhmaṇānaṁ pañcamattāni brāhmaṇasatāni opāsāde paṭivasanti kenacideva karaṇīyena. ||| Now at that time around five hundred brahmins from abroad were residing in Opāsāda on some business.
Assosuṁ kho te brāhmaṇā: ||| They heard that
“caṅkī kira brāhmaṇo samaṇaṁ gotamaṁ dassanāya upasaṅkamissatī”ti. ||| the brahmin Caṅkī was going to see the ascetic Gotama.
Atha kho te brāhmaṇā yena caṅkī brāhmaṇo tenupasaṅkamiṁsu; upasaṅkamitvā caṅkiṁ brāhmaṇaṁ etadavocuṁ: ||| They approached Caṅkī and said to him,
“saccaṁ kira bhavaṁ caṅkī samaṇaṁ gotamaṁ dassanāya upasaṅkamissatī”ti? ||| “Is it really true that you are going to see the ascetic Gotama?”
“Evaṁ kho me, bho, hoti: ||| “Yes, gentlemen, it is true.”
‘ahaṁ samaṇaṁ gotamaṁ dassanāya upasaṅkamissāmī’”ti.
“Mā bhavaṁ caṅkī samaṇaṁ gotamaṁ dassanāya upasaṅkami. ||| “Please don’t!
Na arahati bhavaṁ caṅkī samaṇaṁ gotamaṁ dassanāya upasaṅkamituṁ; ||| It’s not appropriate for you to go to see the ascetic Gotama;
samaṇotveva gotamo arahati bhavantaṁ caṅkiṁ dassanāya upasaṅkamituṁ. ||| it’s appropriate that he comes to see you.
Bhavañhi caṅkī ubhato sujāto mātito ca pitito ca saṁsuddhagahaṇiko yāva sattamā pitāmahayugā akkhitto anupakkuṭṭho jātivādena. ||| You are well born on both your mother’s and father’s side, of pure descent, with irrefutable and impeccable genealogy back to the seventh paternal generation.
Yampi bhavaṁ caṅkī ubhato sujāto mātito ca pitito ca saṁsuddhagahaṇiko yāva sattamā pitāmahayugā akkhitto anupakkuṭṭho jātivādena, imināpaṅgena na arahati bhavaṁ caṅkī samaṇaṁ gotamaṁ dassanāya upasaṅkamituṁ; ||| For this reason it’s not appropriate for you to go to see the ascetic Gotama;
samaṇotveva gotamo arahati bhavantaṁ caṅkiṁ dassanāya upasaṅkamituṁ. ||| it’s appropriate that he comes to see you.
Bhavañhi caṅkī aḍḍho mahaddhano mahābhogo …pe… ||| You’re rich, affluent, and wealthy. …
bhavañhi caṅkī tiṇṇaṁ vedānaṁ pāragū sanighaṇḍukeṭubhānaṁ sākkharappabhedānaṁ itihāsapañcamānaṁ, padako, veyyākaraṇo, lokāyatamahāpurisalakkhaṇesu anavayo …pe… ||| You recite and remember the hymns, and have mastered the three Vedas, together with their vocabularies and ritual performance, their phonology and word classification, and the testaments as fifth. You know them word-by-word, and their grammar. You are well versed in cosmology and the marks of a great man. …
bhavañhi caṅkī abhirūpo dassanīyo pāsādiko paramāya vaṇṇapokkharatāya samannāgato brahmavaṇṇī brahmavacchasī akhuddāvakāso dassanāya …pe… ||| You are attractive, good-looking, lovely, of surpassing beauty. You have divine looks and lustre, remarkable to behold. …
bhavañhi caṅkī sīlavā vuddhasīlī vuddhasīlena samannāgato …pe… ||| You are ethical, mature in ethical conduct. …
bhavañhi caṅkī kalyāṇavāco kalyāṇavākkaraṇo poriyā vācāya samannāgato vissaṭṭhāya anelagalāya atthassa viññāpaniyā …pe… ||| You’re a good speaker who enunciates well, with a polished, clear, and articulate voice that expresses the meaning. …
bhavañhi caṅkī bahūnaṁ ācariyapācariyo, tīṇi māṇavakasatāni mante vāceti …pe… ||| You teach the tutors of many, and teach three hundred young students to recite the hymns. …
bhavañhi caṅkī rañño pasenadissa kosalassa sakkato garukato mānito pūjito apacito …pe… ||| You’re honored, respected, revered, venerated, and esteemed by King Pasenadi of Kosala
bhavañhi caṅkī brāhmaṇassa pokkharasātissa sakkato garukato mānito pūjito apacito …pe… ||| and the brahmin Pokkharasāti. …
bhavañhi caṅkī opāsādaṁ ajjhāvasati sattussadaṁ satiṇakaṭṭhodakaṁ sadhaññaṁ rājabhoggaṁ raññā pasenadinā kosalena dinnaṁ rājadāyaṁ brahmadeyyaṁ. ||| You live in Opāsāda, a crown property given by King Pasenadi of Kosala, teeming with living creatures, full of hay, wood, water, and grain, a royal park endowed to a brahmin.
Yampi bhavaṁ caṅkī opāsādaṁ ajjhāvasati sattussadaṁ satiṇakaṭṭhodakaṁ sadhaññaṁ rājabhoggaṁ raññā pasenadinā kosalena dinnaṁ rājadāyaṁ brahmadeyyaṁ, imināpaṅgena na arahati bhavaṁ caṅkī samaṇaṁ gotamaṁ dassanāya upasaṅkamituṁ; ||| For all these reasons it’s not appropriate for you to go to see the ascetic Gotama;
samaṇotveva gotamo arahati bhavantaṁ caṅkiṁ dassanāya upasaṅkamitun”ti. ||| it’s appropriate that he comes to see you.”
Evaṁ vutte, caṅkī brāhmaṇo te brāhmaṇe etadavoca: ||| When they had spoken, Caṅkī said to those brahmins:
“tena hi, bho, mamapi suṇātha, yathā mayameva arahāma taṁ samaṇaṁ gotamaṁ dassanāya upasaṅkamituṁ; ||| “Well then, gentlemen, listen to why it’s appropriate for me to go to see the ascetic Gotama,
na tveva arahati so bhavaṁ gotamo amhākaṁ dassanāya upasaṅkamituṁ. ||| and it’s not appropriate for him to come to see me.
Samaṇo khalu, bho, gotamo ubhato sujāto mātito ca pitito ca saṁsuddhagahaṇiko yāva sattamā pitāmahayugā akkhitto anupakkuṭṭho jātivādena. ||| He is well born on both his mother’s and father’s side, of pure descent, with irrefutable and impeccable genealogy back to the seventh paternal generation.
Yampi, bho, samaṇo gotamo ubhato sujāto mātito ca pitito ca saṁsuddhagahaṇiko yāva sattamā pitāmahayugā akkhitto anupakkuṭṭho jātivādena, imināpaṅgena na arahati so bhavaṁ gotamo amhākaṁ dassanāya upasaṅkamituṁ; ||| For this reason it’s not appropriate for the ascetic Gotama to come to see me;
atha kho mayameva arahāma taṁ bhavantaṁ gotamaṁ dassanāya upasaṅkamituṁ. ||| rather, it’s appropriate for me to go to see him.
Samaṇo khalu, bho, gotamo pahūtaṁ hiraññasuvaṇṇaṁ ohāya pabbajito bhūmigatañca vehāsaṭṭhañca …pe… ||| When he went forth he abandoned abundant gold, both coined and uncoined, stored above and below ground. …
Samaṇo khalu, bho, gotamo daharova samāno yuvā susukāḷakeso bhadrena yobbanena samannāgato paṭhamena vayasā agārasmā anagāriyaṁ pabbajito …pe… ||| He went forth from the lay life to homelessness while still a youth, young, with pristine black hair, blessed with youth, in the prime of life. …
Samaṇo khalu, bho, gotamo akāmakānaṁ mātāpitūnaṁ assumukhānaṁ rudantānaṁ kesamassuṁ ohāretvā kāsāyāni vatthāni acchādetvā agārasmā anagāriyaṁ pabbajito …pe… ||| Though his mother and father wished otherwise, weeping with tearful faces, he shaved off his hair and beard, dressed in ocher robes, and went forth from the lay life to homelessness. …
Samaṇo khalu, bho, gotamo abhirūpo dassanīyo pāsādiko paramāya vaṇṇapokkharatāya samannāgato brahmavaṇṇī brahmavacchasī akhuddāvakāso dassanāya …pe… ||| He is attractive, good-looking, lovely, of surpassing beauty. He has divine looks and lustre, remarkable to behold. …
Samaṇo khalu, bho, gotamo sīlavā ariyasīlī kusalasīlī kusalena sīlena samannāgato …pe… ||| He is ethical, possessing ethical conduct that is noble and skillful. …
Samaṇo khalu, bho, gotamo kalyāṇavāco kalyāṇavākkaraṇo poriyā vācāya samannāgato vissaṭṭhāya anelagalāya atthassa viññāpaniyā …pe… ||| He’s a good speaker who enunciates well, with a polished, clear, and articulate voice that expresses the meaning. …
Samaṇo khalu, bho, gotamo bahūnaṁ ācariyapācariyo …pe… ||| He’s a tutor of tutors. …
Samaṇo khalu, bho, gotamo khīṇakāmarāgo vigatacāpallo …pe… ||| He has ended sensual desire, and is rid of caprice. …
Samaṇo khalu, bho, gotamo kammavādī kiriyavādī apāpapurekkhāro brahmaññāya pajāya …pe… ||| He teaches the efficacy of deeds and action. He doesn’t wish any harm upon the community of brahmins. …
Samaṇo khalu, bho, gotamo uccā kulā pabbajito asambhinnā khattiyakulā …pe… ||| He went forth from an eminent family of unbroken aristocratic lineage. …
Samaṇo khalu, bho, gotamo aḍḍhā kulā pabbajito mahaddhanā mahābhogā …pe… ||| He went forth from a rich, affluent, and wealthy family. …
Samaṇaṁ khalu, bho, gotamaṁ tiroraṭṭhā tirojanapadā saṁpucchituṁ āgacchanti …pe… ||| People come from distant lands and distant countries to question him. …
Samaṇaṁ khalu, bho, gotamaṁ anekāni devatāsahassāni pāṇehi saraṇaṁ gatāni …pe… ||| Many thousands of deities have gone for refuge for life to him. …
Samaṇaṁ khalu, bho, gotamaṁ evaṁ kalyāṇo kittisaddo abbhuggato: ||| He has this good reputation:
‘itipi so bhagavā arahaṁ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṁ buddho bhagavā’ti …pe… ||| ‘That Blessed One is perfected, a fully awakened Buddha, accomplished in knowledge and conduct, holy, knower of the world, supreme guide for those fit for training, teacher of gods and humans, awakened, blessed.’ …
Samaṇo khalu, bho, gotamo dvattiṁsamahāpurisalakkhaṇehi samannāgato …pe… ||| He has the thirty-two marks of a great man. …
Samaṇaṁ khalu, bho, gotamaṁ rājā māgadho seniyo bimbisāro saputtadāro pāṇehi saraṇaṁ gato …pe… ||| King Seniya Bimbisāra of Magadha and his wives and children have gone for refuge for life to the ascetic Gotama. …
Samaṇaṁ khalu, bho, gotamaṁ rājā pasenadi kosalo saputtadāro pāṇehi saraṇaṁ gato …pe… ||| King Pasenadi of Kosala and his wives and children have gone for refuge for life to the ascetic Gotama. …
Samaṇaṁ khalu, bho, gotamaṁ brāhmaṇo pokkharasāti saputtadāro pāṇehi saraṇaṁ gato …pe… ||| The brahmin Pokkharasāti and his wives and children have gone for refuge for life to the ascetic Gotama. …
Samaṇo khalu, bho, gotamo opāsādaṁ anuppatto opāsāde viharati uttarena opāsādaṁ devavane sālavane. ||| The ascetic Gotama has arrived to stay in the Godswood to the north of Opāsāda.
Ye kho te samaṇā vā brāhmaṇā vā amhākaṁ gāmakkhettaṁ āgacchanti, atithī no te honti. ||| Any ascetic or brahmin who comes to stay in our village district is our guest,
Atithī kho panamhehi sakkātabbā garukātabbā mānetabbā pūjetabbā. ||| and should be honored and respected as such.
Yampi samaṇo gotamo opāsādaṁ anuppatto opāsāde viharati uttarena opāsādaṁ devavane sālavane, atithimhākaṁ samaṇo gotamo.
Atithi kho panamhehi sakkātabbo garukātabbo mānetabbo pūjetabbo.
Imināpaṅgena na arahati so bhavaṁ gotamo amhākaṁ dassanāya upasaṅkamituṁ; ||| For this reason, too, it’s not appropriate for the worthy Gotama to come to see me,
atha kho mayameva arahāma taṁ bhavantaṁ gotamaṁ dassanāya upasaṅkamituṁ. ||| rather, it’s appropriate for me to go to see him.
Ettake kho ahaṁ, bho, tassa bhoto gotamassa vaṇṇe pariyāpuṇāmi, no ca kho so bhavaṁ gotamo ettakavaṇṇo; ||| This is the extent of the worthy Gotama’s praise that I have memorized. But his praises are not confined to this,
aparimāṇavaṇṇo hi so bhavaṁ gotamo. ||| for the praise of the worthy Gotama is limitless.
Ekamekenapi tena aṅgena samannāgato na arahati, so bhavaṁ gotamo amhākaṁ dassanāya upasaṅkamituṁ; ||| The possession of even a single one of these factors makes it inappropriate for the worthy Gotama to come to see me,
atha kho mayameva arahāma taṁ bhavantaṁ gotamaṁ dassanāya upasaṅkamitunti. ||| rather, it’s appropriate for me to go to see him.
Tena hi, bho, sabbeva mayaṁ samaṇaṁ gotamaṁ dassanāya upasaṅkamissāmā”ti. ||| Well then, gentlemen, let’s all go to see the ascetic Gotama.”
