Saṁyutta Nikāya 36.27 ||| Linked Discourses 36.27
3. Aṭṭhasatapariyāyavagga ||| 3. The Explanation of the Hundred and Eight
Paṭhamasamaṇabrāhmaṇasutta ||| Ascetics and Brahmins (1st)
“Tisso imā, bhikkhave, vedanā. ||| “Mendicants, there are these three feelings.
Katamā tisso? ||| What three?
Sukhā vedanā, dukkhā vedanā, adukkhamasukhā vedanā. ||| Pleasant, painful, and neutral feeling.
Ye hi keci, bhikkhave, samaṇā vā brāhmaṇā vā imāsaṁ tissannaṁ vedanānaṁ samudayañca atthaṅgamañca assādañca ādīnavañca nissaraṇañca yathābhūtaṁ nappajānanti. ||| There are ascetics and brahmins who don’t truly understand these three feelings’ gratification, drawback, and escape.
Na me te, bhikkhave, samaṇā vā brāhmaṇā vā samaṇesu vā samaṇasammatā brāhmaṇesu vā brāhmaṇasammatā, na ca pana te āyasmanto sāmaññatthaṁ vā brahmaññatthaṁ vā diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharanti. ||| I don’t deem them as true ascetics and brahmins. Those venerables don’t realize the goal of life as an ascetic or brahmin, and don’t live having realized it with their own insight.
Ye ca kho keci, bhikkhave, samaṇā vā brāhmaṇā vā imāsaṁ tissannaṁ vedanānaṁ samudayañca atthaṅgamañca assādañca ādīnavañca nissaraṇañca yathābhūtaṁ pajānanti. ||| There are ascetics and brahmins who do truly understand these three feelings’ gratification, drawback, and escape.
Te kho me, bhikkhave, samaṇā vā brāhmaṇā vā samaṇesu ceva samaṇasammatā brāhmaṇesu ca brāhmaṇasammatā. Te ca panāyasmanto sāmaññatthañca brahmaññatthañca, diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharantī”ti. ||| I deem them as true ascetics and brahmins. Those venerables realize the goal of life as an ascetic or brahmin, and live having realized it with their own insight.”
Sattamaṁ.
