Saṁyutta Nikāya 23.5 ||| Linked Discourses 23.5
1. Paṭhamamāravagga ||| 1. About Māra
Samaṇasutta ||| Ascetics and Brahmins
Sāvatthinidānaṁ. ||| At Sāvatthī.
Ekamantaṁ nisinnaṁ kho āyasmantaṁ rādhaṁ bhagavā etadavoca: ||| When Venerable Rādha was seated to one side, the Buddha said to him:
“pañcime, rādha, upādānakkhandhā. ||| “Rādha, there are these five grasping aggregates.
Katame pañca? ||| What five?
Rūpupādānakkhandho, vedanupādānakkhandho, saññupādānakkhandho, saṅkhārupādānakkhandho, viññāṇupādānakkhandho. ||| The grasping aggregates of form, feeling, perception, choices, and consciousness.
Ye hi keci, rādha, samaṇā vā brāhmaṇā vā imesaṁ pañcannaṁ upādānakkhandhānaṁ assādañca ādīnavañca nissaraṇañca yathābhūtaṁ nappajānanti; ||| There are ascetics and brahmins who don’t truly understand these five grasping aggregates’ gratification, drawback, and escape.
na me te, rādha, samaṇā vā brāhmaṇā vā samaṇesu vā samaṇasammatā brāhmaṇesu vā brāhmaṇasammatā, na ca pana te āyasmanto sāmaññatthaṁ vā brahmaññatthaṁ vā diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharanti. ||| I don’t deem them as true ascetics and brahmins. Those venerables don’t realize the goal of life as an ascetic or brahmin, and don’t live having realized it with their own insight.
Ye ca kho keci, rādha, samaṇā vā brāhmaṇā vā imesaṁ pañcannaṁ upādānakkhandhānaṁ assādañca ādīnavañca nissaraṇañca yathābhūtaṁ pajānanti; ||| There are ascetics and brahmins who do truly understand these five grasping aggregates’ gratification, drawback, and escape.
te kho me, rādha, samaṇā vā brāhmaṇā vā samaṇesu ceva samaṇasammatā brāhmaṇesu ca brāhmaṇasammatā, te ca panāyasmanto sāmaññatthañca brahmaññatthañca diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharantī”ti. ||| I deem them as true ascetics and brahmins. Those venerables realize the goal of life as an ascetic or brahmin, and live having realized it with their own insight.”
Pañcamaṁ.
