Saṁyutta Nikāya 35.243 ||| Linked Discourses 35.243
19. Āsīvisavagga ||| 19. The Simile of the Vipers
Avassutapariyāyasutta ||| The Explanation on the Festering
Ekaṁ samayaṁ bhagavā sakkesu viharati kapilavatthusmiṁ nigrodhārāme. ||| At one time the Buddha was staying in the land of the Sakyans, near Kapilavatthu in the Banyan Tree Monastery.
Tena kho pana samayena kāpilavatthavānaṁ sakyānaṁ navaṁ santhāgāraṁ acirakāritaṁ hoti anajjhāvuṭṭhaṁ samaṇena vā brāhmaṇena vā kenaci vā manussabhūtena. ||| Now at that time a new town hall had recently been constructed for the Sakyans of Kapilavatthu. It had not yet been occupied by an ascetic or brahmin or any human at all.
Atha kho kāpilavatthavā sakyā yena bhagavā tenupasaṅkamiṁsu; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdiṁsu. Ekamantaṁ nisinnā kho kāpilavatthavā sakyā bhagavantaṁ etadavocuṁ: ||| Then the Sakyans of Kapilavatthu went up to the Buddha, bowed, sat down to one side, and said to him,
“idha, bhante, kāpilavatthavānaṁ sakyānaṁ navaṁ santhāgāraṁ acirakāritaṁ anajjhāvuṭṭhaṁ samaṇena vā brāhmaṇena vā kenaci vā manussabhūtena. ||| “Sir, a new town hall has recently been constructed for the Sakyans of Kapilavatthu. It has not yet been occupied by an ascetic or brahmin or any human at all.
Taṁ, bhante, bhagavā paṭhamaṁ paribhuñjatu. ||| May the Buddha be the first to use it,
Bhagavatā paṭhamaṁ paribhuttaṁ pacchā kāpilavatthavā sakyā paribhuñjissanti. ||| and only then will the Sakyans of Kapilavatthu use it.
Tadassa kāpilavatthavānaṁ sakyānaṁ dīgharattaṁ hitāya sukhāyā”ti. ||| That would be for the lasting welfare and happiness of the Sakyans of Kapilavatthu.”
Adhivāsesi bhagavā tuṇhībhāvena. ||| The Buddha consented with silence.
Atha kho kāpilavatthavā sakyā bhagavato adhivāsanaṁ viditvā uṭṭhāyāsanā bhagavantaṁ abhivādetvā padakkhiṇaṁ katvā yena navaṁ santhāgāraṁ tenupasaṅkamiṁsu; upasaṅkamitvā sabbasanthariṁ santhāgāraṁ santharitvā āsanāni paññāpetvā udakamaṇikaṁ patiṭṭhāpetvā telappadīpaṁ āropetvā yena bhagavā tenupasaṅkamiṁsu; upasaṅkamitvā bhagavantaṁ etadavocuṁ: ||| Knowing that the Buddha had consented, the Sakyans got up from their seat, bowed, and respectfully circled the Buddha, keeping him on their right. Then they went to the new town hall, where they spread carpets all over, prepared seats, set up a water jar, and placed an oil lamp. Then they went back to the Buddha and told him of their preparations, saying,
“sabbasantharisanthataṁ, bhante, santhāgāraṁ, āsanāni paññattāni, udakamaṇiko patiṭṭhāpito, telappadīpo āropito.
Yassadāni, bhante, bhagavā kālaṁ maññatī”ti. ||| “Please, sir, come at your convenience.”
Atha kho bhagavā nivāsetvā pattacīvaramādāya saddhiṁ bhikkhusaṅghena yena navaṁ santhāgāraṁ tenupasaṅkami; upasaṅkamitvā pāde pakkhāletvā santhāgāraṁ pavisitvā majjhimaṁ thambhaṁ nissāya puratthābhimukho nisīdi. ||| Then the Buddha robed up and, taking his bowl and robe, went to the new town hall together with the Saṅgha of mendicants. Having washed his feet he entered the town hall and sat against the central column facing east.
Bhikkhusaṅghopi kho pāde pakkhāletvā santhāgāraṁ pavisitvā pacchimaṁ bhittiṁ nissāya puratthābhimukho nisīdi bhagavantaṁyeva purakkhatvā. ||| The Saṅgha of mendicants also washed their feet, entered the town hall, and sat against the west wall facing east, with the Buddha right in front of them.
Kāpilavatthavā sakyā pāde pakkhāletvā santhāgāraṁ pavisitvā puratthimaṁ bhittiṁ nissāya pacchimābhimukhā nisīdiṁsu bhagavantaṁyeva purakkhatvā. ||| The Sakyans of Kapilavatthu also washed their feet, entered the town hall, and sat against the east wall facing west, with the Buddha right in front of them.
Atha kho bhagavā kāpilavatthave sakye bahudeva rattiṁ dhammiyā kathāya sandassetvā samādapetvā samuttejetvā sampahaṁsetvā uyyojesi: ||| The Buddha spent much of the night educating, encouraging, firing up, and inspiring the Sakyans with a Dhamma talk. Then he sent them off, saying,
“abhikkantā kho, gotamā, ratti. ||| “The night is getting late, Gotamas.
Yassadāni kālaṁ maññathā”ti. ||| Please go at your convenience.”
“Evaṁ, bhante”ti kho kāpilavatthavā sakyā bhagavato paṭissutvā uṭṭhāyāsanā bhagavantaṁ abhivādetvā padakkhiṇaṁ katvā pakkamiṁsu. ||| “Yes, sir,” replied the Sakyans. They got up from their seat, bowed, and respectfully circled the Buddha, keeping him on their right, before leaving.
Atha kho bhagavā acirapakkantesu kāpilavatthavesu sakyesu āyasmantaṁ mahāmoggallānaṁ āmantesi: ||| And then, soon after the Sakyans had left, the Buddha addressed Venerable Mahāmoggallāna,
“vigatathinamiddho kho, moggallāna, bhikkhusaṅgho. ||| “Moggallāna, the Saṅgha of mendicants is rid of dullness and drowsiness.
Paṭibhātu taṁ, moggallāna, bhikkhūnaṁ dhammī kathā. ||| Give them some Dhamma talk as you feel inspired.
Piṭṭhi me āgilāyati; ||| My back is sore,
tamahaṁ āyamissāmī”ti. ||| I’ll stretch it.”
“Evaṁ, bhante”ti kho āyasmā mahāmoggallāno bhagavato paccassosi. ||| “Yes, sir,” Mahāmoggallāna replied.
Atha kho bhagavā catugguṇaṁ saṅghāṭiṁ paññapetvā dakkhiṇena passena sīhaseyyaṁ kappesi, pāde pādaṁ accādhāya, sato sampajāno uṭṭhānasaññaṁ manasi karitvā. ||| And then the Buddha spread out his outer robe folded in four and laid down in the lion’s posture—on the right side, placing one foot on top of the other—mindful and aware, and focused on the time of getting up.
Tatra kho āyasmā mahāmoggallāno bhikkhū āmantesi: ||| There Venerable Mahāmoggallāna addressed the mendicants:
“āvuso bhikkhave”ti. ||| “Reverends, mendicants!”
“Āvuso”ti kho te bhikkhū āyasmato mahāmoggallānassa paccassosuṁ. ||| “Reverend,” they replied.
Āyasmā mahāmoggallāno etadavoca: ||| Venerable Mahāmoggallāna said this:
“avassutapariyāyañca vo, āvuso, desessāmi, anavassutapariyāyañca. ||| “I will teach you the explanation of the festering and the not festering.
Taṁ suṇātha, sādhukaṁ manasi karotha, bhāsissāmī”ti. ||| Listen and apply your mind well, I will speak.”
“Evamāvuso”ti kho te bhikkhū āyasmato mahāmoggallānassa paccassosuṁ. ||| “Yes, reverend,” they replied.
Āyasmā mahāmoggallāno etadavoca: ||| Venerable Mahāmoggallāna said this:
“Kathaṁ, āvuso, avassuto hoti? ||| “And how is someone festering?
Idhāvuso, bhikkhu cakkhunā rūpaṁ disvā piyarūpe rūpe adhimuccati, appiyarūpe rūpe byāpajjati, anupaṭṭhitakāyassatī viharati parittacetaso, ||| Take a mendicant who sees a sight with the eye. If it’s pleasant they hold on to it, but if it’s unpleasant they dislike it. They live with mindfulness of the body unestablished and their heart stunted.
tañca cetovimuttiṁ paññāvimuttiṁ yathābhūtaṁ nappajānāti yatthassa te uppannā pāpakā akusalā dhammā aparisesā nirujjhanti …pe… ||| And they don’t truly understand the freedom of heart and freedom by wisdom where those arisen bad, unskillful qualities cease without remainder.
jivhāya rasaṁ sāyitvā …pe… ||| They hear a sound … smell an odor … taste a flavor … feel a touch …
manasā dhammaṁ viññāya piyarūpe dhamme adhimuccati, appiyarūpe dhamme byāpajjati, anupaṭṭhitakāyassatī ca viharati parittacetaso, ||| know an idea with the mind. If it’s pleasant they hold on to it, but if it’s unpleasant they dislike it. They live with mindfulness of the body unestablished and a limited heart.
tañca cetovimuttiṁ paññāvimuttiṁ yathābhūtaṁ nappajānāti yatthassa te uppannā pāpakā akusalā dhammā aparisesā nirujjhanti. ||| And they don’t truly understand the freedom of heart and freedom by wisdom where those arisen bad, unskillful qualities cease without remainder.
Ayaṁ vuccati, āvuso, bhikkhu avassuto cakkhuviññeyyesu rūpesu …pe… ||| This is called a mendicant who is festering when it comes to sights known by the eye,
