Saṁyutta Nikāya 48.51 ||| Linked Discourses 48.51
6. Sūkarakhatavagga ||| 6. The Boar’s Cave
Sālasutta ||| At Sālā
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā kosalesu viharati sālāya brāhmaṇagāme. ||| At one time the Buddha was staying in the land of the Kosalans near the brahmin village of Sālā.
Tatra kho bhagavā bhikkhū āmantesi: ||| There the Buddha addressed the mendicants:
“seyyathāpi, bhikkhave, ye keci tiracchānagatā pāṇā, sīho migarājā tesaṁ aggamakkhāyati, yadidaṁ—thāmena javena sūrena; ||| “Mendicants, the lion, king of beasts, is said to be the best of animals in terms of strength, speed, and courage.
evameva kho, bhikkhave, ye keci bodhipakkhiyā dhammā, paññindriyaṁ tesaṁ aggamakkhāyati, yadidaṁ—bodhāya. ||| In the same way, the faculty of wisdom is said to be the best of the qualities on the side of awakening; that is, for becoming awakened.
Katame ca, bhikkhave, bodhipakkhiyā dhammā? ||| And what are the qualities on the side of awakening?
Saddhindriyaṁ, bhikkhave, bodhipakkhiyo dhammo, taṁ bodhāya saṁvattati; ||| The faculties of faith,
vīriyindriyaṁ bodhipakkhiyo dhammo, taṁ bodhāya saṁvattati; ||| energy,
satindriyaṁ bodhipakkhiyo dhammo, taṁ bodhāya saṁvattati; ||| mindfulness,
samādhindriyaṁ bodhipakkhiyo dhammo, taṁ bodhāya saṁvattati; ||| immersion,
paññindriyaṁ bodhipakkhiyo dhammo, taṁ bodhāya saṁvattati. ||| and wisdom are qualities on the side of awakening, in that they lead to becoming awakened.
Seyyathāpi, bhikkhave, ye keci tiracchānagatā pāṇā, sīho migarājā tesaṁ aggamakkhāyati, yadidaṁ—thāmena javena sūrena; ||| The lion, king of beasts, is said to be the best of animals in terms of strength, speed, and courage.
evameva kho, bhikkhave, ye keci bodhipakkhiyā dhammā, paññindriyaṁ tesaṁ aggamakkhāyati, yadidaṁ—bodhāyā”ti. ||| In the same way, the faculty of wisdom is said to be the best of the qualities on the side of awakening; that is, for becoming awakened.”
Paṭhamaṁ.
