Majjhima Nikāya 33 ||| Middle Discourses 33
Mahāgopālakasutta ||| The Longer Discourse on the Cowherd
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme. ||| At one time the Buddha was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s monastery.
Tatra kho bhagavā bhikkhū āmantesi: ||| There the Buddha addressed the mendicants,
“bhikkhavo”ti. ||| “Mendicants!”
“Bhadante”ti te bhikkhū bhagavato paccassosuṁ. ||| “Venerable sir,” they replied.
Bhagavā etadavoca: ||| The Buddha said this:
“Ekādasahi, bhikkhave, aṅgehi samannāgato gopālako abhabbo gogaṇaṁ pariharituṁ phātiṁ kātuṁ. ||| “Mendicants, a cowherd with eleven factors can’t maintain and expand a herd of cattle.
Katamehi ekādasahi? ||| What eleven?
Idha, bhikkhave, gopālako na rūpaññū hoti, na lakkhaṇakusalo hoti, na āsāṭikaṁ hāretā hoti, na vaṇaṁ paṭicchādetā hoti, na dhūmaṁ kattā hoti, na titthaṁ jānāti, na pītaṁ jānāti, na vīthiṁ jānāti, na gocarakusalo hoti anavasesadohī ca hoti. Ye te usabhā gopitaro gopariṇāyakā te na atirekapūjāya pūjetā hoti. ||| It’s when a cowherd doesn’t know form, is unskilled in characteristics, doesn’t pick out flies’ eggs, doesn’t dress wounds, doesn’t spread smoke, doesn’t know the ford, doesn’t know satisfaction, doesn’t know the trail, is not skilled in ranges, milks dry, and doesn’t show extra respect to the bulls who are fathers and captains of the herd.
Imehi kho, bhikkhave, ekādasahi aṅgehi samannāgato gopālako abhabbo gogaṇaṁ pariharituṁ phātiṁ kātuṁ. ||| A cowherd with these eleven factors can’t maintain and expand a herd of cattle.
Evameva kho, bhikkhave, ekādasahi dhammehi samannāgato bhikkhu abhabbo imasmiṁ dhammavinaye vuddhiṁ virūḷhiṁ vepullaṁ āpajjituṁ. ||| In the same way, a mendicant with eleven qualities can’t achieve growth, improvement, or maturity in this teaching and training.
Katamehi ekādasahi? ||| What eleven?
Idha, bhikkhave, bhikkhu na rūpaññū hoti, na lakkhaṇakusalo hoti, na āsāṭikaṁ hāretā hoti, na vaṇaṁ paṭicchādetā hoti, na dhūmaṁ kattā hoti, na titthaṁ jānāti, na pītaṁ jānāti, na vīthiṁ jānāti, na gocarakusalo hoti, anavasesadohī ca hoti. Ye te bhikkhū therā rattaññū cirapabbajitā saṅghapitaro saṅghapariṇāyakā te na atirekapūjāya pūjetā hoti. ||| It’s when a mendicant doesn’t know form, is unskilled in characteristics, doesn’t pick out flies’ eggs, doesn’t dress wounds, doesn’t spread smoke, doesn’t know the ford, doesn’t know satisfaction, doesn’t know the trail, is not skilled in ranges, milks dry, and doesn’t show extra respect to senior mendicants of long standing, long gone forth, fathers and leaders of the Saṅgha.
Kathañca, bhikkhave, bhikkhu na rūpaññū hoti? ||| And how does a mendicant not know form?
Idha, bhikkhave, bhikkhu yaṁ kiñci rūpaṁ sabbaṁ rūpaṁ ‘cattāri mahābhūtāni, catunnañca mahābhūtānaṁ upādāyarūpan’ti yathābhūtaṁ nappajānāti. ||| It’s when a mendicant doesn’t truly understand that all form is the four principal states, or form derived from the four principal states.
Evaṁ kho, bhikkhave, bhikkhu na rūpaññū hoti. ||| That’s how a mendicant doesn’t know form.
Kathañca, bhikkhave, bhikkhu na lakkhaṇakusalo hoti? ||| And how is a mendicant not skilled in characteristics?
Idha, bhikkhave, bhikkhu ‘kammalakkhaṇo bālo, kammalakkhaṇo paṇḍito’ti yathābhūtaṁ nappajānāti. ||| It’s when a mendicant doesn’t understand that a fool is characterized by their deeds, and an astute person is characterized by their deeds.
Evaṁ kho, bhikkhave, bhikkhu na lakkhaṇakusalo hoti. ||| That’s how a mendicant isn’t skilled in characteristics.
Kathañca, bhikkhave, bhikkhu na āsāṭikaṁ hāretā hoti? ||| And how does a mendicant not pick out flies’ eggs?
