Saṁyutta Nikāya 48.6 ||| Linked Discourses 48.6
1. Suddhikavagga ||| 1. Plain Version
Paṭhamasamaṇabrāhmaṇasutta ||| Ascetics and Brahmins (1st)
“Pañcimāni, bhikkhave, indriyāni. ||| “Mendicants, there are these five faculties.
Katamāni pañca? ||| What five?
Saddhindriyaṁ …pe… paññindriyaṁ. ||| The faculties of faith, energy, mindfulness, immersion, and wisdom.
Ye hi keci, bhikkhave, samaṇā vā brāhmaṇā vā imesaṁ pañcannaṁ indriyānaṁ assādañca ādīnavañca nissaraṇañca yathābhūtaṁ nappajānanti, ||| There are ascetics and brahmins who don’t truly understand the gratification, drawback, and escape when it comes to these five faculties.
na me te, bhikkhave, samaṇā vā brāhmaṇā vā samaṇesu vā samaṇasammatā brāhmaṇesu vā brāhmaṇasammatā, na ca panete āyasmanto sāmaññatthaṁ vā brahmaññatthaṁ vā diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharanti. ||| I don’t deem them as true ascetics and brahmins. Those venerables don’t realize the goal of life as an ascetic or brahmin, and don’t live having realized it with their own insight.
Ye ca kho keci, bhikkhave, samaṇā vā brāhmaṇā vā imesaṁ pañcannaṁ indriyānaṁ samudayañca atthaṅgamañca assādañca ādīnavañca nissaraṇañca yathābhūtaṁ pajānanti, ||| There are ascetics and brahmins who do truly understand the gratification, drawback, and escape when it comes to these five faculties.
te kho me, bhikkhave, samaṇā vā brāhmaṇā vā samaṇesu ceva samaṇasammatā brāhmaṇesu ca brāhmaṇasammatā; te ca panāyasmanto sāmaññatthañca brahmaññatthañca diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharantī”ti. ||| I deem them as true ascetics and brahmins. Those venerables realize the goal of life as an ascetic or brahmin, and live having realized it with their own insight.”
Chaṭṭhaṁ.
