Saṁyutta Nikāya 35.61 ||| Linked Discourses 35.61
6. Avijjāvagga ||| 6. Ignorance
Paṭhamasabbupādānapariyādānasutta ||| The Depletion of All Fuel for Grasping (1st)
“Sabbupādānapariyādānāya vo, bhikkhave, dhammaṁ desessāmi. ||| “Mendicants, I will teach you the principle for depleting all fuel for grasping.
Taṁ suṇātha. ||| Listen …
Katamo ca, bhikkhave, sabbupādānapariyādānāya dhammo? ||| And what is the principle for depleting all fuel for grasping?
Cakkhuñca paṭicca rūpe ca uppajjati cakkhuviññāṇaṁ. Tiṇṇaṁ saṅgati phasso. ||| Eye consciousness arises dependent on the eye and sights. The meeting of the three is contact.
Phassapaccayā vedanā. ||| Contact is a requirement for feeling.
Evaṁ passaṁ, bhikkhave, sutavā ariyasāvako cakkhusmimpi nibbindati, rūpesupi nibbindati, cakkhuviññāṇepi nibbindati, cakkhusamphassepi nibbindati, vedanāyapi nibbindati. ||| Seeing this, a learned noble disciple grows disillusioned with the eye, sights, eye consciousness, eye contact, and feeling.
Nibbindaṁ virajjati; virāgā vimuccati; vimokkhā ‘pariyādinnaṁ me upādānan’ti pajānāti …pe… ||| Being disillusioned, desire fades away. When desire fades away they’re freed. When they are liberated, they understand: ‘I have completely depleted fuel for grasping.’
jivhañca paṭicca rase ca uppajjati jivhāviññāṇaṁ …pe… ||| Ear … nose … tongue … body …
manañca paṭicca dhamme ca uppajjati manoviññāṇaṁ. Tiṇṇaṁ saṅgati phasso. ||| Mind consciousness arises dependent on the mind and ideas. The meeting of the three is contact.
Phassapaccayā vedanā. ||| Contact is a requirement for feeling.
Evaṁ passaṁ, bhikkhave, sutavā ariyasāvako manasmimpi nibbindati, dhammesupi nibbindati, manoviññāṇepi nibbindati manosamphassepi nibbindati, vedanāyapi nibbindati. ||| Seeing this, a learned noble disciple grows disillusioned with the mind, ideas, mind consciousness, mind contact, and feeling.
Nibbindaṁ virajjati; virāgā vimuccati; vimokkhā ‘pariyādinnaṁ me upādānan’ti pajānāti. ||| Being disillusioned, desire fades away. When desire fades away they’re freed. When they are liberated, they understand: ‘I have completely depleted fuel for grasping.’
Ayaṁ kho, bhikkhave, sabbupādānapariyādānāya dhammo”ti. ||| This is the principle for depleting all fuel for grasping.”
Navamaṁ.
