Saṁyutta Nikāya 56.3 ||| Linked Discourses 56.3
1. Samādhivagga ||| 1. Immersion
Paṭhamakulaputtasutta ||| A Gentleman (1st)
“Ye hi keci, bhikkhave, atītamaddhānaṁ kulaputtā sammā agārasmā anagāriyaṁ pabbajiṁsu, sabbe te catunnaṁ ariyasaccānaṁ yathābhūtaṁ abhisamayāya. ||| “Mendicants, whatever gentlemen—past,
Ye hi keci, bhikkhave, anāgatamaddhānaṁ kulaputtā sammā agārasmā anagāriyaṁ pabbajissanti, sabbe te catunnaṁ ariyasaccānaṁ yathābhūtaṁ abhisamayāya. ||| future,
Ye hi keci, bhikkhave, etarahi kulaputtā sammā agārasmā anagāriyaṁ pabbajanti, sabbe te catunnaṁ ariyasaccānaṁ yathābhūtaṁ abhisamayāya. ||| or present—rightly go forth from the lay life to homelessness, all of them do so in order to truly comprehend the four noble truths.
Katamesaṁ catunnaṁ? ||| What four?
Dukkhassa ariyasaccassa dukkhasamudayassa ariyasaccassa dukkhanirodhassa ariyasaccassa dukkhanirodhagāminiyā paṭipadāya ariyasaccassa. ||| The noble truths of suffering, the origin of suffering, the cessation of suffering, and the practice that leads to the cessation of suffering.
Ye hi keci, bhikkhave, atītamaddhānaṁ kulaputtā sammā agārasmā anagāriyaṁ pabbajiṁsu …pe… ||| Whatever gentlemen—past,
pabbajissanti …pe… ||| future,
pabbajanti, sabbe te imesaṁyeva catunnaṁ ariyasaccānaṁ yathābhūtaṁ abhisamayāya. ||| or present—rightly go forth from the lay life to homelessness, all of them do so in order to truly comprehend the four noble truths.
Tasmātiha, bhikkhave, ‘idaṁ dukkhan’ti yogo karaṇīyo, ‘ayaṁ dukkhasamudayo’ti yogo karaṇīyo, ‘ayaṁ dukkhanirodho’ti yogo karaṇīyo, ‘ayaṁ dukkhanirodhagāminī paṭipadā’ti yogo karaṇīyo”ti. ||| That’s why you should practice meditation to understand: ‘This is suffering’ … ‘This is the origin of suffering’ … ‘This is the cessation of suffering’ … ‘This is the practice that leads to the cessation of suffering’.”
Tatiyaṁ.
