Majjhima Nikāya 65 ||| Middle Discourses 65
Bhaddālisutta ||| With Bhaddāli
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme. ||| At one time the Buddha was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s monastery.
Tatra kho bhagavā bhikkhū āmantesi: ||| There the Buddha addressed the mendicants,
“bhikkhavo”ti. ||| “Mendicants!”
“Bhadante”ti te bhikkhū bhagavato paccassosuṁ. ||| “Venerable sir,” they replied.
Bhagavā etadavoca: ||| The Buddha said this:
“Ahaṁ kho, bhikkhave, ekāsanabhojanaṁ bhuñjāmi; ||| “Mendicants, I eat my food in one sitting per day.
ekāsanabhojanaṁ kho, ahaṁ, bhikkhave, bhuñjamāno appābādhatañca sañjānāmi appātaṅkatañca lahuṭṭhānañca balañca phāsuvihārañca. ||| Doing so, I find that I’m healthy and well, nimble, strong, and living comfortably.
Etha, tumhepi, bhikkhave, ekāsanabhojanaṁ bhuñjatha; ||| You too should eat your food in one sitting per day.
ekāsanabhojanaṁ kho, bhikkhave, tumhepi bhuñjamānā appābādhatañca sañjānissatha appātaṅkatañca lahuṭṭhānañca balañca phāsuvihārañcā”ti. ||| Doing so, you’ll find that you’re healthy and well, nimble, strong, and living comfortably.”
Evaṁ vutte, āyasmā bhaddāli bhagavantaṁ etadavoca: ||| When he said this, Venerable Bhaddāli said to the Buddha,
“ahaṁ kho, bhante, na ussahāmi ekāsanabhojanaṁ bhuñjituṁ; ||| “Sir, I’m not going to try to eat my food in one sitting per day.
ekāsanabhojanañhi me, bhante, bhuñjato siyā kukkuccaṁ, siyā vippaṭisāro”ti. ||| For when eating once a day I might feel remorse and regret.”
“Tena hi tvaṁ, bhaddāli, yattha nimantito assasi tattha ekadesaṁ bhuñjitvā ekadesaṁ nīharitvāpi bhuñjeyyāsi. ||| “Well then, Bhaddāli, eat one part of the meal in the place where you’re invited, and bring the rest back to eat.
Evampi kho tvaṁ, bhaddāli, bhuñjamāno ekāsano yāpessasī”ti. ||| Eating this way, too, you will sustain yourself.”
“Evampi kho ahaṁ, bhante, na ussahāmi bhuñjituṁ; ||| “Sir, I’m not going to try to eat that way, either.
evampi hi me, bhante, bhuñjato siyā kukkuccaṁ, siyā vippaṭisāro”ti. ||| For when eating that way I might also feel remorse and regret.”
Atha kho āyasmā bhaddāli bhagavatā sikkhāpade paññāpiyamāne bhikkhusaṅghe sikkhaṁ samādiyamāne anussāhaṁ pavedesi. ||| Then, as this rule was being laid down by the Buddha and the Saṅgha was undertaking it, Bhaddāli announced he would not try to keep it.
Atha kho āyasmā bhaddāli sabbaṁ taṁ temāsaṁ na bhagavato sammukhībhāvaṁ adāsi, yathā taṁ satthusāsane sikkhāya aparipūrakārī. ||| Then for the whole of that three months Bhaddāli would not see the Buddha face to face, as happens when someone doesn’t fulfill the training according to the Teacher’s instructions.
Tena kho pana samayena sambahulā bhikkhū bhagavato cīvarakammaṁ karonti— ||| At that time several mendicants were making a robe for the Buddha, thinking that
niṭṭhitacīvaro bhagavā temāsaccayena cārikaṁ pakkamissatīti. ||| when his robe was finished and the three months of the rains residence had passed the Buddha would set out wandering.
Atha kho āyasmā bhaddāli yena te bhikkhū tenupasaṅkami; upasaṅkamitvā tehi bhikkhūhi saddhiṁ sammodi. ||| Then Bhaddāli went up to those mendicants, and exchanged greetings with them.
Sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ nisīdi. Ekamantaṁ nisinnaṁ kho āyasmantaṁ bhaddāliṁ te bhikkhū etadavocuṁ: ||| When the greetings and polite conversation were over, he sat down to one side. The mendicants said to Bhaddāli,
“idaṁ kho, āvuso bhaddāli, bhagavato cīvarakammaṁ karīyati. ||| “Reverend Bhaddāli, this robe is being made for the Buddha.
Niṭṭhitacīvaro bhagavā temāsaccayena cārikaṁ pakkamissati. ||| When it’s finished and the three months of the rains residence have passed the Buddha will set out wandering.
Iṅghāvuso bhaddāli, etaṁ dosakaṁ sādhukaṁ manasi karohi, mā te pacchā dukkarataraṁ ahosī”ti. ||| Come on, Bhaddāli, learn your lesson. Don’t make it hard for yourself later on.”
“Evamāvuso”ti kho āyasmā bhaddāli tesaṁ bhikkhūnaṁ paṭissutvā yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdi. Ekamantaṁ nisinno kho āyasmā bhaddāli bhagavantaṁ etadavoca: ||| “Yes, reverends,” Bhaddāli replied. He went to the Buddha, bowed, sat down to one side, and said to him,
“accayo maṁ, bhante, accagamā yathābālaṁ yathāmūḷhaṁ yathāakusalaṁ, yohaṁ bhagavatā sikkhāpade paññāpiyamāne bhikkhusaṅghe sikkhaṁ samādiyamāne anussāhaṁ pavedesiṁ. ||| “I made a mistake, sir. It was foolish, stupid, and unskillful of me that, as this rule was being laid down by the Buddha and the Saṅgha was undertaking it, I announced I would not try to keep it.
Tassa me, bhante, bhagavā accayaṁ accayato paṭiggaṇhātu āyatiṁ saṁvarāyā”ti. ||| Please, sir, accept my mistake for what it is, so I will restrain myself in future.”
“Taggha tvaṁ, bhaddāli, accayo accagamā yathābālaṁ yathāmūḷhaṁ yathāakusalaṁ, yaṁ tvaṁ mayā sikkhāpade paññāpiyamāne bhikkhusaṅghe sikkhaṁ samādiyamāne anussāhaṁ pavedesi. ||| “Indeed, Bhaddāli, you made a mistake. It was foolish, stupid, and unskillful of you that, as this rule was being laid down by the Buddha and the Saṅgha was undertaking it, you announced you would not try to keep it.
Samayopi kho te, bhaddāli, appaṭividdho ahosi: ||| And you didn’t realize this situation:
‘bhagavā kho sāvatthiyaṁ viharati, bhagavāpi maṁ jānissati— ||| ‘The Buddha is staying in Sāvatthī, and he’ll know me
bhaddāli nāma bhikkhu satthusāsane sikkhāya aparipūrakārī’ti. ||| as the mendicant named Bhaddāli who doesn’t fulfill the training according to the Teacher’s instructions.’
Ayampi kho te, bhaddāli, samayo appaṭividdho ahosi.
Samayopi kho te, bhaddāli, appaṭividdho ahosi: ||| And you didn’t realize this situation:
‘sambahulā kho bhikkhū sāvatthiyaṁ vassaṁ upagatā, tepi maṁ jānissanti— ||| ‘Several monks have commenced the rains retreat in Sāvatthī …
bhaddāli nāma bhikkhu satthusāsane sikkhāya aparipūrakārī’ti.
Ayampi kho te, bhaddāli, samayo appaṭividdho ahosi.
Samayopi kho te, bhaddāli, appaṭividdho ahosi:
‘sambahulā kho bhikkhuniyo sāvatthiyaṁ vassaṁ upagatā, tāpi maṁ jānissanti— ||| several nuns have commenced the rains retreat in Sāvatthī …
bhaddāli nāma bhikkhu satthusāsane sikkhāya aparipūrakārī’ti.
Ayampi kho te, bhaddāli, samayo appaṭividdho ahosi.
Samayopi kho te, bhaddāli, appaṭividdho ahosi:
‘sambahulā kho upāsakā sāvatthiyaṁ paṭivasanti, tepi maṁ jānissanti— ||| several laymen reside in Sāvatthī …
bhaddāli nāma bhikkhu satthusāsane sikkhāya aparipūrakārī’ti.
Ayampi kho te, bhaddāli, samayo appaṭividdho ahosi.
Samayopi kho te, bhaddāli, appaṭividdho ahosi:
‘sambahulā kho upāsikā sāvatthiyaṁ paṭivasanti, tāpi maṁ jānissanti— ||| several laywomen reside in Sāvatthī, and they’ll know me
bhaddāli nāma bhikkhu satthusāsane sikkhāya aparipūrakārī’ti. ||| as the mendicant named Bhaddāli who doesn’t fulfill the training according to the Teacher’s instructions. …
Ayampi kho te, bhaddāli, samayo appaṭividdho ahosi.
Samayopi kho te, bhaddāli, appaṭividdho ahosi:
‘sambahulā kho nānātitthiyā samaṇabrāhmaṇā sāvatthiyaṁ vassaṁ upagatā, tepi maṁ jānissanti— ||| Several ascetics and brahmins who follow various other religions have commenced the rains retreat in Sāvatthī, and they’ll know me
bhaddāli nāma bhikkhu samaṇassa gotamassa sāvako theraññataro bhikkhu sāsane sikkhāya aparipūrakārī’ti. ||| as the mendicant named Bhaddāli, one of the senior disciples of Gotama, who doesn’t fulfill the training according to the Teacher’s instructions.’
Ayampi kho te, bhaddāli, samayo appaṭividdho ahosī”ti. ||| You also didn’t realize this situation.”
“Accayo maṁ, bhante, accagamā yathābālaṁ yathāmūḷhaṁ yathāakusalaṁ, yohaṁ bhagavatā sikkhāpade paññāpiyamāne bhikkhusaṅghe sikkhaṁ samādiyamāne anussāhaṁ pavedesiṁ. ||| “I made a mistake, sir. It was foolish, stupid, and unskillful of me that, as this rule was being laid down by the Buddha and the Saṅgha was undertaking it, I announced I would not try to keep it.
Tassa me, bhante, bhagavā accayaṁ accayato paṭiggaṇhātu āyatiṁ saṁvarāyā”ti. ||| Please, sir, accept my mistake for what it is, so I will restrain myself in future.”
“Taggha tvaṁ, bhaddāli, accayo accagamā yathābālaṁ yathāmūḷhaṁ yathāakusalaṁ, yaṁ tvaṁ mayā sikkhāpade paññāpiyamāne bhikkhusaṅghe sikkhaṁ samādiyamāne anussāhaṁ pavedesi. ||| “Indeed, Bhaddāli, you made a mistake. It was foolish, stupid, and unskillful of you that, as this rule was being laid down by the Buddha and the Saṅgha was undertaking it, you announced you would not try to keep it.
Taṁ kiṁ maññasi, bhaddāli, ||| What do you think, Bhaddāli?
idhassa bhikkhu ubhatobhāgavimutto, tamahaṁ evaṁ vadeyyaṁ: ||| Suppose I was to say this to a mendicant who is freed both ways:
‘ehi me tvaṁ, bhikkhu, paṅke saṅkamo hohī’ti, api nu kho so saṅkameyya vā aññena vā kāyaṁ sannāmeyya, ‘no’ti vā vadeyyā”ti? ||| ‘Please, mendicant, be a bridge for me to cross over the mud.’ Would they cross over themselves, or struggle to get out of it, or just say no?”
“No hetaṁ, bhante”. ||| “No, sir.”
“Taṁ kiṁ maññasi, bhaddāli, ||| “What do you think, Bhaddāli?
idhassa bhikkhu paññāvimutto … ||| Suppose I was to say the same thing to a mendicant who is freed by wisdom,
kāyasakkhi … ||| or a direct witness,
diṭṭhippatto … ||| or attained to view,
saddhāvimutto … ||| or freed by faith,
dhammānusārī … ||| or a follower of teachings,
saddhānusārī, tamahaṁ evaṁ vadeyyaṁ: ||| or a follower by faith:
‘ehi me tvaṁ, bhikkhu, paṅke saṅkamo hohī’ti, api nu kho so saṅkameyya vā aññena vā kāyaṁ sannāmeyya, ‘no’ti vā vadeyyā”ti? ||| ‘Please, mendicant, be a bridge for me to cross over the mud.’ Would they cross over themselves, or struggle to get out of it, or just say no?”
“No hetaṁ, bhante”. ||| “No, sir.”
“Taṁ kiṁ maññasi, bhaddāli, ||| “What do you think, Bhaddāli?
