Saṁyutta Nikāya 28.9 ||| Linked Discourses 28.9
1. Sāriputtavagga ||| 1. With Sāriputta
Nirodhasamāpattisutta ||| The Attainment of Cessation
Sāvatthinidānaṁ. ||| At Sāvatthī.
Atha kho āyasmā sāriputto …pe…. ||| Venerable Ānanda saw Venerable Sāriputta …
“Idhāhaṁ, āvuso, sabbaso nevasaññānāsaññāyatanaṁ samatikkamma saññāvedayitanirodhaṁ upasampajja viharāmi. ||| “Reverend, going totally beyond the dimension of neither perception nor non-perception, I entered and remained in the cessation of perception and feeling.
Tassa mayhaṁ, āvuso, na evaṁ hoti: ||| But it didn’t occur to me:
‘ahaṁ saññāvedayitanirodhaṁ samāpajjāmī’ti vā ‘ahaṁ saññāvedayitanirodhaṁ samāpanno’ti vā ‘ahaṁ saññāvedayitanirodhā vuṭṭhito’ti vā”ti. ||| ‘I am entering the cessation of perception and feeling’ or ‘I have entered the cessation of perception and feeling’ or ‘I am emerging from the cessation of perception and feeling’.”
Tathā hi panāyasmato sāriputtassa dīgharattaṁ ahaṅkāramamaṅkāramānānusayā susamūhatā. ||| “That must be because Venerable Sāriputta has long ago totally eradicated I-making, mine-making, and the underlying tendency to conceit.
Tasmā āyasmato sāriputtassa na evaṁ hoti: ||| That’s why it didn’t occur to you:
“‘ahaṁ saññāvedayitanirodhaṁ samāpajjāmī’ti vā ‘ahaṁ saññāvedayitanirodhaṁ samāpanno’ti vā ‘ahaṁ saññāvedayitanirodhā vuṭṭhito’ti vā”ti. ||| ‘I am entering the cessation of perception and feeling’ or ‘I have entered the cessation of perception and feeling’ or ‘I am emerging from the cessation of perception and feeling’.”
Navamaṁ.
