Saṁyutta Nikāya 12.14 ||| Linked Discourses 12.14
2. Āhāravagga ||| 2. Fuel
Dutiyasamaṇabrāhmaṇasutta ||| Ascetics and Brahmins (2nd)
Sāvatthiyaṁ viharati. ||| At Sāvatthī.
“Ye hi keci, bhikkhave, samaṇā vā brāhmaṇā vā ime dhamme nappajānanti, imesaṁ dhammānaṁ samudayaṁ nappajānanti, imesaṁ dhammānaṁ nirodhaṁ nappajānanti, imesaṁ dhammānaṁ nirodhagāminiṁ paṭipadaṁ nappajānanti, katame dhamme nappajānanti, katamesaṁ dhammānaṁ samudayaṁ nappajānanti, katamesaṁ dhammānaṁ nirodhaṁ nappajānanti, katamesaṁ dhammānaṁ nirodhagāminiṁ paṭipadaṁ nappajānanti? ||| “Mendicants, there are ascetics and brahmins who don’t understand these things, their origin, their cessation, and the practice that leads to their cessation. What things don’t they understand?
Jarāmaraṇaṁ nappajānanti, jarāmaraṇasamudayaṁ nappajānanti, jarāmaraṇanirodhaṁ nappajānanti, jarāmaraṇanirodhagāminiṁ paṭipadaṁ nappajānanti; ||| They don’t understand old age and death, their origin, their cessation, and the practice that leads to their cessation.
jātiṁ …pe… ||| They don’t understand rebirth …
bhavaṁ … ||| continued existence …
upādānaṁ … ||| grasping …
taṇhaṁ … ||| craving …
vedanaṁ … ||| feeling …
phassaṁ … ||| contact …
saḷāyatanaṁ … ||| the six sense fields …
nāmarūpaṁ … ||| name and form …
viññāṇaṁ … ||| consciousness …
saṅkhāre nappajānanti, saṅkhārasamudayaṁ nappajānanti, saṅkhāranirodhaṁ nappajānanti, saṅkhāranirodhagāminiṁ paṭipadaṁ nappajānanti. ||| They don’t understand choices, their origin, their cessation, and the practice that leads to their cessation.
Ime dhamme nappajānanti, imesaṁ dhammānaṁ samudayaṁ nappajānanti, imesaṁ dhammānaṁ nirodhaṁ nappajānanti, imesaṁ dhammānaṁ nirodhagāminiṁ paṭipadaṁ nappajānanti. ||| They don’t understand these things, their origin, their cessation, and the practice that leads to their cessation.
Na me te, bhikkhave, samaṇā vā brāhmaṇā vā samaṇesu vā samaṇasammatā brāhmaṇesu vā brāhmaṇasammatā, na ca pana te āyasmanto sāmaññatthaṁ vā brahmaññatthaṁ vā diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharanti. ||| I don’t deem them as true ascetics and brahmins. Those venerables don’t realize the goal of life as an ascetic or brahmin, and don’t live having realized it with their own insight.
Ye ca kho keci, bhikkhave, samaṇā vā brāhmaṇā vā ime dhamme pajānanti, imesaṁ dhammānaṁ samudayaṁ pajānanti, imesaṁ dhammānaṁ nirodhaṁ pajānanti, imesaṁ dhammānaṁ nirodhagāminiṁ paṭipadaṁ pajānanti, katame dhamme pajānanti, katamesaṁ dhammānaṁ samudayaṁ pajānanti, katamesaṁ dhammānaṁ nirodhaṁ pajānanti, katamesaṁ dhammānaṁ nirodhagāminiṁ paṭipadaṁ pajānanti? ||| There are ascetics and brahmins who do understand these things, their origin, their cessation, and the practice that leads to their cessation. What things do they understand?
Jarāmaraṇaṁ pajānanti, jarāmaraṇasamudayaṁ pajānanti, jarāmaraṇanirodhaṁ pajānanti, jarāmaraṇanirodhagāminiṁ paṭipadaṁ pajānanti; ||| They understand old age and death, their origin, their cessation, and the practice that leads to their cessation.
jātiṁ …pe… ||| They understand rebirth …
bhavaṁ … ||| continued existence …
upādānaṁ … ||| grasping …
taṇhaṁ … ||| craving …
vedanaṁ … ||| feeling …
phassaṁ … ||| contact …
saḷāyatanaṁ … ||| the six sense fields …
nāmarūpaṁ … ||| name and form …
viññāṇaṁ … ||| consciousness …
saṅkhāre pajānanti, saṅkhārasamudayaṁ pajānanti, saṅkhāranirodhaṁ pajānanti, saṅkhāranirodhagāminiṁ paṭipadaṁ pajānanti. ||| They understand choices, their origin, their cessation, and the practice that leads to their cessation.
Ime dhamme pajānanti, imesaṁ dhammānaṁ samudayaṁ pajānanti, imesaṁ dhammānaṁ nirodhaṁ pajānanti, imesaṁ dhammānaṁ nirodhagāminiṁ paṭipadaṁ pajānanti. ||| They understand these things, their origin, their cessation, and the practice that leads to their cessation.
Te kho me, bhikkhave, samaṇā vā brāhmaṇā vā samaṇesu ceva samaṇasammatā, brāhmaṇesu ca brāhmaṇasammatā. Te ca panāyasmanto sāmaññatthañca brahmaññatthañca diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharantī”ti. ||| I deem them as true ascetics and brahmins. Those venerables realize the goal of life as an ascetic or brahmin, and live having realized it with their own insight.”
Catutthaṁ.
