Majjhima Nikāya 150 ||| Middle Discourses 150
Nagaravindeyyasutta ||| With the People of Nagaravinda
Evaṁ me sutaṁ— ||| So I have heard.
ekaṁ samayaṁ bhagavā kosalesu cārikaṁ caramāno mahatā bhikkhusaṅghena saddhiṁ yena nagaravindaṁ nāma kosalānaṁ brāhmaṇānaṁ gāmo tadavasari. ||| At one time the Buddha was wandering in the land of the Kosalans together with a large Saṅgha of mendicants when he arrived at a village of the Kosalan brahmins named Nagaravinda.
Assosuṁ kho nagaravindeyyakā brāhmaṇagahapatikā: ||| The brahmins and householders of Nagaravinda heard,
“samaṇo khalu, bho, gotamo sakyaputto sakyakulā pabbajito kosalesu cārikaṁ caramāno mahatā bhikkhusaṅghena saddhiṁ nagaravindaṁ anuppatto. ||| “It seems the ascetic Gotama—a Sakyan, gone forth from a Sakyan family—while wandering in the land of the Kosalans has arrived at Nagaravinda, together with a large Saṅgha of mendicants.
Taṁ kho pana bhavantaṁ gotamaṁ evaṁ kalyāṇo kittisaddo abbhuggato: ||| He has this good reputation:
‘itipi so bhagavā arahaṁ sammāsambuddho vijjācaraṇasampanno sugato lokavidū anuttaro purisadammasārathi satthā devamanussānaṁ buddho bhagavā’ti. ||| ‘That Blessed One is perfected, a fully awakened Buddha, accomplished in knowledge and conduct, holy, knower of the world, supreme guide for those fit for training, teacher of gods and humans, awakened, blessed.’
So imaṁ lokaṁ sadevakaṁ samārakaṁ sabrahmakaṁ sassamaṇabrāhmaṇiṁ pajaṁ sadevamanussaṁ sayaṁ abhiññā sacchikatvā pavedeti. ||| He has realized with his own insight this world—with its gods, Māras, and divinities, this population with its ascetics and brahmins, gods and humans—and he makes it known to others.
So dhammaṁ deseti ādikalyāṇaṁ majjhekalyāṇaṁ pariyosānakalyāṇaṁ sātthaṁ sabyañjanaṁ, kevalaparipuṇṇaṁ parisuddhaṁ brahmacariyaṁ pakāseti. ||| He proclaims a teaching that is good in the beginning, good in the middle, and good in the end, meaningful and well-phrased. And he reveals a spiritual practice that’s entirely full and pure.
Sādhu kho pana tathārūpānaṁ arahataṁ dassanaṁ hotī”ti. ||| It’s good to see such perfected ones.”
Atha kho nagaravindeyyakā brāhmaṇagahapatikā yena bhagavā tenupasaṅkamiṁsu; upasaṅkamitvā appekacce bhagavantaṁ abhivādetvā ekamantaṁ nisīdiṁsu. Appekacce bhagavatā saddhiṁ sammodiṁsu; sammodanīyaṁ kathaṁ sāraṇīyaṁ vītisāretvā ekamantaṁ nisīdiṁsu. Appekacce yena bhagavā tenañjaliṁ paṇāmetvā ekamantaṁ nisīdiṁsu. Appekacce bhagavato santike nāmagottaṁ sāvetvā ekamantaṁ nisīdiṁsu. Appekacce tuṇhībhūtā ekamantaṁ nisīdiṁsu. Ekamantaṁ nisinne kho nagaravindeyyake brāhmaṇagahapatike bhagavā etadavoca: ||| Then the brahmins and householders of Nagaravinda went up to the Buddha. Before sitting down to one side, some bowed, some exchanged greetings and polite conversation, some held up their cupped palms toward the Buddha, some announced their name and clan, while some kept silent. The Buddha said to them:
“Sace vo, gahapatayo, aññatitthiyā paribbājakā evaṁ puccheyyuṁ: ||| “Householders, if wanderers who follow another religion were to ask you:
‘kathaṁbhūtā, gahapatayo, samaṇabrāhmaṇā na sakkātabbā na garukātabbā na mānetabbā na pūjetabbā’ti? ||| ‘What kind of ascetic or brahmin doesn’t deserve honor, respect, reverence, and veneration?’
Evaṁ puṭṭhā tumhe, gahapatayo, tesaṁ aññatitthiyānaṁ paribbājakānaṁ evaṁ byākareyyātha: ||| You should answer them:
‘ye te samaṇabrāhmaṇā cakkhuviññeyyesu rūpesu avītarāgā avītadosā avītamohā, ajjhattaṁ avūpasantacittā, samavisamaṁ caranti kāyena vācāya manasā, evarūpā samaṇabrāhmaṇā na sakkātabbā na garukātabbā na mānetabbā na pūjetabbā. ||| ‘There are ascetics and brahmins who are not free of greed, hate, and delusion for sights known by the eye, who are not peaceful inside, and who conduct themselves badly among the good by way of body, speech, and mind. They don’t deserve honor, respect, reverence, and veneration.
Taṁ kissa hetu? ||| Why is that?
Mayampi hi cakkhuviññeyyesu rūpesu avītarāgā avītadosā avītamohā, ajjhattaṁ avūpasantacittā, samavisamaṁ carāma kāyena vācāya manasā, tesaṁ no samacariyampi hetaṁ uttari apassataṁ. ||| Because we ourselves are not free of these things, so we do not see that they have any higher good conduct than us.
Tasmā te bhonto samaṇabrāhmaṇā na sakkātabbā na garukātabbā na mānetabbā na pūjetabbā. ||| That’s why they don’t deserve honor, respect, reverence, and veneration.
Ye te samaṇabrāhmaṇā sotaviññeyyesu saddesu … ||| There are ascetics and brahmins who are not free of greed, hate, and delusion for sounds known by the ear …
ghānaviññeyyesu gandhesu … ||| smells known by the nose …
jivhāviññeyyesu rasesu … ||| tastes known by the tongue…
kāyaviññeyyesu phoṭṭhabbesu … ||| touches known by the body …
manoviññeyyesu dhammesu avītarāgā avītadosā avītamohā, ajjhattaṁ avūpasantacittā, samavisamaṁ caranti kāyena vācāya manasā, evarūpā samaṇabrāhmaṇā na sakkātabbā na garukātabbā na mānetabbā na pūjetabbā. ||| ideas known by the mind, who are not peaceful inside, and who conduct themselves badly among the good by way of body, speech, and mind. They don’t deserve honor, respect, reverence, and veneration.
Taṁ kissa hetu? ||| Why is that?
Mayampi hi manoviññeyyesu dhammesu avītarāgā avītadosā avītamohā, ajjhattaṁ avūpasantacittā, samavisamaṁ carāma kāyena vācāya manasā, tesaṁ no samacariyampi hetaṁ uttari apassataṁ. ||| Because we ourselves are not free of these things, so we do not see that they have any higher good conduct than us.
Tasmā te bhonto samaṇabrāhmaṇā na sakkātabbā na garukātabbā na mānetabbā na pūjetabbā’ti. ||| That’s why they don’t deserve honor, respect, reverence, and veneration.’
Evaṁ puṭṭhā tumhe, gahapatayo, tesaṁ aññatitthiyānaṁ paribbājakānaṁ evaṁ byākareyyātha. ||| When questioned by wanderers of other religions, that’s how you should answer them.
Sace pana vo, gahapatayo, aññatitthiyā paribbājakā evaṁ puccheyyuṁ: ||| If wanderers of other religions were to ask you:
