Saṁyutta Nikāya 36.15 ||| Linked Discourses 36.15
2. Rahogatavagga ||| 2. In Private
Paṭhamaānandasutta ||| With Ānanda (1st)
Atha kho āyasmā ānando yena bhagavā tenupasaṅkami; upasaṅkamitvā ekamantaṁ nisīdi, ekamantaṁ nisinno kho āyasmā ānando bhagavantaṁ etadavoca: ||| Then Venerable Ānanda went up to the Buddha … sat down to one side, and said to him:
“katamā nu kho, bhante, vedanā, katamo vedanāsamudayo, katamo vedanānirodho, katamā vedanānirodhagāminī paṭipadā? ||| “Sir, what is feeling? What’s the origin of feeling? What’s the cessation of feeling? What’s the practice that leads to the cessation of feeling?
Ko vedanāya assādo, ko ādīnavo, kiṁ nissaraṇan”ti? ||| And what is feeling’s gratification, drawback, and escape?”
“Tisso imā, ānanda, vedanā— ||| “Ānanda, there are these three feelings:
sukhā vedanā, dukkhā vedanā, adukkhamasukhā vedanā— ||| pleasant, painful, and neutral.
imā vuccanti, ānanda, vedanā. ||| These are called feelings.
Phassasamudayā vedanāsamudayo; ||| Feeling originates from contact.
phassanirodhā vedanānirodho. ||| When contact ceases, feeling ceases.
Ayameva ariyo aṭṭhaṅgiko maggo vedanānirodhagāminī paṭipadā, seyyathidaṁ— ||| The practice that leads to the cessation of feelings is simply this noble eightfold path, that is:
sammādiṭṭhi …pe… sammāsamādhi. ||| right view, right purpose, right speech, right action, right livelihood, right effort, right mindfulness, and right immersion.
Yaṁ vedanaṁ paṭicca uppajjati sukhaṁ somanassaṁ, ayaṁ vedanāya assādo. ||| The pleasure and happiness that arise from feeling: this is its gratification.
Yaṁ vedanā aniccā dukkhā vipariṇāmadhammā, ayaṁ vedanāya ādīnavo. ||| That feeling is impermanent, suffering, and perishable: this is its drawback.
Yo vedanāya chandarāgavinayo chandarāgappahānaṁ, idaṁ vedanāya nissaraṇaṁ. ||| Removing and giving up desire and greed for feeling: this is its escape.
Atha kho panānanda, mayā anupubbasaṅkhārānaṁ nirodho akkhāto. ||| But I have also explained the progressive cessation of activities.
Paṭhamaṁ jhānaṁ samāpannassa vācā niruddhā hoti …pe… ||| For someone who has attained the first absorption, speech has ceased. …
saññāvedayitanirodhaṁ samāpannassa saññā ca vedanā ca niruddhā honti. ||| For someone who has attained the cessation of perception and feeling, perception and feeling have ceased.
Khīṇāsavassa bhikkhuno rāgo niruddho hoti, doso niruddho hoti, moho niruddho hoti. ||| For a mendicant who has ended the defilements, greed, hate, and delusion have ceased.
Atha kho panānanda, mayā anupubbasaṅkhārānaṁ vūpasamo akkhāto. ||| And I have also explained the progressive settling of activities.
Paṭhamaṁ jhānaṁ samāpannassa vācā vūpasantā hoti …pe… ||| For someone who has attained the first absorption, speech has stilled. …
saññāvedayitanirodhaṁ samāpannassa saññā ca vedanā ca vūpasantā honti. ||| For someone who has attained the cessation of perception and feeling, perception and feeling have stilled.
Khīṇāsavassa bhikkhuno rāgo vūpasanto hoti, doso vūpasanto hoti, moho vūpasanto hoti. ||| For a mendicant who has ended the defilements, greed, hate, and delusion have stilled.
Atha kho panānanda, mayā anupubbasaṅkhārānaṁ paṭippassaddhi akkhātā. ||| And I have also explained the progressive tranquilizing of activities.
Paṭhamaṁ jhānaṁ samāpannassa vācā paṭippassaddhā hoti …pe… ||| For someone who has attained the first absorption, speech has been tranquilized. …
ākāsānañcāyatanaṁ samāpannassa rūpasaññā paṭippassaddhā hoti. ||| For someone who has attained the dimension of infinite space, the perception of form has been tranquilized.
Viññāṇañcāyatanaṁ samāpannassa ākāsānañcāyatanasaññā paṭippassaddhā hoti. ||| For someone who has attained the dimension of infinite consciousness, the perception of the dimension of infinite space has been tranquilized.
Ākiñcaññāyatanaṁ samāpannassa viññāṇañcāyatanasaññā paṭippassaddhā hoti. ||| For someone who has attained the dimension of nothingness, the perception of the dimension of infinite consciousness has been tranquilized.
Nevasaññānāsaññāyatanaṁ samāpannassa ākiñcaññāyatanasaññā paṭippassaddhā hoti. ||| For someone who has attained the dimension of neither perception nor non-perception, the perception of the dimension of nothingness has been tranquilized.
Saññāvedayitanirodhaṁ samāpannassa saññā ca vedanā ca paṭippassaddhā honti. ||| For someone who has attained the cessation of perception and feeling, perception and feeling have been tranquilized.
Khīṇāsavassa bhikkhuno rāgo paṭippassaddho hoti, doso paṭippassaddho hoti, moho paṭippassaddho hotī”ti. ||| For a mendicant who has ended the defilements, greed, hate, and delusion have been tranquilized.”
Pañcamaṁ.
