Saṁyutta Nikāya 3.2 ||| Linked Discourses 3.2
1. Paṭhamavagga ||| 1. Shackles
Purisasutta ||| A Person
Sāvatthinidānaṁ. ||| At Sāvatthī.
Atha kho rājā pasenadi kosalo yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ nisīdi. Ekamantaṁ nisinno kho rājā pasenadi kosalo bhagavantaṁ etadavoca: ||| Then King Pasenadi of Kosala went up to the Buddha, bowed, sat down to one side, and said to the Buddha,
“kati nu kho, bhante, purisassa dhammā ajjhattaṁ uppajjamānā uppajjanti ahitāya dukkhāya aphāsuvihārāyā”ti? ||| “Sir, how many things arise inside a person for their harm, suffering, and discomfort?”
“Tayo kho, mahārāja, purisassa dhammā ajjhattaṁ uppajjamānā uppajjanti ahitāya dukkhāya aphāsuvihārāya. ||| “Great king, three things arise inside a person for their harm, suffering, and discomfort.
Katame tayo? ||| What three?
Lobho kho, mahārāja, purisassa dhammo ajjhattaṁ uppajjamāno uppajjati ahitāya dukkhāya aphāsuvihārāya. ||| Greed,
Doso kho, mahārāja, purisassa dhammo ajjhattaṁ uppajjamāno uppajjati ahitāya dukkhāya aphāsuvihārāya. ||| hate,
Moho kho, mahārāja, purisassa dhammo ajjhattaṁ uppajjamāno uppajjati ahitāya dukkhāya aphāsuvihārāya. ||| and delusion.
Ime kho, mahārāja, tayo purisassa dhammā ajjhattaṁ uppajjamānā uppajjanti ahitāya dukkhāya aphāsuvihārāyā”ti. ||| These three things arise inside a person for their harm, suffering, and discomfort.”
Idamavoca …pe… ||| That is what the Buddha said. …
“Lobho doso ca moho ca, ||| “When greed, hate, and delusion,
purisaṁ pāpacetasaṁ; ||| originate inside oneself,
Hiṁsanti attasambhūtā, ||| they harm a person of wicked heart,
tacasāraṁva samphalan”ti. ||| as a bamboo is destroyed by its own fruit.”
