Saṁyutta Nikāya 14.37 ||| Linked Discourses 14.37
4. Catutthavagga ||| 4. Chapter Four
Samaṇabrāhmaṇasutta ||| Ascetics and Brahmins
Sāvatthiyaṁ viharati. ||| At Sāvatthī.
“Catasso imā, bhikkhave, dhātuyo. ||| “Mendicants, there are these four elements.
Katamā catasso? ||| What four?
Pathavīdhātu, āpodhātu, tejodhātu, vāyodhātu. ||| The elements of earth, water, fire, and air.
Ye hi keci, bhikkhave, samaṇā vā brāhmaṇā vā imāsaṁ catunnaṁ dhātūnaṁ assādañca ādīnavañca nissaraṇañca yathābhūtaṁ nappajānanti, ||| There are ascetics and brahmins who don’t truly understand these four elements’ gratification, drawback, and escape.
na me te, bhikkhave, samaṇā vā brāhmaṇā vā samaṇesu vā samaṇasammatā brāhmaṇesu vā brāhmaṇasammatā; na ca pana te āyasmanto sāmaññatthaṁ vā brahmaññatthaṁ vā diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharanti. ||| I don’t deem them as true ascetics and brahmins. Those venerables don’t realize the goal of life as an ascetic or brahmin, and don’t live having realized it with their own insight.
Ye ca kho keci, bhikkhave, samaṇā vā brāhmaṇā vā imāsaṁ catunnaṁ dhātūnaṁ assādañca ādīnavañca nissaraṇañca yathābhūtaṁ pajānanti, ||| There are ascetics and brahmins who do truly understand these four elements’ gratification, drawback, and escape.
te ca kho me, bhikkhave, samaṇā vā brāhmaṇā vā samaṇesu ceva samaṇasammatā brāhmaṇesu ca brāhmaṇasammatā; te ca panāyasmanto sāmaññatthañca brahmaññatthañca diṭṭheva dhamme sayaṁ abhiññā sacchikatvā upasampajja viharantī”ti. ||| I deem them as true ascetics and brahmins. Those venerables realize the goal of life as an ascetic or brahmin, and live having realized it with their own insight.”
Aṭṭhamaṁ.
