Saṁyutta Nikāya 41.7 ||| Linked Discourses 41.7
1. Cittavagga ||| 1. With Citta
Godattasutta ||| With Godatta
Ekaṁ samayaṁ āyasmā godatto macchikāsaṇḍe viharati ambāṭakavane. ||| At one time Venerable Godatta was staying near Macchikāsaṇḍa in the Wild Mango Grove.
Atha kho citto gahapati yenāyasmā godatto tenupasaṅkami; upasaṅkamitvā āyasmantaṁ godattaṁ abhivādetvā ekamantaṁ nisīdi. Ekamantaṁ nisinnaṁ kho cittaṁ gahapatiṁ āyasmā godatto etadavoca: ||| Then Citta the householder went up to Venerable Godatta, bowed, and sat down to one side. Godatta said to him:
“yā cāyaṁ, gahapati, appamāṇā cetovimutti, yā ca ākiñcaññā cetovimutti, yā ca suññatā cetovimutti, yā ca animittā cetovimutti, ime dhammā nānatthā nānābyañjanā udāhu ekatthā byañjanameva nānan”ti? ||| “Householder, the limitless release of the heart, and the release of the heart through nothingness, and the release of the heart through emptiness, and the signless release of the heart: do these things differ in both meaning and phrasing? Or do they mean the same thing, and differ only in the phrasing?”
“Atthi, bhante, pariyāyo yaṁ pariyāyaṁ āgamma ime dhammā nānatthā ceva nānābyañjanā ca. ||| “Sir, there is a way in which these things differ in both meaning and phrasing.
Atthi pana, bhante, pariyāyo yaṁ pariyāyaṁ āgamma ime dhammā ekatthā byañjanameva nānan”ti. ||| But there’s also a way in which they mean the same thing, and differ only in the phrasing.
“Katamo ca, bhante, pariyāyo yaṁ pariyāyaṁ āgamma ime dhammā nānatthā ceva nānābyañjanā ca? ||| And what’s the way in which these things differ in both meaning and phrasing?
Idha, bhante, bhikkhu mettāsahagatena cetasā ekaṁ disaṁ pharitvā viharati, tathā dutiyaṁ, tathā tatiyaṁ, tathā catutthaṁ. Iti uddhamadho tiriyaṁ sabbadhi sabbattatāya sabbāvantaṁ lokaṁ mettāsahagatena cetasā vipulena mahaggatena appamāṇena averena abyāpajjena pharitvā viharati. ||| It’s when a mendicant meditates spreading a heart full of love to one direction, and to the second, and to the third, and to the fourth. In the same way above, below, across, everywhere, all around, they spread a heart full of love to the whole world—abundant, expansive, limitless, free of enmity and ill will.
Karuṇāsahagatena cetasā …pe… ||| They meditate spreading a heart full of compassion …
