Saṁyutta Nikāya 48.54 ||| Linked Discourses 48.54
6. Sūkarakhatavagga ||| 6. The Boar’s Cave
Padasutta ||| Footprints
“Seyyathāpi, bhikkhave, yāni kānici jaṅgalānaṁ pāṇānaṁ padajātāni sabbāni tāni hatthipade samodhānaṁ gacchanti, hatthipadaṁ tesaṁ aggamakkhāyati, yadidaṁ—mahantattena; ||| “The footprints of all creatures that walk can fit inside an elephant’s footprint, so an elephant’s footprint is said to be the biggest of them all.
evameva kho, bhikkhave, yāni kānici padāni bodhāya saṁvattanti, paññindriyaṁ padaṁ tesaṁ aggamakkhāyati, yadidaṁ—bodhāya. ||| In the same way, the faculty of wisdom is said to be the best of the steps that lead to awakening; that is, for becoming awakened.
Katamāni ca, bhikkhave, padāni bodhāya saṁvattanti? ||| And what are the steps that lead to awakening?
Saddhindriyaṁ, bhikkhave, padaṁ, taṁ bodhāya saṁvattati; ||| The faculties of faith,
vīriyindriyaṁ padaṁ, taṁ bodhāya saṁvattati; ||| energy,
satindriyaṁ padaṁ, taṁ bodhāya saṁvattati; ||| mindfulness,
samādhindriyaṁ padaṁ, taṁ bodhāya saṁvattati; ||| immersion,
paññindriyaṁ padaṁ, taṁ bodhāya saṁvattati. ||| and wisdom are steps that lead to awakening, in that they lead to becoming awakened.
Seyyathāpi, bhikkhave, yāni kānici jaṅgalānaṁ pāṇānaṁ padajātāni sabbāni tāni hatthipade samodhānaṁ gacchanti, hatthipadaṁ tesaṁ aggamakkhāyati, yadidaṁ—mahantattena; ||| The footprints of all creatures that walk can fit inside an elephant’s footprint, so an elephant’s footprint is said to be the biggest of them all.
evameva kho, bhikkhave, yāni kānici padāni bodhāya saṁvattanti, paññindriyaṁ padaṁ tesaṁ aggamakkhāyati, yadidaṁ—bodhāyā”ti. ||| In the same way, the faculty of wisdom is said to be the best of the steps that lead to awakening; that is, for becoming awakened. ”
Catutthaṁ.
