སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་མཉན་ཡོད་ན་རྒྱལ་བུ་རྒྱལ་བྱེད་ཀྱི་ཚལ་མགོན་མེད་ཟས་སྦྱིན་གྱི་ཀུན་དགའ་ར་བ་ན་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Blessed One was staying in the Jeta Grove, Anāthapiṇḍada’s park in Śrāvastī.
བྱང་ཆུབ་སེམས་དཔའི་དགེ་འདུན་ཆེན་པོ་དང་ཡང་ཐབས་ཅིག་གོ། ||| He was there together with a great saṅgha of monks, as well as a great saṅgha of bodhisattvas.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྒྱལ་བས་དགའ་ལ་བཀའ་སྩལ་པ། ||| At that time, the Blessed One recounted the following to the bodhisattva great being Delighted by Victory:
རིགས་ཀྱི་བུ་སྔོན་བྱུང་བ་འདས་པའི་དུས་བསྐལ་པ་གྲངས་མེད་པའི་ཡང་ཆེས་གྲངས་མེད་ཅིང་ཚད་མེད་པར་གྱུར་པ་དེའི་ཚེ་དེའི་དུས་ན་འཇིག་རྟེན་གྱི་ཁམས་མེ་ཏོག་གི་འབྱུང་གནས་ཞེས་བྱ་བ་འབྱོར་པ་རྒྱས་པ། ||| “Noble son, at a past time countless, limitless, immeasurably many eons ago, there was a world called Flower Origin.
བདེ་བ་ལོ་ལེགས་པ་ཉམས་དགའ་བ་སྐྱེ་བོ་མང་པོ་དང་མི་རྣམས་ཀྱིས་གང་བ་ལག་མཐིལ་ལྟར་མཉམ་པར་གྱུར་པ་ཞིག་བྱུང་ངོ་། ། ||| It was abundantly prosperous and happy, had good crops, and was delightful. It was filled with many people, and was as even as the palm of a hand.
རིགས་ཀྱི་བུ་འཇིག་རྟེན་གྱི་ཁམས་མེ་ཏོག་གི་འབྱུང་གནས་དེ་ན་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་མེ་ཏོག་ལས་བྱུང་བ་ཞེས་བྱ་བ་ད་ལྟར་ཡང་བཞུགས་ཏེ། ||| Noble son, in the world Flower Origin dwelled the thus-gone, worthy, perfect buddha Arisen from Flowers.
འཚོ་ཞིང་གཞེས་ལ་འཁོར་བཞི་དང་། ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། དྲི་ཟ་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མི་འམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། མི་དང་མི་མ་ཡིན་པ་རྣམས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ། ||| He still abides there, alive and well, teaching the Dharma to the fourfold assembly, as well as to gods, nāgas, yakṣas, gandharvas, demigods, garuḍas, kinnaras, mahoragas, humans, and non-humans.
རིགས་ཀྱི་བུ་འཇིག་རྟེན་གྱི་ཁམས་མེ་ཏོག་གི་འབྱུང་གནས་དེ་ན་མིའི་དབང་པོ་འཁོར་ལོས་སྒྱུར་བའི་རྒྱལ་པོ་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ལ་དབང་བྱེད་པ་རྒྱལ་བ་ཐོབ་པ་ཞེས་བྱ་བ་ཞིག་བྱུང་ངོ་། ། ||| “Noble son, in the world Flower Origin lived the ruler Attainment of Victory. He was a universal emperor, who had as his dominion the entire trichiliocosm.
རིགས་ཀྱི་བུ་རྒྱལ་པོ་རྒྱལ་བ་ཐོབ་པ་དེའི་ཚིག་རབ་ལ་སེམས་ཅན་དེ་དག་བདེ་ཞིང་ཡིད་བདེ་བ་སྐྱེས་ལ། དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་དང་ལྡན་ཞིང་བདག་གི་ཆུང་མས་མངོན་པར་དགའོ། ། ||| Noble son, under the king’s rule beings had found happiness and well-being, followed the path of the ten virtuous deeds, and were satisfied with their spouses.
