སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པའི་དུས་གཅིག་ན། ||| Thus did I hear at one time.
བཅོམ་ལྡན་འདས་སུམ་ཅུ་རྩ་གསུམ་གྱི་ལྷའི་ནང་ན། ||| The Blessed One was in the Realm of the Thirty-Three Gods,
ཨར་མོ་ནིག་ལྟ་བུའི་རྡོ་ལེབ་ལ་རྟ་ཐུལ་ལ་སོགས་པ་ཉན་ཐོས་ཆེན་པོ་རྣམས་དང་། ||| seated on the throne of Indra. With him were great hearers such as the venerable Aśvajit;
འཕགས་པ་བྱམས་པ་དང་། འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་དང་། ལག་ན་རྡོ་རྗེ་ལ་སོགས་པ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཡོན་ཏན་རིན་པོ་ཆེ་དཔག་ཏུ་མེད་པས་བརྒྱན་པ་རྣམས་དང་། ||| bodhisattva mahāsattvas such as noble Maitreya, noble Avalokiteśvara, and Vajrapāṇi, who were adorned with immeasurable precious qualities;
མི་མཇེད་ཀྱི་བདག་པོ་ཚངས་པ་ཆེན་པོ་དང་། སྲེད་མེད་ཀྱི་བུ་དང་། དབང་ཕྱུག་ཆེན་པོ་ལ་སོགས་པ་ལྷ་རྣམས་དང་། ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་། དྲི་ཟའི་རྒྱལ་པོ་གཙུག་ཕུད་ལྔ་པ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| as well as various gods such as the great Brahmā, who is the lord of the Sahā world, Nārāyaṇa, the great Īśvara, Śakra, who is the chief of the gods, and Pañcaśikha, who is the king of the gandharvas.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་སྟན་ལས་ལངས་ཏེ། ||| On that occasion, the bodhisattva mahāsattva Avalokiteśvara rose from his seat
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས། པུས་མོ་གཡས་པའི་ལྷ་ང་རི་རབ་ཀྱི་རྩེ་མོ་ལ་བཙུགས་ཏེ། ||| and, having draped his upper robe over one shoulder, knelt down with his right knee on the peak of Mount Meru.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| His palms together, he then bowed toward the Blessed One and addressed to him these words:
བཅོམ་ལྡན་འདས་ལྷ་འདི་དག་ནི་མཆོད་རྟེན་བགྱིད་པར་འཚལ་བ་ཤ་སྟག་སྟེ། ||| “Blessed One, these gods all really wish to build a stūpa.
འཁོར་གྱི་དཀྱིལ་འཁོར་འདིར་མཆིས་ན། ||| Now that they are present in this entourage,
