སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus have I heard at one time.
བཅོམ་ལྡན་འདས་གྲོང་ཁྱེར་བཱ་རཱ་ཎ་སཱི་ན་དྲང་སྲོང་ལྷུང་བ་རི་དགས་ཀྱི་ནགས་ན། ||| The Blessed One was dwelling in the Deer Park by the Hill of the Fallen Sages near Vārāṇasī,
དགྲ་བཅོམ་པ་ཉི་ཁྲིའི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་། ། ||| together with a great saṅgha of twenty thousand worthy monks and
བྱང་ཆུབ་སེམས་དཔའ་ཁྲི་ཉིས་སྟོང་ལ་འདི་ལྟ་སྟེ། ||| twelve thousand bodhisattvas that included
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སེང་གེའི་སེང་གེ་དང་། སེང་གེའི་བློ་གྲོས་དང་། ལེགས་པར་གནས་པའི་བློ་གྲོས་དང་། དཔེ་མེད་བློ་གྲོས་དང་། ས་འཛིན་དང་། མེས་བྱིན་དང་། ཆུ་ལྷ་དང་། དཀོན་མཆོག་འབྱུང་གནས་དང་། ཕུག་སྦས་དང་བཟང་སྐྱོང་དང་གློག་ལྷ་དང་། རྣམ་པར་སྣང་བྱེད་དང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། ཡེ་ཤེས་འབྱུང་གནས་དང་། བརྩོན་པ་མི་གཏོང་དང་། མཐོང་བ་དོན་ཡོད་དང་། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ ||| the bodhisattva great beings Harisiṃha, Siṃhamati, Su­pratiṣṭhita­buddhi, Anupamamati, Dharaṇīṃdhara, Agnidatta, Varuṇa, Ratnākara, Guhyagupta, Bhadrapāla, Vidyutdeva, Vairocana, Mañjuśrī Kumārabhūta, Jñānākara, Anikṣiptadhura, Amoghadarśin, and the bodhisattva great being Maitreya.
ལྷའི་བུ་མཚམས་བཟང་དང་ལེགས་པར་གནས་པའི་བློ་གྲོས་ལ་སོགས་པ་ཐམས་ཅད་ཀྱང་ཐེག་པ་ཆེན་པོ་ལ་ཡང་དག་པར་ཞུགས་པ་ཉི་ཁྲི་དང་ཡང་ཐབས་ཅིག་གོ། ||| Also in attendance were twenty thousand gods who had all entered the Great Vehicle, such as Susīma and Su­pratiṣṭhita­buddhi.
དེ་ནས་བཅོམ་ལྡན་འདས་འཁོར་བརྒྱ་སྟོང་དུ་མས་ཡོངས་སུ་བསྐོར་ཅིང་མདུན་གྱིས་བལྟས་ཏེ་ཆོས་སྟོན་ཏོ། ། ||| At that time the Blessed One, surrounded and venerated by a retinue of several hundred thousand beings, was teaching the Dharma.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་དཔལ་གྱི་སྙིང་པོ་སྟན་ལས་ལངས་ཏེ། ||| The bodhisattva great being Padmaśrīgarbha stood up,
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས་པུས་མོ་གཡས་པའི་ལྷ་ང་ས་ལ་བཙུགས་ཏེ། ||| draped his shawl over one shoulder, and knelt on his right knee.
བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས། ||| With his palms together, he bowed toward the Blessed One,
བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| and inquired of the Blessed One,
གལ་ཏེ་ཞུས་ནས་ཞུ་བ་ལུང་བསྟན་པའི་སླད་དུ་བཅོམ་ལྡན་འདས་ཀྱིས་བདག་ལ་སྐབས་ཕྱེ་ན། བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལ་བདག་ཕྱོགས་འགའ་ཞིག་ཞུའོ། ། ||| If this is an opportune moment for the Blessed One to grant me answers to some questions of mine, may I put them to the Blessed One, the thus-gone, worthy, completely perfect Buddha?
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་པད་མའི་དཔལ་གྱི་སྙིང་པོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One replied to the bodhisattva great being Padmaśrīgarbha,
པད་མའི་དཔལ་གྱི་སྙིང་པོ་ཁྱོད་ལ་དེ་བཞིན་གཤེགས་པས་དྲིས་པ་ལུང་བསྟན་པའི་ཕྱིར། རྟག་ཏུ་སྐབས་ཕྱེས་པད་མའི་དཔལ་གྱི་སྙིང་པོ་ཁྱོད་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལ་ཅི་དང་ཅི་འདོད་པ་དྲིས་ཤིག་དང་ངས་དྲིས་པ་དེ་དང་དེའི་ལུང་བསྟན་པས་ཁྱོད་ཀྱི་སེམས་རངས་པར་བྱའོ། ||| “Padmaśrīgarbha, it is always opportune for the Thus-Gone One to address your concerns. Padmaśrīgarbha, ask the Thus-Gone One, the worthy, completely perfect Buddha, whatever you wish, and I will address your questions, so that you may feel at ease.
