ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Omniscient One!
འདི་སྐད་བདག་གིས་ཐོས་པའི་དུས་གཅིག་ན། ||| Thus did I hear at one time.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་བཱ་རཱ་ཎ་སཱི་དྲང་སྲོང་སྨྲ་བའི་རི་དགས་ཀྱི་ནགས་ན་བཞུགས་ཏེ། ||| The Blessed One, the Buddha, was residing in the Deer Park at Ṛṣivadana by Vārāṇasī.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ལྔ་སྡེའི་དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། ||| At that time the Blessed One spoke to the group of five monks:
དགེ་སློང་དག་ང་སྔོན་མ་ཐོས་པའི་ཆོས་རྣམས་ལ། ||| “Monks, regarding things that I had not previously heard,
དགེ་སློང་དག་ང་སྔོན་མ་ཐོས་པའི་ཆོས་རྣམས་ལ། ||| “Monks, regarding things that I had not previously heard,
འདི་ནི་སྡུག་བསྔལ་འཕགས་པའི་བདེན་པའོ་ཞེས་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་ན་མིག་སྐྱེས་སོ། ། ||| the vision arose, and the insight, knowledge, understanding, and realization arose: ‘This is suffering, the truth of noble beings.’
ཤེས་པ་དང་རིག་པ་དང་བློ་དང་རྟོགས་པ་སྐྱེས་སོ། ། ||| insight, knowledge, understanding, and realization arose:
འདི་ནི་སྡུག་བསྔལ་ལོ། །འདི་ནི་སྡུག་བསྔལ་ཀུན་འབྱུང་བའོ། །འདི་ནི་སྡུག་བསྔལ་འགོག་པའོ། །འདི་ནི་སྡུག་བསྔལ་འགོག་པར་འགྲོ་བའི་ལམ་མོ་ཞེས་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་ན་མིག་སྐྱེས་སོ། ||| ‘This is the origin of suffering, this is the cessation of suffering, and this is the path leading to the cessation of suffering.’
འདི་ནི་སྡུག་བསྔལ་འགོག་པར་འགྲོ་བའི་ལམ་མོ་ཞེས་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་ན་མིག་སྐྱེས་སོ། །ཤེས་པ་དང་རིག་པ་དང་བློ་དང་རྟོགས་པ་སྐྱེས་སོ། ། ||| the vision arose, and the insight, knowledge, understanding, and realization arose: ‘This is the origin of suffering, this is the cessation of suffering, and this is the path leading to the cessation of suffering.’
སྡུག་བསྔལ་འཕགས་པའི་བདེན་པ་དེ་ངས་མངོན་པར་ཤེས་པས་ཡོངས་སུ་ཤེས་པར་བྱའོ་ཞེས་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་ན་མིག་སྐྱེས་སོ། ||| ‘With higher knowledge I should comprehend suffering, that truth of noble beings.’
ཤེས་པ་དང་རིག་པ་དང་བློ་དང་རྟོགས་པ་སྐྱེས་སོ། །དགེ་སློང་དག་ང་སྔོན་མ་ཐོས་པའི་ཆོས་རྣམས་ལ་སྡུག་བསྔལ་ཀུན་འབྱུང་བ་འཕགས་པའི་བདེན་པ་དེ་ངས་མངོན་པར་ཤེས་པས་སྤང་བར་བྱའོ་ཞེས་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་ན་མིག་སྐྱེས་སོ། །ཤེས་པ་དང་རིག་པ་དང་བློ་དང་རྟོགས་པ་སྐྱེས་སོ། ། ||| “Monks, regarding things that I had not previously heard, as I reflected thoroughly, the vision arose, and the insight, knowledge, understanding, and realization arose: ‘With higher knowledge I should relinquish the origin of suffering, that truth of noble beings.’
སྡུག་བསྔལ་འགོག་པ་ཤེས་པ་འཕགས་པའི་བདེན་པ་དེ་ངས་མངོན་པར་ཤེས་པས་མངོན་སུམ་དུ་བྱའོ་ཞེས་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་ན་མིག་སྐྱེས་སོ། ||| ‘With higher knowledge I should actualize the cessation of suffering, that truth of noble beings.’
ཤེས་པ་དང་རིག་པ་དང་བློ་དང་རྟོགས་པ་སྐྱེས་སོ། །དགེ་སློང་དག་ང་སྔོན་མ་ཐོས་པའི་ཆོས་རྣམས་ལ་སྡུག་བསྔལ་འགོག་པར་འགྲོ་བའི་ལམ་འཕགས་པའི་བདེན་པ་དེ་ངས་མངོན་པར་ཤེས་པས་བསྒོམ་པར་བྱའོ་ཞེས་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་ན་མིག་སྐྱེས་སོ། །ཤེས་པ་དང་རིག་པ་དང་བློ་དང་རྟོགས་པ་སྐྱེས་སོ། ། ||| “Monks, regarding things that I had not previously heard, as I reflected thoroughly, the vision arose, and the insight, knowledge, understanding, and realization arose: ‘With higher knowledge I should cultivate the path leading to the cessation of suffering, that truth of noble beings.’
ཤེས་པ་དང་རིག་པ་དང་བློ་དང་རྟོགས་པ་སྐྱེས་སོ། །དགེ་སློང་དག་ང་སྔོན་མ་ཐོས་པའི་ཆོས་རྣམས་ལ་སྡུག་བསྔལ་ཀུན་འབྱུང་བ་འཕགས་པའི་བདེན་པ་དེ་ངས་མངོན་པར་ཤེས་པས་སྤངས་སོ་ཞེས་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་ན་མིག་སྐྱེས་སོ། ||| “Monks, regarding things that I had not previously heard, as I reflected thoroughly, the vision arose, and the insight, knowledge, understanding, and realization arose: ‘With higher knowledge I have comprehended suffering, that truth of noble beings.’
སྡུག་བསྔལ་ཀུན་འབྱུང་བ་འཕགས་པའི་བདེན་པ་དེ་ངས་མངོན་པར་ཤེས་པས་སྤངས་སོ་ཞེས་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་ན་མིག་སྐྱེས་སོ། ། ||| ‘With higher knowledge I have relinquished the origin of suffering, that truth of noble beings.’
དགེ་སློང་དག་ང་སྔོན་མ་ཐོས་པའི་ཆོས་རྣམས་ལ་ ||| “Monks, regarding things that I had not previously heard,
ཤེས་པ་དང་རིག་པ་དང་བློ་དང་རྟོགས་པ་སྐྱེས་སོ། ||| the vision arose, and the insight, knowledge, understanding, and realization arose:
སྡུག་བསྔལ་འགོག་པ་ཤེས་པའི་འཕགས་པའི་བདེན་པ་དེ་ངས་མངོན་པར་ཤེས་པས་མངོན་སུམ་དུ་བྱས་སོ་ཞེས་ཚུལ་བཞིན་ཡིད་ལ་བྱེད་པ་ན་མིག་སྐྱེས་སོ། ། ||| ‘With higher knowledge I have actualized the cessation of suffering, that truth of noble beings.’
