སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas!
འདི་སྐད་བདག་གིས་ཐོས་པ་དུས་གཅིག་ན། ||| Thus have I heard at one time.
བཅོམ་ལྡན་འདས་ཡངས་པ་ཅན་གྱི་ཨ་མྲས་བསྲུངས་པའི་ཚལ་ན། དགེ་སློང་ལྔ་བརྒྱ་ཙམ་གྱི་དགེ་སློང་གི་དགེ་འདུན་ཆེན་པོ་དང་ཐབས་ཅིག་ཏུ་བཞུགས་ཏེ། ||| The Bhagavān was dwelling at Āmrapālī’s Grove in Vaiśālī, in the company of a great monastic assembly of about five hundred monks
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སུམ་ཁྲི་ཉིས་སྟོང་ལ་འདི་ལྟ་སྟེ། ||| and thirty-two thousand great bodhisattva mahāsattvas,
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ང་རྒྱལ་རྣམ་པར་འཇོམས་དང་། ||| the bodhisattva mahāsattvas Destroyer of Pride,
འོད་ཀྱིས་རྣམ་པར་རྩེ་བ་མངོན་པར་ཤེས་པ་དང་། ||| Sublime Knowledge Displayed with Luminosity,
མེ་ཏོག་དམ་པ་ལྟ་བུ་དང་། ||| Like a Lotus Flower,
འོད་ཟེར་རབ་ཏུ་འགྱེད་པའི་རྒྱལ་པོ་དང་། ། ||| King of Light Diffusion,
རྟག་ཏུ་བུ་དོན་ལྟར་བྲིས་པའི་ལུས་ཅན་དང་། ||| Embodiment Always Appearing Like an Honorable Image,
སོམ་ཉི་ཐམས་ཅད་མགུ་བྱེད་དང་། ||| All Doubts Diminished,
རིན་ཆེན་བཀོད་པའི་རྒྱ་མཚོ་བློ་གྲོས་དང་། ||| He Whose Intelligence is Like an Ocean of Arrayed Jewels,
མེ་ཏོག་སྣ་ཚོགས་གནས་དང་། ། ||| Abode of Myriad Flowers,
སྒྲ་དབྱངས་རྣམ་པར་དག་པའི་རྒྱལ་པོ་དང་། ||| King of Utterly Clear Melody,
འོད་ཟེར་རྒྱལ་པོའི་སྒྲོན་མ་དང་། ||| Lamp of the Light King,
དཔལ་གྱི་སྙིང་པོའི་གསེར་འོད་དང་། ། ||| Golden Light of the Glorious Essence,
དབང་པོ་དང་། ཡུལ་ཐམས་ཅད་རབ་ཏུ་འདུལ་བ་ ||| Mighty One, Subjugator of All Places,
སྒྲ་དབྱངས་མངོན་པར་སྒྲོགས་པའི་རྒྱལ་པོ་དང་། ||| King of Openly Proclaiming Melody,
